Date,HONG KONG-LISTED SOUTHBOUND + CHINA A
2004-11-30,1000.0
2004-12-01,1002.5439862359977
2004-12-02,1007.1205416151525
2004-12-03,1003.0425170369067
2004-12-06,1007.682195789826
2004-12-07,1003.9091967339409
2004-12-08,992.5866717313165
2004-12-09,992.5210900494188
2004-12-10,983.099327910398
2004-12-13,978.422545191446
2004-12-14,987.2457287988419
2004-12-15,990.7575028249563
2004-12-16,988.3475065027349
2004-12-17,983.3000679498609
2004-12-20,992.1350960486933
2004-12-21,990.5206027506501
2004-12-22,992.4146235688414
2004-12-23,994.5275144390293
2004-12-24,993.150968993594
2004-12-27,992.5707678102186
2004-12-28,994.2912857647395
2004-12-29,996.2372549925814
2004-12-30,990.3286483268857
2004-12-31,995.432153622739
2005-01-03,994.4676389261539
2005-01-04,982.1975860322597
2005-01-05,968.3031346344126
2005-01-06,964.127950486534
2005-01-07,957.3901161448362
2005-01-10,955.0214043901451
2005-01-11,954.767426711186
2005-01-12,957.0648918061729
2005-01-13,957.1283100460691
2005-01-14,950.6352769114651
2005-01-17,955.2315807012756
2005-01-18,955.840985077633
2005-01-19,958.8812931432899
2005-01-20,948.7483501914597
2005-01-21,949.0891438476751
2005-01-24,946.813202898587
2005-01-25,957.7064861842866
2005-01-26,959.8107954908512
2005-01-27,958.6981754017719
2005-01-28,959.2792136129474
2005-01-31,959.9208541167148
2005-02-01,953.834246752767
2005-02-02,961.8240878746951
2005-02-03,957.9380609669781
2005-02-04,964.9832160709908
2005-02-07,977.6742670272719
2005-02-08,980.5101319563237
2005-02-09,980.5101319563237
2005-02-10,980.5101319563237
2005-02-11,980.4834497757685
2005-02-14,989.054739120596
2005-02-15,988.703022886435
2005-02-16,991.5560972176961
2005-02-17,988.9646907460836
2005-02-18,992.4548475183547
2005-02-21,995.4511260198394
2005-02-22,997.3243730058525
2005-02-23,990.6044092744996
2005-02-24,997.4294410696812
2005-02-25,1002.8256730741393
2005-02-28,1006.8404692558772
2005-03-01,996.3284124649676
2005-03-02,980.6210293038313
2005-03-03,983.9038445339932
2005-03-04,975.0348986189586
2005-03-07,978.7367074742516
2005-03-08,987.4736095730302
2005-03-09,988.8565368891682
2005-03-10,982.5264408966319
2005-03-11,982.0861818329664
2005-03-14,983.9344355113834
2005-03-15,975.5471506475709
2005-03-16,972.4720639154672
2005-03-17,970.776516887114
2005-03-18,969.2786740961429
2005-03-21,969.649476068388
2005-03-22,963.4854136486878
2005-03-23,951.9446125578793
2005-03-24,952.2015137984189
2005-03-25,951.9320476701203
2005-03-28,951.7225403736788
2005-03-29,941.8454718665765
2005-03-30,940.6483806079312
2005-03-31,946.7305646550382
2005-04-01,952.2518825513044
2005-04-04,950.1100801966877
2005-04-05,949.1697075683458
2005-04-06,952.4992912769959
2005-04-07,957.158736306244
2005-04-08,963.0466450297989
2005-04-11,961.858775870698
2005-04-12,959.0570746989258
2005-04-13,969.0675304308733
2005-04-14,964.5745656451472
2005-04-15,955.739681419997
2005-04-18,939.1594123779079
2005-04-19,945.1466719930929
2005-04-20,945.6550780546218
2005-04-21,949.0868344812662
2005-04-22,953.6343029089795
2005-04-25,955.121060776357
2005-04-26,962.3540748518498
2005-04-27,959.5801159452533
2005-04-28,963.091726102571
2005-04-29,961.2444266841944
2005-05-02,961.1369109342617
2005-05-03,959.9948492181421
2005-05-04,966.1123331151881
2005-05-05,972.2750399346806
2005-05-06,971.6381345138434
2005-05-09,970.6173932277442
2005-05-10,968.1906092015302
2005-05-11,963.087486809317
2005-05-12,962.0902903668061
2005-05-13,955.9998527236006
2005-05-16,954.089495050523
