Date,EM (EMERGING MARKETS)
2000-12-29,100.0
2001-01-01,99.90188048767708
2001-01-02,100.01654306973991
2001-01-03,100.67021583382446
2001-01-04,104.18698547392478
2001-01-05,104.58434960300463
2001-01-08,104.45876949236005
2001-01-09,105.58390351928078
2001-01-10,104.86108020564335
2001-01-11,105.10312078198783
2001-01-12,105.9936080924688
2001-01-15,106.4400035361077
2001-01-16,106.94127172162216
2001-01-17,108.0867094142867
2001-01-18,109.53538954011525
2001-01-19,111.18806198886266
2001-01-22,111.1522790396707
2001-01-23,111.73553101109988
2001-01-24,111.59411606853163
2001-01-25,111.70858626134829
2001-01-26,111.28661661469059
2001-01-29,110.99744134406801
2001-01-30,112.03330651477937
2001-01-31,113.75829932766716
2001-02-01,113.34405193207755
2001-02-02,113.07178960816195
2001-02-05,111.1520351569133
2001-02-06,111.50435423219791
2001-02-07,109.70586845365666
2001-02-08,110.38326966062142
2001-02-09,110.50776407624873
2001-02-12,110.649248418404
2001-02-13,111.1836135845673
2001-02-14,110.80054786101323
2001-02-15,111.89462706033954
2001-02-16,110.84427475644368
2001-02-19,109.84682690774805
2001-02-20,109.99892240566517
2001-02-21,107.20772548358116
2001-02-22,105.25990615899443
2001-02-23,104.55862517594845
2001-02-26,105.50666143099036
2001-02-27,105.16438135478475
2001-02-28,104.84145575175614
2001-03-01,104.3353396825986
2001-03-02,103.33628779756482
2001-03-05,103.90873383294013
2001-03-06,104.75869549493625
2001-03-07,105.0530674177116
2001-03-08,105.38181914149769
2001-03-09,104.1439853267494
2001-03-12,100.87203496562346
2001-03-13,99.98354542343864
2001-03-14,98.96064135083203
2001-03-15,99.06274977793335
2001-03-16,98.30859148108765
2001-03-19,97.39615804828918
2001-03-20,97.18113289068494
2001-03-21,97.14846634180708
2001-03-22,94.9853449913144
2001-03-23,95.65151364129234
2001-03-26,97.27453430069627
2001-03-27,97.11777590054318
2001-03-28,96.35725832178802
2001-03-29,94.63339977042445
2001-03-30,94.49684066183717
2001-04-02,92.98744021410464
2001-04-03,90.8186193622205
2001-04-04,89.66614896797104
2001-04-05,91.1917481800883
2001-04-06,92.16452392244008
2001-04-09,91.69705421015998
2001-04-10,92.616143203635
2001-04-11,93.91944209128093
2001-04-12,94.47363512114583
2001-04-13,94.58777835116479
2001-04-16,93.8317273519693
2001-04-17,93.74838992497664
2001-04-18,96.62004383084516
2001-04-19,98.06418238520506
2001-04-20,96.51746327809803
2001-04-23,96.06112795929762
2001-04-24,96.18659975141196
2001-04-25,96.4928056375532
