Date,EM ASIA WITH PARTIAL A SHARES
2008-11-27,1059.954830505074
2008-11-28,1070.8720762160228
2008-12-30,1187.4760512944956
2008-12-31,1189.8172055561238
2009-01-29,1108.954304903237
2009-01-30,1115.0715944819915
2009-02-26,1052.440818684825
2009-02-27,1044.5375609809928
2009-03-30,1196.641926640248
2009-03-31,1210.3405763423139
2009-04-29,1346.5697238515322
2009-04-30,1410.7825098679584
2009-05-28,1603.018362072431
2009-05-29,1622.368773737157
2009-06-29,1623.8275008735773
2009-06-30,1620.1352092814827
2009-07-30,1795.7095274115377
2009-07-31,1826.4716792489771
2009-08-28,1792.6066237660982
2009-08-31,1771.5074259916985
2009-09-29,1926.855733664636
2009-09-30,1933.9211809744063
2009-10-29,1899.3187161991877
2009-10-30,1917.1902740083192
2009-11-27,1930.128580048946
2009-11-30,1977.0426052667765
2009-12-30,2043.4875622625298
2009-12-31,2066.7131303074957
2010-01-28,1964.1151274331166
2010-01-29,1942.6482036593534
2010-02-25,1927.4935559590222
2010-02-26,1944.6843284414151
2010-03-30,2102.422341201077
2010-03-31,2094.5567880383664
2010-04-29,2115.0987611097316
2010-04-30,2142.8289494248475
2010-05-28,1941.9147381508033
2010-05-31,1957.47633673589
2010-06-29,1990.2144964963845
2010-06-30,1983.4120040166201
2010-07-29,2103.921037217292
2010-07-30,2095.9357399332216
2010-08-30,2086.634098755212
2010-08-31,2065.2713582119504
2010-09-29,2293.342373538499
2010-09-30,2296.244113571338
2010-10-28,2367.621946657123
2010-10-29,2358.689994509735
2010-11-29,2330.3224914958278
2010-11-30,2314.137175439237
2010-12-30,2445.605796384564
2010-12-31,2458.1509593071005
2011-01-28,2447.7355880317036
2011-01-31,2423.1709713926257
2011-02-25,2321.153739043206
2011-02-28,2330.8376893512045
2011-03-30,2471.1678068585734
2011-03-31,2495.2668929847846
2011-04-28,2597.2241154246394
2011-04-29,2589.7952382444773
2011-05-30,2503.648257787478
2011-05-31,2550.3140035223596
2011-06-29,2461.9708405578317
2011-06-30,2495.9330121463645
2011-07-28,2541.112624182422
2011-07-29,2513.669719941992
2011-08-30,2216.86833045377
2011-08-31,2252.3060620268084
2011-09-29,1988.5416288630865
2011-09-30,1967.6948443659899
2011-10-28,2221.8670186965523
2011-10-31,2203.589797109319
2011-11-29,2026.412693291616
2011-11-30,2017.8357038425208
2011-12-29,2028.4720752771532
2011-12-30,2030.9551235727818
2012-01-30,2210.6676821175097
2012-01-31,2245.2502185118574
2012-02-28,2338.6901298654107
2012-02-29,2373.9653611479785
2012-03-29,2279.2913006946724
2012-03-30,2298.501109449809
2012-04-27,2272.1108859919286
2012-04-30,2296.254004538366
2012-05-30,2084.1190145997066
2012-05-31,2079.4093112065952
2012-06-28,2078.8321766302306
2012-06-29,2130.9327611023887
2012-07-30,2134.7125780317633
2012-07-31,2172.653840977752
2012-08-30,2157.3479095891175
2012-08-31,2156.166032925038
2012-09-27,2289.6522528564633
2012-09-28,2312.910308160977
2012-10-30,2288.59938326254
2012-10-31,2303.519744692325
2012-11-29,2350.653361159725
2012-11-30,2366.4635902367795
2012-12-28,2449.2066549799038
2012-12-31,2452.931007800552
2013-01-30,2488.7710727831036
2013-01-31,2481.059693544034
2013-02-27,2452.7190700771084
