Date,EMERGING MARKETS WITH PARTIAL A SHARES
2008-11-27,1051.002694707007
2008-11-28,1052.9409415540679
2008-12-30,1132.1101953393545
2008-12-31,1134.636440669548
2009-01-29,1067.1517113056693
2009-01-30,1061.9606232858623
2009-02-26,1015.6149885799979
2009-02-27,1002.5458554763514
2009-03-30,1129.3395829732892
2009-03-31,1146.472903677955
2009-04-29,1301.6471664276503
2009-04-30,1336.4932398999101
2009-05-28,1541.0102561365372
2009-05-29,1563.9746013297188
2009-06-29,1551.4815064444274
2009-06-30,1544.4924118475353
2009-07-30,1697.064692683939
2009-07-31,1718.709467463118
2009-08-28,1734.6794976242418
2009-08-31,1709.7865927104015
2009-09-29,1862.9853071380242
2009-09-30,1864.902388621683
2009-10-29,1882.157949248812
2009-10-30,1868.0570381467937
2009-11-27,1923.3848838416584
2009-11-30,1948.6589399135626
2009-12-30,2007.3888688792688
2009-12-31,2025.4403153487056
2010-01-28,1925.029323354301
2010-01-29,1912.1090249428692
2010-02-25,1892.7763136055605
2010-02-26,1919.5599404509749
2010-03-30,2072.3198029372957
2010-03-31,2074.3010934463236
2010-04-29,2085.9284328785443
2010-04-30,2098.9663594794374
2010-05-28,1894.424441434978
2010-05-31,1913.8340648804256
2010-06-29,1912.9232018647951
2010-06-30,1899.6728633517082
2010-07-29,2063.334193028874
2010-07-30,2058.423516092117
2010-08-30,2023.2636178107516
2010-08-31,2018.4717876249722
2010-09-29,2230.9738293852547
2010-09-30,2242.012142809063
2010-10-28,2302.304077290554
2010-10-29,2308.346291668427
2010-11-29,2257.730990743945
2010-11-30,2247.7702476469394
2010-12-30,2395.3941699108445
2010-12-31,2407.215496079026
2011-01-28,2356.690600747202
2011-01-31,2342.051787058823
2011-02-25,2302.8675556209078
2011-02-28,2320.449587976393
2011-03-30,2432.478932472232
2011-03-31,2456.0358859371563
2011-04-28,2524.7333437880925
2011-04-29,2532.2450834726283
2011-05-30,2424.4170090517573
2011-05-31,2466.3092361342733
2011-06-29,2400.058551730121
2011-06-30,2428.8430358437977
2011-07-28,2434.0659573788885
2011-07-29,2418.100669225844
2011-08-30,2161.193018239196
2011-08-31,2202.5478811225908
2011-09-29,1911.8899128873074
2011-09-30,1882.0575839458725
2011-10-28,2161.471760108009
2011-10-31,2130.441359276134
2011-11-29,1948.787691679398
2011-11-30,1988.68402952307
2011-12-29,1959.8313466997286
2011-12-30,1964.6497309538981
2012-01-30,2157.938385201101
2012-01-31,2186.510969039536
2012-02-28,2294.640508183694
2012-02-29,2317.3272210970977
2012-03-29,2220.595170459701
2012-03-30,2239.7202199397507
2012-04-27,2198.92717510014
2012-04-30,2213.6500303475536
2012-05-30,1969.046685309264
2012-05-31,1966.3229068909598
2012-06-28,1974.700301167915
2012-06-29,2041.4099418817013
2012-07-30,2072.5652820545256
2012-07-31,2080.570299966742
2012-08-30,2066.623083093777
2012-08-31,2073.0320724386784
2012-09-27,2188.3685267330534
2012-09-28,2198.0342089126084
2012-10-30,2179.8818538308055
2012-10-31,2184.8565009903173
2012-11-29,2204.9257041126634
2012-11-30,2212.0420542975935
2012-12-28,2321.906719881746
2012-12-31,2322.2612066991605
2013-01-30,2353.653302889571
2013-01-31,2355.3520901295146
2013-02-27,2307.1160180216525
2013-02-28,2325.784584576411
2013-03-28,2279.934461745441
2013-03-29,2284.9210219686524
2013-04-29,2274.65988232654
2013-04-30,2302.12963529821
2013-05-30,2260.825229973022
2013-05-31,2245.2615730689286
2013-06-27,2053.8157999666414
2013-06-28,2100.702389269601
2013-07-30,2136.238228439561
2013-07-31,2122.8155406110036
2013-08-29,2068.6070771440072
2013-08-30,2087.986951706355
2013-09-27,2250.445251431091
2013-09-30,2223.058122173686
2013-10-30,2348.8232020275364
2013-10-31,2330.229381613891
2013-11-28,2283.7422770568983
2013-11-29,2297.8570393732803
2013-12-30,2262.6821663352307
2013-12-31,2264.821081719142
2014-01-01,2264.7515382017955
2014-01-02,2238.6232961467404
2014-01-03,2213.266750635734
2014-01-06,2197.0557496743018
2014-01-07,2194.880701132811
2014-01-08,2198.8984010522813
2014-01-09,2176.323808022833
2014-01-10,2191.8647529608647
2014-01-13,2208.309093028546
2014-01-14,2203.437307441551
2014-01-15,2209.6826768364103
2014-01-16,2202.508025395706
2014-01-17,2197.226585231668
2014-01-20,2194.029807291372
2014-01-21,2193.9487842907934
2014-01-22,2207.1219016250616
2014-01-23,2179.2066299154967
2014-01-24,2147.4541935451925
2014-01-27,2106.6094932059805
2014-01-28,2113.147434251586
2014-01-29,2119.1734250441723
2014-01-30,2118.2776149490055
2014-01-31,2118.6612788838784
2014-02-03,2097.173633630848
2014-02-04,2076.8457841037775
2014-02-05,2073.995281283502
2014-02-06,2103.750682097218
2014-02-07,2120.782223841699
2014-02-10,2117.551875298882
2014-02-11,2138.729997973255
2014-02-12,2158.10594925086
2014-02-13,2141.4183419547385
2014-02-14,2167.2541004429027
2014-02-17,2183.074259209288
2014-02-18,2170.6515151974836
2014-02-19,2171.719081900956
2014-02-20,2152.5714521322225
2014-02-21,2171.8065791517656
2014-02-24,2169.4989329497603
2014-02-25,2162.6150798679296
2014-02-26,2164.5537269698502
2014-02-27,2180.2891455678173
