Date,ZHONG HUA WITH PARTIAL A SHARES
2008-11-27,1051.0316726749677
2008-11-28,1076.0928919625005
2008-12-30,1147.171954513074
2008-12-31,1162.504083675742
2009-01-29,1082.8560668573186
2009-01-30,1101.7736884891233
2009-02-26,1069.3906637399377
2009-02-27,1061.8672587915464
2009-03-30,1164.2706046106946
2009-03-31,1176.2559609049804
2009-04-29,1284.5006202302586
2009-04-30,1325.8367376294948
2009-05-28,1522.6269594873315
2009-05-29,1554.8984109161674
2009-06-29,1616.5728061728025
2009-06-30,1594.7842374583636
2009-07-30,1755.7084627033744
2009-07-31,1783.3333152351236
2009-08-28,1686.94857279639
2009-08-31,1651.5176282342745
2009-09-29,1750.788956090529
2009-09-30,1746.9367063966545
2009-10-29,1799.70143336826
2009-10-30,1840.6127498726557
2009-11-27,1810.2903868932988
2009-11-30,1867.9112071749282
2009-12-30,1853.4289922189143
2009-12-31,1885.927161750236
2010-01-28,1749.243495069566
2010-01-29,1733.634557177445
2010-02-25,1764.3036967736932
2010-02-26,1782.465090278284
2010-03-30,1893.0885238619912
2010-03-31,1879.193901243933
2010-04-29,1830.5605621414836
2010-04-30,1859.7519888989193
2010-05-28,1748.0267688738923
2010-05-31,1751.4528833627328
2010-06-29,1783.8343179613537
2010-06-30,1780.956901553234
2010-07-29,1870.551562990424
2010-07-30,1869.2095211269714
2010-08-30,1849.1940391431976
2010-08-31,1838.0447292353629
2010-09-29,2026.7075164851626
2010-09-30,2028.4445559119001
2010-10-28,2107.659540819828
2010-10-29,2101.328862142377
2010-11-29,2091.113949660429
2010-11-30,2079.852509723809
2010-12-30,2066.6218867898197
2010-12-31,2074.368220370046
2011-01-28,2089.592091355445
2011-01-31,2077.2748903619663
2011-02-25,2001.396344255715
2011-02-28,2031.1805291881597
2011-03-30,2099.7689008585508
2011-03-31,2110.962617916038
2011-04-28,2157.2699418184397
2011-04-29,2151.054452124123
2011-05-30,2119.6850207563843
2011-05-31,2159.7935775424908
2011-06-29,2050.9075884958293
2011-06-30,2080.492224246631
2011-07-28,2096.952688674154
2011-07-29,2081.7326254594773
2011-08-30,1873.9410831519688
2011-08-31,1910.539343180505
2011-09-29,1640.2060818214256
2011-09-30,1594.4342660218867
2011-10-28,1840.9515753409132
2011-10-31,1819.1405007434066
2011-11-29,1694.9678718961607
2011-11-30,1673.6496142884514
2011-12-29,1707.2465617774985
2011-12-30,1711.096214731064
2012-01-30,1864.0296800515093
2012-01-31,1885.9727184893763
2012-02-28,2010.654783305797
2012-02-29,2020.2239330368375
2012-03-29,1894.6709938360214
2012-03-30,1895.7951701756301
2012-04-27,1918.6633011036229
2012-04-30,1947.7363520465544
2012-05-30,1757.8286452313635
2012-05-31,1749.9094232553148
2012-06-28,1758.3339188752766
2012-06-29,1797.2208906954336
2012-07-30,1812.0631825806477
2012-07-31,1832.6954033306333
2012-08-30,1800.7448743202422
2012-08-31,1797.1849869283528
2012-09-27,1908.6233316331798
2012-09-28,1922.2392520891954
2012-10-30,1982.709731474779
2012-10-31,2002.7851915831443
2012-11-29,2035.9474844885312
2012-11-30,2046.8603107342858
2012-12-28,2121.3370323302006
2012-12-31,2126.2665078790483
2013-01-30,2237.8147181726954
2013-01-31,2226.6267742635614
2013-02-27,2121.321541548383
2013-02-28,2164.830133598733
2013-03-28,2086.513778209419
2013-03-29,2086.3444061521354
2013-04-29,2103.1523875502203
2013-04-30,2119.771136041285
2013-05-30,2108.420024666849
2013-05-31,2101.0622247479446
2013-06-27,1923.4212096384824
2013-06-28,1960.4382204385126
2013-07-30,2043.354416447476
2013-07-31,2038.3289703433463
2013-08-29,2055.6489073619996
2013-08-30,2064.261884328058
2013-09-27,2204.2348421585216
2013-09-30,2175.861507770722
2013-10-30,2233.149786491496
2013-10-31,2227.017687229805
2013-11-28,2294.503434129803
2013-11-29,2307.3263511697032
2013-12-30,2244.897488689299
2013-12-31,2256.394933641114
2014-01-01,2256.394933641114
2014-01-02,2256.940225211815
2014-01-03,2211.5537080944478
2014-01-06,2191.1137947217217
2014-01-07,2189.0247247338557
2014-01-08,2211.4783888107536
2014-01-09,2189.2818448471444
2014-01-10,2192.3486120709085
2014-01-13,2195.791884898321
2014-01-14,2187.725597966289
2014-01-15,2197.350943354368
2014-01-16,2200.7067544012925
2014-01-17,2213.7584776730696
2014-01-20,2191.3034064972912
2014-01-21,2203.1204824616125
2014-01-22,2213.0951069199655
2014-01-23,2182.527158983434
2014-01-24,2150.6167157012974
2014-01-27,2104.835219611884
2014-01-28,2105.710283270486
2014-01-29,2126.6232110522487
2014-01-30,2116.2656262622377
2014-01-31,2116.318989085816
2014-02-03,2116.439065490338
2014-02-04,2056.4461767978573
2014-02-05,2045.2869049540882
2014-02-06,2064.03967013973
2014-02-07,2089.691447331068
2014-02-10,2089.65981935545
2014-02-11,2126.5347009412612
2014-02-12,2154.557440616362
2014-02-13,2140.3452038925684
2014-02-14,2151.3165369838266
2014-02-17,2170.686660280967
2014-02-18,2169.9225602225893
2014-02-19,2172.9540483440196
2014-02-20,2151.0154589550702
2014-02-21,2159.0364464966456
2014-02-24,2135.1167553090836
2014-02-25,2131.2121054425766
2014-02-26,2147.861129911557
2014-02-27,2180.6290003007384
2014-02-28,2182.425063863586
2014-03-03,2158.1248007588943
2014-03-04,2168.7909004829794
2014-03-05,2158.2954950637895
2014-03-06,2171.7524319516824
2014-03-07,2166.049900974482
2014-03-10,2127.9843012868696
2014-03-11,2131.8222127757977
2014-03-12,2100.2346112128757
2014-03-13,2088.903561822509
2014-03-14,2063.270010100118
2014-03-17,2061.2459008530827
2014-03-18,2075.0477666466722
2014-03-19,2076.0288747107543
2014-03-20,2039.718340545704
2014-03-21,2068.175379603679
2014-03-24,2103.451338607734
2014-03-25,2090.391590887695
2014-03-26,2107.1869471803698
2014-03-27,2100.1809075246542
2014-03-28,2125.00412855093
2014-03-31,2139.5415808732178
2014-04-01,2169.3633608432697
2014-04-02,2177.2460298343285
2014-04-03,2182.950467610928
2014-04-04,2175.664492568922
2014-04-07,2165.30727622003
2014-04-08,2187.0263495100776
2014-04-09,2207.430602191244
2014-04-10,2239.8901235197536
2014-04-11,2219.252576445055
2014-04-14,2220.6883223540967
2014-04-15,2182.392976962382
2014-04-16,2182.141535102248
2014-04-17,2190.9953112007684
2014-04-18,2190.9197333133334
2014-04-21,2190.207639794489
2014-04-22,2185.858589676332
2014-04-23,2167.8729286247853
2014-04-24,2173.392911431248
2014-04-25,2141.0261042490883
2014-04-28,2126.0154364688347
2014-04-29,2149.7471566993236
2014-04-30,2124.155654540691
2014-05-01,2124.101936341987
2014-05-02,2137.731017545647
2014-05-05,2121.8071893180413
2014-05-06,2122.05844840781
2014-05-07,2094.242721675404
2014-05-08,2096.0554900177617
