Date,EM EASTERN EUROPE ex RUSSIA
2000-12-29,1000.0
2001-01-01,1000.0
2001-01-02,997.1106954835639
2001-01-03,977.0929823860805
2001-01-04,1013.3130727339358
2001-01-05,1014.0683897572584
2001-01-08,999.9500665089837
2001-01-09,1004.7773654453754
2001-01-10,985.5839732280168
2001-01-11,982.6125451946052
2001-01-12,1000.8424962958088
2001-01-15,1003.5489608597137
2001-01-16,998.9346056835327
2001-01-17,998.3952350404084
2001-01-18,1007.6242840243957
2001-01-19,1027.1891372827788
2001-01-22,1009.3543948418484
2001-01-23,1005.2114306143371
2001-01-24,1000.9950062419296
2001-01-25,997.4228657953181
2001-01-26,988.5536838992679
2001-01-29,999.7720474716386
2001-01-30,1013.6763766327292
2001-01-31,1025.43357459708
2001-02-01,1028.9465055859287
2001-02-02,1025.8324141717592
2001-02-05,1002.5839732551512
2001-02-06,997.9232345008695
2001-02-07,981.1995979111857
2001-02-08,975.9361139683355
2001-02-09,961.165593555234
2001-02-12,959.1842022871559
2001-02-13,962.8849143866131
2001-02-14,941.434697827819
2001-02-15,945.3014498659727
2001-02-16,923.4252576413849
2001-02-19,926.8112245722461
2001-02-20,916.4902487748932
2001-02-21,891.353155716307
2001-02-22,873.7735713083987
2001-02-23,873.4809745161981
2001-02-26,891.3971000099812
2001-02-27,884.8259928623226
2001-02-28,887.9710936507838
2001-03-01,878.8928249168486
2001-03-02,887.4220544030645
2001-03-05,901.5439770964298
2001-03-06,920.2377615817878
2001-03-07,912.962139402941
2001-03-08,905.1826725947329
2001-03-09,884.3331560842479
2001-03-12,851.2951782126345
2001-03-13,848.1852788391009
2001-03-14,823.8128275450226
2001-03-15,837.3265217840585
2001-03-16,820.3172657928995
2001-03-19,828.7560785882376
2001-03-20,843.7510290179008
2001-03-21,823.002514532689
2001-03-22,801.2275875555363
2001-03-23,819.5677336268424
2001-03-26,838.2000095900364
2001-03-27,830.2973698365548
2001-03-28,828.767901709389
2001-03-29,809.6799677703065
2001-03-30,809.8481492329172
2001-04-02,801.8224146327748
2001-04-03,783.431044120979
