Date,HONG KONG-LISTED SOUTHBOUND
1999-05-31,1000.0
1999-06-01,1019.6532258238847
1999-06-02,1027.7385694114982
1999-06-03,1027.2984867018893
1999-06-04,1020.7742518446768
1999-06-07,1052.5701174401188
1999-06-08,1056.366961425891
1999-06-09,1059.5381655971905
1999-06-10,1055.7163748830037
1999-06-11,1068.9066544846332
1999-06-14,1070.7168285155774
1999-06-15,1065.241769162485
1999-06-16,1082.5227123820925
1999-06-17,1099.7752848786606
1999-06-18,1099.7455959728925
1999-06-21,1139.5888126108698
1999-06-22,1139.2678813709483
1999-06-23,1137.0950434529018
1999-06-24,1122.5299612766141
1999-06-25,1123.9892588855505
1999-06-28,1126.3758688765813
1999-06-29,1118.2504006740644
1999-06-30,1101.7315898000465
1999-07-01,1101.579237342365
1999-07-02,1150.187452718549
1999-07-05,1171.3927557354855
1999-07-06,1159.8126784899202
1999-07-07,1149.9346946321552
1999-07-08,1145.6469519333325
1999-07-09,1144.4292368107456
1999-07-12,1132.0212427840027
1999-07-13,1126.095164060361
1999-07-14,1094.7064726506524
1999-07-15,1105.1947481418156
1999-07-16,1090.2883136997277
1999-07-19,1088.176934378028
1999-07-20,1094.8597338828558
1999-07-21,1081.5603496633787
1999-07-22,1078.058289882688
1999-07-23,1057.530663367429
1999-07-26,1037.1248803553945
1999-07-27,1052.0958185342301
1999-07-28,1058.007832413918
1999-07-29,1056.0887288393487
1999-07-30,1063.1597085761211
1999-08-02,1085.7687409244575
1999-08-03,1090.139437539478
1999-08-04,1100.1421390265045
1999-08-05,1072.8674690765695
1999-08-06,1066.8772387102713
1999-08-09,1049.0703700400759
1999-08-10,1023.9868692712331
1999-08-11,1009.0841302538253
1999-08-12,1033.6448513609203
1999-08-13,1021.5336212828647
1999-08-16,1042.173298931294
1999-08-17,1034.235727170738
1999-08-18,1053.3937631409858
1999-08-19,1083.943273010106
1999-08-20,1095.5908167700106
1999-08-23,1098.0918083438296
1999-08-24,1103.2476986849815
1999-08-25,1094.5631914268822
1999-08-26,1105.1695717816197
1999-08-27,1086.153404914353
1999-08-30,1107.0591856081444
1999-08-31,1087.3907423637493
1999-09-01,1092.6197457429164
1999-09-02,1080.341293320815
1999-09-03,1066.9574966144103
1999-09-06,1083.7923177816117
1999-09-07,1084.9015920941697
1999-09-08,1082.1319513907704
1999-09-09,1119.7756017003846
1999-09-10,1118.387283924485
1999-09-13,1116.6214058902754
1999-09-14,1112.0513356042136
1999-09-15,1084.2774154996748
1999-09-16,1084.5454211477856
1999-09-17,1086.0007087830716
1999-09-20,1082.662268044042
1999-09-21,1077.2695230340457
1999-09-22,1060.4132754051093
