Date,EM GCC COUNTRIES DOMESTIC
2014-05-30,1000.0
2014-06-02,987.379656424353
2014-06-03,964.201129088543
2014-06-04,953.7152311941812
2014-06-05,963.496732033168
2014-06-06,963.4830781110845
2014-06-09,924.0033853656406
2014-06-10,917.462513488359
2014-06-11,911.5803388984077
2014-06-12,929.5238127212394
2014-06-13,929.5171265363044
2014-06-16,881.5035465952135
2014-06-17,877.021808104216
2014-06-18,888.0603212697845
2014-06-19,889.6130095506131
2014-06-20,889.6130095506131
2014-06-23,864.3666806459631
2014-06-24,838.2383216457993
2014-06-25,847.9967795187973
2014-06-26,834.342248649616
2014-06-27,834.3373326168645
2014-06-30,796.8745518815625
2014-07-01,833.2999770651891
2014-07-02,869.583794541863
2014-07-03,867.3936746222453
2014-07-04,867.4000597611137
2014-07-07,877.8792380121856
2014-07-08,881.5614699286396
2014-07-09,886.819041608691
2014-07-10,903.0190585567104
2014-07-11,903.0190585567104
2014-07-14,907.8304365328071
2014-07-15,921.6933423366196
2014-07-16,932.7493118104093
2014-07-17,938.5786168234962
2014-07-18,938.5786168234962
2014-07-21,916.2701798960978
2014-07-22,919.6864762487543
2014-07-23,913.0575736378256
2014-07-24,901.1356171610593
2014-07-25,901.1356171610593
2014-07-28,905.8079106560386
2014-07-29,905.8277331245131
2014-07-30,905.8277331245131
2014-07-31,916.8824221597713
2014-08-01,916.8824221597713
2014-08-04,921.8801296236202
2014-08-05,922.8975765292221
2014-08-06,908.8753510019848
2014-08-07,909.8886594802744
2014-08-08,909.8886594802743
2014-08-11,920.8826512088274
2014-08-12,927.4148096394082
2014-08-13,941.1011442662387
2014-08-14,943.9676700410735
2014-08-15,943.9482299345945
2014-08-18,947.9522563740964
2014-08-19,953.827009640632
2014-08-20,954.2719325550987
2014-08-21,960.0488888905227
2014-08-22,960.013650750819
2014-08-25,965.8550486302904
2014-08-26,970.3016650447036
2014-08-27,971.1369848921825
2014-08-28,947.8046022338906
2014-08-29,947.8252817991256
2014-09-01,982.3959071817114
2014-09-02,982.8890335050041
2014-09-03,994.7825203439713
2014-09-04,996.7720623345824
2014-09-05,996.7720623345824
2014-09-08,996.4268490570447
2014-09-09,996.0005736488997
2014-09-10,979.952885529486
2014-09-11,988.4051115230194
2014-09-12,988.4051115230194
2014-09-15,995.1461665769311
2014-09-16,991.2243235908117
2014-09-17,993.2372907056389
2014-09-18,1016.0515872051174
2014-09-19,1016.0515872051174
2014-09-22,1002.6591205364632
2014-09-23,1002.6921563678397
2014-09-24,994.8893999507475
2014-09-25,991.0509415968605
2014-09-26,991.0571333628498
2014-09-29,983.5332664529722
2014-09-30,979.6498519227418
2014-10-01,983.5713808082475
2014-10-02,977.0989310665237
2014-10-03,977.0920028861526
2014-10-06,977.0799557050691
2014-10-07,981.7199249402531
2014-10-08,971.9578945375118
2014-10-09,976.9437437390816
2014-10-10,976.950671538969
2014-10-13,940.8673472665482
2014-10-14,930.6142273081325
2014-10-15,918.0254059155862
2014-10-16,887.0796861866826
2014-10-17,887.0731696277114
2014-10-20,893.5439398625895
2014-10-21,905.5110969974631
2014-10-22,922.6848972070181
2014-10-23,931.7263938194997
