Date,EM WITH BRAZIL + INDIA + RUSSIA DR
2010-02-26,1000.0
2010-03-01,1014.1081758320853
2010-03-02,1025.5835160298636
2010-03-03,1031.6902529664537
2010-03-04,1026.5048341948898
2010-03-05,1041.3873884744216
2010-03-08,1055.1835539009014
2010-03-09,1055.282269176697
2010-03-10,1060.9338981765122
2010-03-11,1057.8572042818143
2010-03-12,1060.8817834346153
2010-03-15,1050.333033325073
2010-03-16,1057.6734898624004
2010-03-17,1074.3511516039637
2010-03-18,1070.0998201563634
2010-03-19,1065.9881298186153
2010-03-22,1058.5170104802025
2010-03-23,1062.8533595987665
2010-03-24,1059.6112954161838
2010-03-25,1057.212028386545
2010-03-26,1061.0563076687793
2010-03-29,1073.3121799492906
2010-03-30,1079.9256943193639
2010-03-31,1079.8279578520924
2010-04-01,1099.3763433623917
2010-04-02,1100.8904314243262
2010-04-05,1107.483684940442
2010-04-06,1112.5445713753222
2010-04-07,1116.106167643478
2010-04-08,1110.036263716966
2010-04-09,1118.1735514092213
2010-04-12,1114.9570173479708
2010-04-13,1106.4440724023145
2010-04-14,1119.5761588153168
2010-04-15,1121.3650809034098
2010-04-16,1103.9273553675746
2010-04-19,1082.7432593389938
2010-04-20,1095.2679099802228
2010-04-21,1098.1219138915471
2010-04-22,1093.8562679334698
2010-04-23,1097.4411473896641
2010-04-26,1110.263084779855
2010-04-27,1092.8483796375401
2010-04-28,1078.8399000884851
2010-04-29,1086.4671830805935
2010-04-30,1092.9673373614642
2010-05-03,1082.013103277341
2010-05-04,1062.8755405418683
2010-05-05,1040.627806241265
2010-05-06,1015.6054834169963
2010-05-07,995.5343342129742
2010-05-10,1043.0873995691827
2010-05-11,1030.2156463664926
2010-05-12,1038.2625433419682
2010-05-13,1047.2068370338009
2010-05-14,1031.753006940952
2010-05-17,1009.8998488829204
2010-05-18,1010.1802260934969
2010-05-19,983.1688074755265
2010-05-20,952.4766870340794
2010-05-21,957.4577831739482
2010-05-24,959.789530492287
2010-05-25,925.147990446388
2010-05-26,950.1707476145456
2010-05-27,977.3644707687057
2010-05-28,988.1003040475167
2010-05-31,993.5074291424839
2010-06-01,977.3213449188976
2010-06-02,981.6580515193021
2010-06-03,996.4166484394639
2010-06-04,982.9853348427546
2010-06-07,957.8244233617622
2010-06-08,962.6897570427657
2010-06-09,964.834292298559
2010-06-10,978.1738554999085
2010-06-11,988.4583465303532
2010-06-14,1002.3910030381295
2010-06-15,1010.8827468199357
2010-06-16,1016.481360487202
2010-06-17,1018.7175297570037
2010-06-18,1025.4200273331026
