Date,JORDAN + EGYPT + MOROCCO
2006-03-06,1118.1935574314812
2006-03-07,1116.6695950621133
2006-03-08,1110.9431623353485
2006-03-09,1119.7100137005768
2006-03-10,1118.9006492258995
2006-03-13,1087.6374509739248
2006-03-14,1042.3207530081634
2006-03-15,1082.3697826931339
2006-03-16,1097.6526149166586
2006-03-17,1097.9003369868792
2006-03-20,1113.2522744943753
2006-03-21,1105.152774764531
2006-03-22,1115.9196669319665
2006-03-23,1121.802391480709
2006-03-24,1124.2194972677999
2006-03-27,1141.8469907308552
2006-03-28,1146.897886947154
2006-03-29,1143.1352126347165
2006-03-30,1134.6044618258577
2006-03-31,1137.295123013635
2006-04-03,1148.9862208341103
2006-04-04,1157.5327371749881
2006-04-05,1169.2707543090337
2006-04-06,1181.9366085177644
2006-04-07,1182.269347327151
2006-04-10,1182.3300079884712
2006-04-11,1183.1151708358898
2006-04-12,1182.5625094029879
2006-04-13,1165.0321216803727
2006-04-14,1163.2161498036692
2006-04-17,1123.3267773326763
2006-04-18,1106.6469383068963
2006-04-19,1120.807054931455
2006-04-20,1151.6272567126966
2006-04-21,1153.6582372274913
2006-04-24,1162.9837056263502
2006-04-25,1161.039988159828
2006-04-26,1153.2101674655364
2006-04-27,1163.60350340163
2006-04-28,1165.2622191402525
2006-05-01,1170.8049485425827
2006-05-02,1188.8080288718822
2006-05-03,1185.5709798297003
2006-05-04,1189.9966853334217
2006-05-05,1196.4338992902524
2006-05-08,1178.1470096824964
2006-05-09,1162.4382664919929
2006-05-10,1155.3001299430648
2006-05-11,1152.9632885020692
2006-05-12,1154.228492758118
2006-05-15,1127.4483448063174
2006-05-16,1128.962368345533
2006-05-17,1114.698022265987
2006-05-18,1113.7900420402937
2006-05-19,1104.991099366584
2006-05-22,1037.5042478591324
2006-05-23,981.2422365272083
2006-05-24,1008.839891383381
2006-05-25,992.3981205867923
2006-05-26,987.082353712447
2006-05-29,987.1372309744739
2006-05-30,1007.1587883706231
2006-05-31,1016.4151675796984
2006-06-01,1028.1876939645917
2006-06-02,1032.1903210742073
2006-06-05,1033.163789303223
2006-06-06,1015.7090226873584
2006-06-07,1017.8451820273482
2006-06-08,998.8091292929988
2006-06-09,997.7046622204515
2006-06-12,954.5610231906362
2006-06-13,930.5334655969174
2006-06-14,906.0921240696501
2006-06-15,928.1060311262742
2006-06-16,932.233640614937
2006-06-19,952.3606224211625
2006-06-20,953.4283125827469
2006-06-21,941.3733702722046
2006-06-22,940.1109504166726
2006-06-23,938.4976444394455
2006-06-26,912.3851769035509
2006-06-27,907.6477980048948
2006-06-28,915.1968911757588
2006-06-29,924.0387772215636
2006-06-30,932.7618092356186
2006-07-03,936.1921772518017
2006-07-04,956.4498446911314
