Date,EM LATIN AMERICA
2005-07-29,221.1614215699178
2005-08-01,224.19717390668342
2005-08-02,228.78560000020374
2005-08-03,229.5797292480638
2005-08-04,229.29081175858323
2005-08-05,229.39363231053466
2005-08-08,231.4191177014766
2005-08-09,232.82223091770518
2005-08-10,236.4372442736379
2005-08-11,234.56786822805253
2005-08-12,231.33623126157858
2005-08-15,234.71962683904204
2005-08-16,232.06468656055654
2005-08-17,232.1604296083866
2005-08-18,229.54044892632183
2005-08-19,224.80394154833556
2005-08-22,229.98699057603625
2005-08-23,227.7446214433931
2005-08-24,226.44234020559838
2005-08-25,228.13402653218944
2005-08-26,226.45007031131985
2005-08-29,227.8538572358157
2005-08-30,228.848586090562
2005-08-31,233.50120838521968
2005-09-01,236.03520671021997
2005-09-02,239.61208801306364
2005-09-05,241.81131452394027
2005-09-06,244.40636766426115
2005-09-07,245.16667655352342
2005-09-08,245.0577255223726
2005-09-09,247.68728204652325
2005-09-12,247.6285653983858
2005-09-13,244.22136102070016
2005-09-14,245.84928411472302
2005-09-15,249.38049726894167
2005-09-16,252.65229788576795
2005-09-19,254.9889706821462
2005-09-20,255.35893825251466
2005-09-21,261.1122043959701
2005-09-22,259.1309525667876
2005-09-23,261.11507360654343
2005-09-26,262.30823889997055
2005-09-27,262.2717863596588
2005-09-28,264.9624901597754
2005-09-29,265.5303854747553
2005-09-30,270.11807597182855
2005-10-03,270.71227881405497
2005-10-04,268.2546348166056
2005-10-05,257.9167029279063
2005-10-06,249.6712210155627
2005-10-07,254.21172879844778
2005-10-10,256.1277077265282
2005-10-11,258.16862802416665
2005-10-12,255.3378664613748
2005-10-13,248.36260102089747
2005-10-14,247.38605621737324
2005-10-17,254.63023743984442
2005-10-18,247.19382961571284
2005-10-19,246.7094272903878
2005-10-20,242.1638009762196
2005-10-21,244.85389078036354
2005-10-24,252.00621701682138
2005-10-25,250.21393448960356
2005-10-26,251.97284440514582
2005-10-27,245.99550104621392
2005-10-28,248.937996314932
2005-10-31,255.89830283983494
2005-11-01,260.16866240607834
2005-11-02,261.49413698022107
2005-11-03,263.5839989114492
2005-11-04,261.1438829926986
2005-11-07,263.6205585350368
2005-11-08,263.4650167898283
2005-11-09,265.2873460113591
2005-11-10,264.93596231244027
2005-11-11,265.1279164460947
2005-11-14,263.4787280188468
2005-11-15,262.5642493121903
2005-11-16,265.73709278905386
2005-11-17,271.1357294609539
2005-11-18,270.11526540642205
2005-11-21,271.7886224654005
2005-11-22,272.0899893290774
2005-11-23,275.73774746526817
2005-11-24,275.37420360208534
2005-11-25,276.6409099822647
2005-11-28,274.7526959159172
2005-11-29,276.01582424115406
2005-11-30,276.648301145556
2005-12-01,282.103897102419
2005-12-02,285.51572635841285
2005-12-05,285.9472653986122
2005-12-06,291.1423535352265
2005-12-07,285.8845245188706
2005-12-08,281.22612568528587
2005-12-09,280.90677474887565
2005-12-12,281.1499719120411
2005-12-13,284.2240449545464
2005-12-14,283.3531014076886
2005-12-15,279.62564112968715
2005-12-16,278.0227386298081
2005-12-19,273.4491200898079
2005-12-20,274.334736268254
2005-12-21,280.0791992958734
2005-12-22,280.1075170420168
2005-12-23,278.84594715444166
2005-12-26,277.78545743813726
2005-12-27,277.41583973510745
2005-12-28,276.27259327331547
2005-12-29,278.66287449955905
2005-12-30,279.4695779245258
2006-01-02,281.08996275133876
2006-01-03,288.91868857230406
2006-01-04,295.7816106039057
2006-01-05,296.70614858701555
2006-01-06,300.8093281590435
2006-01-09,302.80660028330806
2006-01-10,301.32637021529496
2006-01-11,306.7262281483406
2006-01-12,306.5489794810467
2006-01-13,306.4465881236854
2006-01-16,309.5474321772438
2006-01-17,304.062851186024
2006-01-18,298.82455439139596
2006-01-19,305.62858979666277
2006-01-20,307.8627931533786
2006-01-23,308.9009385654813
2006-01-24,317.11019020303416
2006-01-25,316.821771745546
2006-01-26,323.00190774574
2006-01-27,322.98355266696234
2006-01-30,326.9473526196616
2006-01-31,327.8445983314935
2006-02-01,328.4001304706866
2006-02-02,320.6789517754542
2006-02-03,316.9108967949874
2006-02-06,322.2105045197616
2006-02-07,315.03108302235563
2006-02-08,312.5371276598739
2006-02-09,316.598681699463
2006-02-10,316.61668903994865
2006-02-13,309.35981946720796
2006-02-14,312.8761935283819
2006-02-15,317.54606468682647
2006-02-16,325.35029184432597
2006-02-17,328.22813206750413
2006-02-20,329.02709178350443
2006-02-21,328.5497895182482
2006-02-22,327.5863654673864
2006-02-23,332.0801344160468
2006-02-24,332.9065073065731
2006-02-27,331.8810267144634
2006-02-28,330.86498050535187
2006-03-01,335.29431913869627
2006-03-02,336.2608726008624
2006-03-03,336.5403280756293
2006-03-06,330.02264386532386
2006-03-07,316.0024781072302
2006-03-08,313.3643172485914
2006-03-09,309.70614269459725
2006-03-10,313.0718332120785
2006-03-13,317.89528583720767
2006-03-14,323.73288093142196
2006-03-15,328.6451090077052
2006-03-16,331.83125959793415
2006-03-17,329.89273787875305
2006-03-20,330.0068060111496
2006-03-21,323.90215191881015
2006-03-22,324.99391367217504
2006-03-23,322.8022144383449
2006-03-24,323.5788910818774
2006-03-27,320.85643482452895
2006-03-28,312.13151768896034
2006-03-29,316.7789351736757
2006-03-30,322.2640802653473
2006-03-31,323.1061908041428
2006-04-03,330.8957931617093
2006-04-04,334.7787905552653
2006-04-05,336.3410267962601
2006-04-06,337.0559544887566
2006-04-07,331.3526132209121
2006-04-10,329.5930705748102
2006-04-11,326.1929901584922
2006-04-12,327.6252020105103
2006-04-13,326.2181727474584
2006-04-14,326.2181727474584
2006-04-17,330.9827873351879
2006-04-18,339.56197334282297
2006-04-19,344.00468132666
2006-04-20,342.5624078006295
2006-04-21,344.67323220042175
2006-04-24,344.381477224611
2006-04-25,344.78858491545367
2006-04-26,347.4221092114456
2006-04-27,342.76507271660444
2006-04-28,348.80918398179136
2006-05-01,350.29951590416175
2006-05-02,357.7313526358662
2006-05-03,357.8992853691832
2006-05-04,359.1696811835238
2006-05-05,364.34995817854445
2006-05-08,367.57314246350535
2006-05-09,371.1279829551514
2006-05-10,371.3894016019342
2006-05-11,362.8902364659471
2006-05-12,351.36452427468384
2006-05-15,336.846533052497
2006-05-16,341.0071133724681
2006-05-17,328.5081175620819
2006-05-18,320.5556647160034
2006-05-19,320.99787808100467
2006-05-22,301.6383737984876
2006-05-23,305.36648851215483
2006-05-24,295.9570037091591
2006-05-25,305.45364734528283
2006-05-26,318.02588214452345
2006-05-29,318.44695307200266
2006-05-30,300.19576325694675
2006-05-31,300.3087052474623
2006-06-01,309.87264633325606
2006-06-02,314.59041342139955
2006-06-05,305.81543653725237
2006-06-06,299.1352061277099
2006-06-07,290.845907280893
2006-06-08,287.99981951398047
2006-06-09,284.98837456874395
2006-06-12,273.5715621222213
2006-06-13,262.4355310998832
2006-06-14,266.3749702131515
2006-06-15,275.83269851629194
2006-06-16,284.33483289980103
2006-06-19,280.2517371164884
2006-06-20,279.05428839920705
2006-06-21,288.4470543037961
2006-06-22,288.41110924781924
2006-06-23,290.76659890223715
2006-06-26,292.3338617002194
2006-06-27,287.46608247029513
2006-06-28,290.2701427173633
2006-06-29,304.67618100292066
2006-06-30,313.0531659947633
2006-07-03,324.16023175590885
2006-07-04,325.7864546567917
2006-07-05,312.891140747575
2006-07-06,317.0206791289235
2006-07-07,315.4885317045332
2006-07-10,315.1925159589139
2006-07-11,315.07788455586905
2006-07-12,312.30324230064764
2006-07-13,302.4416585622811
2006-07-14,299.98882069511205
2006-07-17,295.960015490316
2006-07-18,299.718864889732
2006-07-19,315.3229551090192
2006-07-20,309.18810249692416
2006-07-21,306.6052845855628
2006-07-24,313.94668567591407
2006-07-25,316.7461053293965
2006-07-26,314.52813875413415
2006-07-27,319.5662623269651
2006-07-28,323.00402860818036
2006-07-31,322.26877234600056
2006-08-01,317.54348637032587
2006-08-02,322.92017396379305
2006-08-03,324.2339316625096
2006-08-04,327.9854983069456
2006-08-07,326.46567542871054
2006-08-08,324.0006575939488
2006-08-09,323.08293262760765
2006-08-10,323.6035682404441
2006-08-11,323.12758902424196
2006-08-14,320.5724028009804
2006-08-15,326.454128369885
2006-08-16,332.77558914822026
2006-08-17,332.766953587507
2006-08-18,331.59079637046966
2006-08-21,328.9320471484482
2006-08-22,328.6522399519403
2006-08-23,320.82406981980995
2006-08-24,319.4266912743503
2006-08-25,320.9320315520819
2006-08-28,324.2878201702992
2006-08-29,325.3925267230347
2006-08-30,328.17043462954416
2006-08-31,325.4402291374873
2006-09-01,331.06214455688007
2006-09-04,335.9062185320793
2006-09-05,333.3397200256804
2006-09-06,326.02284113764864
2006-09-07,322.8609499720505
2006-09-08,320.78556093121625
2006-09-11,313.6602583475163
2006-09-12,318.70444288477194
2006-09-13,323.5990238798667
2006-09-14,322.9541277374831
2006-09-15,324.21761967754736
2006-09-18,328.89322873908
2006-09-19,326.28608721220456
2006-09-20,322.87691027148526
2006-09-21,317.1538209083466
2006-09-22,311.64064987068315
2006-09-25,313.52641768022835
2006-09-26,320.07854659758823
2006-09-27,324.05594521295137
2006-09-28,326.4243402814769
2006-09-29,328.0060272778118
2006-10-02,329.26942521136283
2006-10-03,324.89276481391283
2006-10-04,332.37584670801704
2006-10-05,336.29817553061326
2006-10-06,335.86643362758105
2006-10-09,338.10934637947094
2006-10-10,341.59839894519087
2006-10-11,339.5587992627617
2006-10-12,342.46712820636753
2006-10-13,348.5370640579141
2006-10-16,351.7480097854114
2006-10-17,347.68364361575107
2006-10-18,349.9470616930312
2006-10-19,352.03850077833704
2006-10-20,350.20910254882483
2006-10-23,352.48667028029513
2006-10-24,354.3328451644044
2006-10-25,356.9506343015477
2006-10-26,358.23047114652917
2006-10-27,354.16239189843867
2006-10-30,347.7984997662015
2006-10-31,353.66947574810376
2006-11-01,355.9434885605117
2006-11-02,354.98091973358754
2006-11-03,357.7848842545135
2006-11-06,365.25908777901896
2006-11-07,364.6635396972347
2006-11-08,366.2281403874244
2006-11-09,366.13166492207813
2006-11-10,363.9507819242504
2006-11-13,362.5961055642621
2006-11-14,367.9039037395283
2006-11-15,368.8095309833709
2006-11-16,368.1264611547794
2006-11-17,364.6189856336676
2006-11-20,365.3086976287115
2006-11-21,368.9593077773787
2006-11-22,371.67010511244797
2006-11-23,372.1556844746098
2006-11-24,370.92884141792246
2006-11-27,364.3559637981921
2006-11-28,363.53916700102275
2006-11-29,371.88342635653635
2006-11-30,373.9348164499635
2006-12-01,370.74152938504955
2006-12-04,378.3045136754857
2006-12-05,385.07749804086757
2006-12-06,385.5861754088155
2006-12-07,385.3665133723041
2006-12-08,386.1690507421743
2006-12-11,387.7957261006179
2006-12-12,385.45269935196137
2006-12-13,387.14717934560457
2006-12-14,391.83007763483266
2006-12-15,392.485114490895
2006-12-18,391.64345764351646
2006-12-19,389.3007657905497
2006-12-20,389.54518294651905
2006-12-21,388.44527028988864
2006-12-22,387.42206595662793
2006-12-25,387.4244000253139
2006-12-26,390.6450115712142
2006-12-27,397.2175516635943
2006-12-28,398.22161142691607
2006-12-29,400.0669568219301
2007-01-01,400.0669568219301
2007-01-02,406.4661787777203
2007-01-03,401.58182274032254
2007-01-04,396.9879126876163
2007-01-05,385.2229179803465
2007-01-08,388.39958184713464
2007-01-09,381.18025231453015
2007-01-10,382.4973515110039
2007-01-11,388.1995316138065
2007-01-12,391.37440994626445
2007-01-15,392.38257178162087
2007-01-16,389.00307956949825
2007-01-17,391.48396755385534
2007-01-18,388.1208096583516
2007-01-19,395.15624778011886
2007-01-22,396.6746856424245
2007-01-23,401.9693368418483
2007-01-24,408.0189007262386
2007-01-25,405.4773288147939
2007-01-26,402.4128622483722
2007-01-29,395.8841573676708
2007-01-30,400.5476661626306
2007-01-31,406.8807640625156
2007-02-01,412.00577150124104
2007-02-02,414.1362104506319
2007-02-05,415.43396739900675
2007-02-06,417.7871827863412
2007-02-07,416.2726229344818
2007-02-08,416.2116558121786
2007-02-09,412.31840266562705
2007-02-12,408.10910485118995
2007-02-13,416.60458431479924
2007-02-14,424.60116734067043
2007-02-15,424.5625856158431
2007-02-16,423.234999400988
2007-02-19,423.7596123487284
2007-02-20,422.5834227743943
2007-02-21,423.859448954671
2007-02-22,428.1243800302193
2007-02-23,422.01905816199735
2007-02-26,420.81897255558323
2007-02-27,392.6665993726922
2007-02-28,395.9231106002347
2007-03-01,391.9180245332042
2007-03-02,385.8795256612369
2007-03-05,374.6718317282637
2007-03-06,389.9136052273483
2007-03-07,388.65511771589297
2007-03-08,397.18022914555615
2007-03-09,402.4321829917693
2007-03-12,403.85353641965077
2007-03-13,392.6624277211178
2007-03-14,393.4666652872689
2007-03-15,396.92123078689235
2007-03-16,393.7545157505499
2007-03-19,400.76430956628263
2007-03-20,406.67600461067485
2007-03-21,417.7319153689932
2007-03-22,419.4527984115755
2007-03-23,418.88262024613266
2007-03-26,419.44735960391716
2007-03-27,415.66103836867234
2007-03-28,409.80960853831937
2007-03-29,420.12098839135825
2007-03-30,424.15491661841094
2007-04-02,425.3598216649671
2007-04-03,432.631519420936
2007-04-04,435.1013332394031
2007-04-05,436.5771294970942
2007-04-06,436.5771294970942
2007-04-09,440.4869624849414
2007-04-10,441.77080653056584
2007-04-11,438.732173462556
2007-04-12,441.40919759465976
2007-04-13,446.81852645965165
2007-04-16,452.2538592057013
2007-04-17,451.3065906952142
2007-04-18,450.041753724539
2007-04-19,449.9555845238839
2007-04-20,456.0050339426561
2007-04-23,454.2039830727241
2007-04-24,450.11750117074394
2007-04-25,455.09881053605284
2007-04-26,452.7719875008738
2007-04-27,451.5588908947292
2007-04-30,447.1337473156464
2007-05-01,446.76745564120296
2007-05-02,452.7850900823172
2007-05-03,461.5634897975499
2007-05-04,464.754976390596
2007-05-07,462.6376471042345
2007-05-08,461.74241349824376
2007-05-09,470.8568575032585
2007-05-10,464.15982849235183
2007-05-11,469.57718403961104
2007-05-14,465.44791103284814
2007-05-15,466.80091346859973
2007-05-16,481.35389503584213
2007-05-17,481.47330448792474
2007-05-18,485.7632804217317
2007-05-21,490.80071827260997
2007-05-22,489.3205058478275
2007-05-23,488.96330308006907
2007-05-24,473.75763226855963
2007-05-25,484.2772726489183
2007-05-28,488.14578183600344
2007-05-29,486.19969732822204
2007-05-30,490.50202474795464
2007-05-31,494.5140920834976
2007-06-01,508.80448151344984
2007-06-04,507.47264727959697
