Date,EM ASIA WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1029.0789944738174
2008-11-27,1054.521387422495
2008-11-28,1061.0511547540716
2008-12-01,1065.845081992882
2008-12-02,1029.3518287790482
2008-12-03,1040.7720199182418
2008-12-04,1042.60836573761
2008-12-05,1051.5823223035968
2008-12-08,1116.901485645449
2008-12-09,1115.5373344123816
2008-12-10,1176.7704686745901
2008-12-11,1184.0767973405914
2008-12-12,1131.7032149562192
2008-12-15,1164.6673879410012
2008-12-16,1176.1830657775138
2008-12-17,1200.581455994426
2008-12-18,1227.9405594944062
2008-12-19,1220.4534489125363
2008-12-22,1185.0767630706177
2008-12-23,1138.8712466989073
2008-12-24,1137.4214618090405
2008-12-25,1135.814258246563
2008-12-26,1130.7573317894773
2008-12-29,1145.671066927728
2008-12-30,1159.279801558648
2008-12-31,1160.9693004040432
2009-01-01,1164.2405071182748
2009-01-02,1179.24895429179
2009-01-05,1220.76735116943
2009-01-06,1228.4598754109693
2009-01-07,1217.4671252996764
2009-01-08,1165.647123308477
2009-01-09,1154.587662627214
2009-01-12,1122.9498155750696
2009-01-13,1115.74730175055
2009-01-14,1135.797199136306
2009-01-15,1084.4007913846417
2009-01-16,1107.4619875448116
2009-01-19,1114.3145689500327
2009-01-20,1088.6738610354546
2009-01-21,1068.947962538138
2009-01-22,1074.6078605174225
2009-01-23,1058.9218929872577
2009-01-26,1059.1846218067642
2009-01-27,1065.0475732031034
2009-01-28,1087.5228462498953
2009-01-29,1101.4044414759649
2009-01-30,1106.717265259239
2009-02-02,1087.0762330969462
2009-02-03,1102.8736366922315
2009-02-04,1128.2856624304143
2009-02-05,1128.188705060292
2009-02-06,1163.9982125196582
2009-02-09,1173.7160041840914
2009-02-10,1176.4370587851113
2009-02-11,1164.9971184502115
2009-02-12,1142.3163396443565
2009-02-13,1168.872404962587
2009-02-16,1157.364081021568
2009-02-17,1109.2591205321437
2009-02-18,1096.4395238881607
2009-02-19,1100.2505397051395
2009-02-20,1073.2083451502228
2009-02-23,1100.1211775814052
2009-02-24,1066.883500883229
2009-02-25,1076.9733387765746
2009-02-26,1060.242408987095
2009-02-27,1051.478151118013
2009-03-02,1012.1917215483095
2009-03-03,1014.8153245723946
2009-03-04,1049.397681399394
2009-03-05,1049.3991694696679
2009-03-06,1047.996957848781
2009-03-09,1037.968612450589
2009-03-10,1058.569404620188
2009-03-11,1080.23204069075
2009-03-12,1077.382562374055
2009-03-13,1102.9994685213487
2009-03-16,1128.971703317934
2009-03-17,1143.0099468214157
2009-03-18,1150.8097454746994
2009-03-19,1164.2510312160878
2009-03-20,1151.5877857745957
2009-03-23,1200.426180554588
2009-03-24,1219.7244772683835
2009-03-25,1221.3278803278324
2009-03-26,1258.8199017359643
2009-03-27,1259.801911128463
2009-03-30,1202.3547875906006
2009-03-31,1215.5581309338825
2009-04-01,1232.0108309559087
2009-04-02,1292.0518642797663
2009-04-03,1295.1783597542574
2009-04-06,1320.162220550474
2009-04-07,1308.0751635010502
2009-04-08,1267.7320141979171
2009-04-09,1311.377477540532
2009-04-10,1326.7080157742007
2009-04-13,1336.4789663177057
2009-04-14,1359.6362540993507
2009-04-15,1364.6234346485544
2009-04-16,1365.0249701679086
2009-04-17,1353.4932070528569
2009-04-20,1366.6822811077272
2009-04-21,1349.9165541007128
2009-04-22,1336.1041887725241
2009-04-23,1354.3562702285167
2009-04-24,1357.709643728411
2009-04-27,1327.7237371484644
2009-04-28,1300.1988538411658
2009-04-29,1341.6487241401992
2009-04-30,1398.295108256077
2009-05-01,1398.2874728374181
2009-05-04,1469.7197884337234
2009-05-05,1475.9893506131407
2009-05-06,1486.804311581511
2009-05-07,1499.8571401022084
2009-05-08,1512.1766872486853
2009-05-11,1502.7836491344392
2009-05-12,1497.2769625330695
2009-05-13,1502.9770649779725
2009-05-14,1462.7792273490195
2009-05-15,1485.579247114035
2009-05-18,1528.4598209222586
2009-05-19,1562.9245249829532
2009-05-20,1564.306427597811
2009-05-21,1549.876205716408
2009-05-22,1544.2367555880094
2009-05-25,1544.1553929849902
2009-05-26,1517.985341104929
2009-05-27,1559.1006890506196
2009-05-28,1572.0769647264228
2009-05-29,1588.9066846636656
2009-06-01,1643.7609913994652
2009-06-02,1629.6065364693836
2009-06-03,1640.8604259877593
2009-06-04,1621.168655620532
2009-06-05,1636.1235394839125
2009-06-08,1608.8840290780367
2009-06-09,1594.950141520768
2009-06-10,1644.402821930103
2009-06-11,1645.0263955560822
2009-06-12,1633.74332840044
2009-06-15,1605.1517602153174
2009-06-16,1590.3130277622145
2009-06-17,1579.9243629342645
2009-06-18,1560.7909338075003
2009-06-19,1577.1764170018373
2009-06-22,1584.52823155136
2009-06-23,1550.1656536376508
2009-06-24,1581.2012325854837
2009-06-25,1599.8648407129222
2009-06-26,1622.3604792248748
2009-06-29,1622.4565205500803
2009-06-30,1618.4392900847383
2009-07-01,1639.7647961829998
2009-07-02,1645.1769566817209
2009-07-03,1654.4276456666714
2009-07-06,1639.1010672036118
2009-07-07,1636.9810530530674
2009-07-08,1620.8629814433932
2009-07-09,1632.807072172103
2009-07-10,1623.6110344302917
2009-07-13,1575.7650521140206
2009-07-14,1620.6808802064386
2009-07-15,1662.6001380156029
2009-07-16,1675.2180301963142
2009-07-17,1698.8867677174553
2009-07-20,1749.7074852931357
2009-07-21,1746.8353618665535
2009-07-22,1743.7585049225918
2009-07-23,1768.526309894638
2009-07-24,1783.0638761946816
2009-07-27,1811.5409597620746
2009-07-28,1833.7524846549532
2009-07-29,1792.7052967891843
2009-07-30,1803.1079470220093
2009-07-31,1836.4339929398864
2009-08-03,1860.7410101840128
2009-08-04,1853.7474948131892
2009-08-05,1834.4534985264881
2009-08-06,1835.158536394082
2009-08-07,1806.2255902175802
2009-08-10,1816.899495255636
2009-08-11,1818.6061139349986
2009-08-12,1777.7307402803103
2009-08-13,1810.3778702627353
2009-08-14,1808.2533904096388
2009-08-17,1733.8308846202951
2009-08-18,1739.7884494491354
2009-08-19,1712.0125927373876
