Date,WORLD ex ISRAEL SMALL VALUE
2010-05-26,1000.0
2010-05-27,1030.2742046038027
2010-05-28,1020.1155749563683
2010-05-31,1026.6061602496884
2010-06-01,1006.4542730842852
2010-06-02,1025.2861806446158
2010-06-03,1035.9484783070332
2010-06-04,1013.6070597129284
2010-06-07,999.9301855550386
2010-06-08,998.839484909177
2010-06-09,996.1304351621767
2010-06-10,1019.2501004587344
2010-06-11,1029.2275210939358
2010-06-14,1026.087509687744
2010-06-15,1041.7361875225165
2010-06-16,1039.3118508310583
2010-06-17,1035.8953717167326
2010-06-18,1037.2055372331433
2010-06-21,1036.364787855069
2010-06-22,1029.9079780300033
2010-06-23,1026.7926487289546
2010-06-24,1008.3622064734816
2010-06-25,1016.7523926493169
2010-06-28,1012.7751007513295
2010-06-29,991.8774639804707
2010-06-30,978.0015133137541
2010-07-01,954.9521729329131
2010-07-02,942.4243198634035
2010-07-05,946.454767668525
2010-07-06,942.4772047762821
2010-07-07,964.6205753177495
2010-07-08,974.1286073622286
2010-07-09,986.9050358472246
2010-07-12,985.460292632886
2010-07-13,1000.8138789527425
2010-07-14,995.679057873132
2010-07-15,981.1817699454607
2010-07-16,953.412350249135
2010-07-19,952.2463188855429
2010-07-20,965.3012923997974
2010-07-21,964.1756855949081
2010-07-22,981.3353143756245
2010-07-23,1000.4206230001322
2010-07-26,1008.7118990858519
2010-07-27,1003.7024140107957
2010-07-28,994.0943499178253
2010-07-29,990.5240801966958
2010-07-30,992.5555397428711
2010-08-02,1000.1048114304222
2010-08-03,994.0223128787313
2010-08-04,1002.2068456310861
2010-08-05,998.7631457191374
2010-08-06,987.9067926230495
2010-08-09,998.6703796731435
2010-08-10,993.2346840446202
2010-08-11,975.7570493868493
2010-08-12,971.4264664493382
2010-08-13,974.0994782370723
2010-08-16,972.3778978904194
2010-08-17,984.5519661655044
2010-08-18,988.0656043297001
2010-08-19,973.1347872533971
2010-08-20,976.7002454036093
2010-08-23,974.4697573892934
2010-08-24,962.0174449379105
2010-08-25,968.0026995580527
2010-08-26,960.6562891422102
2010-08-27,977.6889121107461
2010-08-30,971.4943474960138
2010-08-31,968.6336068985476
2010-09-01,988.1419288360213
2010-09-02,996.4387611948797
2010-09-03,1005.8269815302564
2010-09-06,1008.9347404255666
2010-09-07,1005.4846844288927
2010-09-08,1008.1388908574016
2010-09-09,1014.1792252772225
2010-09-10,1017.1595604122758
2010-09-13,1023.9826199324086
2010-09-14,1016.8627349679542
