Date,WORLD ex EMU SMALL VALUE
1998-12-31,370.32368938407456
1999-01-01,370.32410249949714
1999-01-04,369.4572953270276
1999-01-05,370.34632748660573
1999-01-06,375.6392249443147
1999-01-07,377.8285431668954
1999-01-08,382.7579456383526
1999-01-11,385.57931983158477
1999-01-12,380.358539951357
1999-01-13,371.16052299852225
1999-01-14,369.4236353757562
1999-01-15,374.77507318396925
1999-01-18,375.1575072368112
1999-01-19,376.54239736862144
1999-01-20,377.01064143627275
1999-01-21,374.4588899515887
1999-01-22,372.86017506067265
1999-01-25,373.7135862811095
1999-01-26,374.61325025700717
1999-01-27,374.1081893837992
1999-01-28,376.84533900234266
1999-01-29,380.35815342348843
1999-02-01,382.76222409560927
1999-02-02,381.7031701579501
1999-02-03,382.1185622126702
1999-02-04,382.0860398734837
1999-02-05,379.8854070859231
1999-02-08,380.3661517656908
1999-02-09,375.33176745373345
1999-02-10,371.32997869266256
1999-02-11,374.69606808562713
1999-02-12,372.0590373810398
1999-02-15,373.04799528866585
1999-02-16,372.94793888935203
1999-02-17,368.08387251311444
1999-02-18,368.7372716441098
1999-02-19,372.558382891739
1999-02-22,377.3674713626472
1999-02-23,378.8881633734492
1999-02-24,377.1049751037303
1999-02-25,374.04692102624574
1999-02-26,377.4240396181511
1999-03-01,379.42937075047456
1999-03-02,379.0575396975856
1999-03-03,378.56289862674595
1999-03-04,381.4402493177698
1999-03-05,384.9552047415459
1999-03-08,383.6611505994208
1999-03-09,383.841597465669
1999-03-10,384.75945818731356
1999-03-11,390.0253433293346
1999-03-12,387.6103493985668
1999-03-15,389.04237302771355
1999-03-16,390.85044054741854
1999-03-17,387.27059287318696
1999-03-18,387.9087334372969
1999-03-19,390.76117608539977
1999-03-22,390.04767560298757
1999-03-23,386.56927405057843
1999-03-24,385.71141444632684
1999-03-25,390.89352499259644
1999-03-26,395.0951646858155
1999-03-29,398.6620608916158
1999-03-30,395.3328297418905
1999-03-31,395.11807397423615
1999-04-01,395.2601881027754
1999-04-02,396.31280393360885
1999-04-05,399.604316484464
1999-04-06,397.82651809559314
1999-04-07,396.4038011313505
1999-04-08,397.883179267156
1999-04-09,403.56935393959355
1999-04-12,404.47978972988835
1999-04-13,409.03627553031595
1999-04-14,412.18319174250206
1999-04-15,417.5601919499615
1999-04-16,424.73111206163975
1999-04-19,428.70188139449215
1999-04-20,425.90780829637754
1999-04-21,429.94073863072566
1999-04-22,432.211885438103
1999-04-23,433.27670908939996
1999-04-26,435.4018367282549
1999-04-27,433.9768298858801
1999-04-28,436.9642085492356
1999-04-29,439.65031974153504
1999-04-30,440.86963446312774
1999-05-03,443.0281182872676
1999-05-04,442.44593977588016
1999-05-05,440.2567811529518
1999-05-06,439.21374035928056
1999-05-07,438.87063628181056
1999-05-10,441.48117359670937
1999-05-11,445.58144299699967
1999-05-12,447.9725315204871
1999-05-13,450.2290291190367
1999-05-14,443.94158603847774
1999-05-17,440.5197446455797
1999-05-18,440.7174497389418
1999-05-19,440.2296427697259
1999-05-20,443.6457592724248
1999-05-21,447.86900944050456
1999-05-24,444.19807557743286
1999-05-25,440.02744692775065
1999-05-26,444.66850447362464
1999-05-27,444.517207962141
1999-05-28,447.2168700665402
1999-05-31,448.0701687748261
1999-06-01,448.40233161938465
1999-06-02,452.5051548789376
1999-06-03,452.6024407910377
1999-06-04,456.911082775727
1999-06-07,460.5609791967817
1999-06-08,455.3695199934149
1999-06-09,456.9971798454164
1999-06-10,455.19496064726394
1999-06-11,455.1973966822322
1999-06-14,455.36735036573486
1999-06-15,456.0791859613946
1999-06-16,463.9165461444225
1999-06-17,466.48943407850624
1999-06-18,464.183040632083
1999-06-21,469.5866623720668
1999-06-22,470.384587157788
1999-06-23,469.8024617182118
1999-06-24,466.20968397059335
1999-06-25,461.8747170250294
1999-06-28,468.95914811846933
1999-06-29,472.47803451534236
1999-06-30,477.6472031896125
1999-07-01,482.6798066831159
1999-07-02,486.074270233583
1999-07-05,486.74342417210113
1999-07-06,485.43842786545184
1999-07-07,484.74100409686923
1999-07-08,487.14123902169564
1999-07-09,488.1441371096905
1999-07-12,492.35947506939306
1999-07-13,490.1554926741575
1999-07-14,491.1048949881646
1999-07-15,492.2288272012187
1999-07-16,491.7832506507995
1999-07-19,493.79067362540485
1999-07-20,480.51954928229736
1999-07-21,477.1783471955347
1999-07-22,475.37811411217297
1999-07-23,474.10584071365486
1999-07-26,463.7790944181148
1999-07-27,465.7160293988585
1999-07-28,466.8867290604416
1999-07-29,462.2077540047908
1999-07-30,464.7407695422181
1999-08-02,465.2431687748974
1999-08-03,462.65161074795645
1999-08-04,456.74322914279037
1999-08-05,452.0433563961499
1999-08-06,450.9412389982462
1999-08-09,452.6930050593056
1999-08-10,449.72825508210826
1999-08-11,453.8988956428342
1999-08-12,455.69778486323344
1999-08-13,460.6211305617579
1999-08-16,463.1138765042599
1999-08-17,466.6993771556145
1999-08-18,466.5989720361403
1999-08-19,463.64711937605557
1999-08-20,464.37874529095575
1999-08-23,468.46873482398115
1999-08-24,469.8529333009139
1999-08-25,473.0292694009278
