Date,EU SMALL VALUE
2007-05-31,1000.0
2007-06-01,1006.62976990561
2007-06-04,1003.2247597614785
2007-06-05,998.5690220705786
2007-06-06,980.5489469506089
2007-06-07,963.788503049131
2007-06-08,960.8853140084444
2007-06-11,971.5818911465337
2007-06-12,966.6093370086119
2007-06-13,965.9978907812072
2007-06-14,978.5308568006046
2007-06-15,987.9947398684906
2007-06-18,986.1928920610952
2007-06-19,983.71802594125
2007-06-20,984.7826316169757
2007-06-21,974.00028046973
2007-06-22,973.0875862246666
2007-06-25,968.6483955991529
2007-06-26,965.2150972462842
2007-06-27,958.8882554620727
2007-06-28,970.290418276205
2007-06-29,972.6723118859928
2007-07-02,970.5451054956437
2007-07-03,980.7812027467053
2007-07-04,986.5757495200428
2007-07-05,983.8767408721673
2007-07-06,986.5909981841687
2007-07-09,989.8336061338093
2007-07-10,983.4692937967759
2007-07-11,980.062285341343
2007-07-12,988.3966456481431
2007-07-13,993.6901018544976
2007-07-16,993.8279524180597
2007-07-17,990.6736686898373
2007-07-18,983.3756805795117
2007-07-19,990.7985349095046
2007-07-20,986.1857282696847
2007-07-23,986.8731039453287
2007-07-24,972.7307701797603
2007-07-25,962.5039852154678
2007-07-26,936.5472141897662
2007-07-27,929.3131359955569
2007-07-30,930.3841759719528
2007-07-31,947.5370914790207
2007-08-01,931.4682141704482
2007-08-02,936.049463396773
2007-08-03,927.7406321641071
2007-08-06,911.1103372201964
2007-08-07,920.6411396037187
2007-08-08,933.3442140318639
2007-08-09,914.473825191202
2007-08-10,890.5955227799734
2007-08-13,908.3364137644292
2007-08-14,898.682540225765
2007-08-15,891.5810778978758
2007-08-16,859.1481329981957
2007-08-17,867.4858044266158
2007-08-20,874.8661091418579
2007-08-21,870.6395430667773
2007-08-22,891.2496840976515
2007-08-23,896.5417222706285
2007-08-24,898.8648067167318
2007-08-27,901.664550250976
2007-08-28,886.7855564287287
2007-08-29,894.7069037043253
2007-08-30,905.7210920229184
2007-08-31,919.3640494775053
2007-09-03,923.8655885386415
2007-09-04,930.5860950830242
2007-09-05,916.2077020663013
2007-09-06,915.3586493883574
2007-09-07,897.7032395178813
2007-09-10,886.365612480579
2007-09-11,899.4580615543139
2007-09-12,898.455522902828
2007-09-13,896.1805067332143
2007-09-14,882.9489332503396
2007-09-17,863.8297590162912
2007-09-18,870.4530107045381
2007-09-19,890.2026351769983
2007-09-20,881.7791200002715
2007-09-21,887.5638565627623
2007-09-24,886.0403685743324
2007-09-25,870.8124310506157
2007-09-26,874.1856958381534
2007-09-27,883.4596785404652
2007-09-28,883.0407678162816
2007-10-01,887.3900389504565
2007-10-02,898.385874935922
2007-10-03,903.1847713678517
2007-10-04,905.353861579293
2007-10-05,909.4695665241405
2007-10-08,910.8404698289642
2007-10-09,914.4257520296806
2007-10-10,917.6432050728178
2007-10-11,921.4357176193361
2007-10-12,920.0649684136756
2007-10-15,914.0954317257781
2007-10-16,906.9316649009793
2007-10-17,915.8793411411539
2007-10-18,904.8590667469517
2007-10-19,900.2508273311234
2007-10-22,886.2055516091484
2007-10-23,900.7245119514818
2007-10-24,893.9444936116291
