Date,EUROPE ex UK SMALL VALUE
1998-12-31,274.8755604593464
1999-01-01,274.81811016768046
1999-01-04,278.92996419059136
1999-01-05,279.57994855134837
1999-01-06,280.6405504118613
1999-01-07,279.47721563920044
1999-01-08,279.94373032000095
1999-01-11,280.2844513693073
1999-01-12,279.2847784659505
1999-01-13,273.1122218028311
1999-01-14,274.3063396025041
1999-01-15,274.15242671833937
1999-01-18,276.4195370123903
1999-01-19,276.8290190804798
1999-01-20,276.1874063498802
1999-01-21,274.98258350121836
1999-01-22,272.95153365977825
1999-01-25,272.5714486178294
1999-01-26,273.3086102806745
1999-01-27,274.24363933724527
1999-01-28,274.48725944310684
1999-01-29,275.2504181604238
1999-02-01,276.18852116913223
1999-02-02,275.52601429962914
1999-02-03,275.52495620616264
1999-02-04,276.4510715962773
1999-02-05,276.70257444633444
1999-02-08,277.0198000722904
1999-02-09,275.9585641161164
1999-02-10,274.7106880065632
1999-02-11,276.0728303915769
1999-02-12,277.31901568411683
1999-02-15,277.8507767228978
1999-02-16,277.84001773927383
1999-02-17,276.4151857831656
1999-02-18,275.6525034676614
1999-02-19,275.6489549700715
1999-02-22,276.76891964420514
1999-02-23,277.427597938567
1999-02-24,278.3535479706559
1999-02-25,277.8908143269197
1999-02-26,277.91724839914446
1999-03-01,278.55477798377416
1999-03-02,278.27363713558935
1999-03-03,278.3938730170241
1999-03-04,277.58370459606357
1999-03-05,278.80718965689124
1999-03-08,279.716408346993
1999-03-09,279.97714513026176
1999-03-10,279.83896784902237
1999-03-11,280.82691194039563
1999-03-12,281.28906538485535
1999-03-15,281.31998692476856
1999-03-16,281.04167297411306
1999-03-17,280.8839132240664
1999-03-18,280.68257947470073
1999-03-19,281.9709178301726
1999-03-22,281.2816671601316
1999-03-23,280.59155721801505
1999-03-24,277.97747063809487
1999-03-25,279.3123554486743
1999-03-26,279.59147942232727
1999-03-29,280.5681056472254
1999-03-30,280.74257402376037
1999-03-31,281.4183543629341
1999-04-01,281.2893426213495
1999-04-02,281.633918815583
1999-04-05,281.3471425487687
1999-04-06,282.53896049920644
1999-04-07,283.5293202843996
1999-04-08,284.0783811576975
1999-04-09,284.54636531546714
1999-04-12,284.3621906490109
1999-04-13,285.38239481184365
1999-04-14,286.3075712489325
1999-04-15,286.89123860264755
1999-04-16,287.5111523392799
1999-04-19,289.07031309619447
1999-04-20,287.5099281723195
1999-04-21,288.07780912535117
1999-04-22,288.549144373731
1999-04-23,289.420388895125
1999-04-26,290.1248331412763
1999-04-27,291.11206814651865
1999-04-28,291.5128836778179
1999-04-29,292.0637621260398
1999-04-30,293.3864339690333
1999-05-03,294.8156539784479
1999-05-04,296.5247442128026
1999-05-05,295.9688373125382
1999-05-06,296.70462781986794
1999-05-07,296.72849215388817
1999-05-10,297.26878940714863
1999-05-11,298.32582344330024
1999-05-12,298.10754147180376
1999-05-13,298.4880769316357
1999-05-14,297.9783515310141
1999-05-17,295.6577573919211
1999-05-18,296.4197947786687
1999-05-19,296.72425791962803
1999-05-20,297.4876935056893
1999-05-21,297.8009369564691
1999-05-24,297.7363416548558
1999-05-25,296.44354118818404
1999-05-26,296.19027368389874
1999-05-27,296.2360740546082
1999-05-28,295.63410247150364
1999-05-31,296.6108876195243
1999-06-01,296.66902712824174
1999-06-02,296.28536523877875
1999-06-03,297.10697990030894
1999-06-04,298.0856310536614
1999-06-07,298.90821215886507
1999-06-08,299.039204891601
1999-06-09,299.06674916912544
1999-06-10,298.7176282245637
1999-06-11,299.5480819908784
1999-06-14,299.53245498262373
1999-06-15,299.70061547754057
1999-06-16,300.24057055223267
1999-06-17,300.76140514171635
1999-06-18,301.3330307065195
1999-06-21,302.6710439682363
1999-06-22,301.96968488113254
1999-06-23,301.562827164393
1999-06-24,301.11885612816457
1999-06-25,300.73250975626763
1999-06-28,301.38085316635824
1999-06-29,301.72812510215084
1999-06-30,301.8715225299529
1999-07-01,302.9326691067922
1999-07-02,303.13554621051753
1999-07-05,305.31881438474625
1999-07-06,305.26553218282453
1999-07-07,304.92928177660576
1999-07-08,304.6996537500229
1999-07-09,304.90528814091954
1999-07-12,305.3518807007601
1999-07-13,304.36571616164576
1999-07-14,305.00871472895994
1999-07-15,305.18501752866445
1999-07-16,305.32274269381236
1999-07-19,306.16766744818693
1999-07-20,304.6104261417387
1999-07-21,302.34000233229364
1999-07-22,301.33378254963264
1999-07-23,301.2164860418382
1999-07-26,300.1761845978256
1999-07-27,299.6099988529808
1999-07-28,300.2787719139407
1999-07-29,298.6390596345607
1999-07-30,299.22687702629497
1999-08-02,298.0228678868996
1999-08-03,298.1627469596816
1999-08-04,298.34150741854955
1999-08-05,297.0087952692556
1999-08-06,297.6817265345546
1999-08-09,299.0469839520317
1999-08-10,298.25266767471896
1999-08-11,299.0528123030552
1999-08-12,301.316585182804
1999-08-13,302.5999833412244
1999-08-16,303.7090443139536
