Date,WORLD ex UK SMALL VALUE
1998-12-31,382.3505218234427
1999-01-01,382.3313527682961
1999-01-04,382.62456796494337
1999-01-05,383.4402724465706
1999-01-06,387.9526995017931
1999-01-07,389.56247135684987
1999-01-08,393.70795370287885
1999-01-11,396.11685478618546
1999-01-12,391.1845228614707
1999-01-13,381.56692982720773
1999-01-14,380.27053771545997
1999-01-15,385.3371108027291
1999-01-18,386.2111020790016
1999-01-19,387.5288304679092
1999-01-20,388.0379665349338
1999-01-21,385.43025719435434
1999-01-22,383.5555642805245
1999-01-25,384.09965531100005
1999-01-26,385.0878042509219
1999-01-27,384.5470948793526
1999-01-28,386.724699883777
1999-01-29,389.7367010454205
1999-02-01,391.4730834137046
1999-02-02,389.6883702855207
1999-02-03,390.03533588025607
1999-02-04,389.7073363508883
1999-02-05,387.4966939430669
1999-02-08,387.8177787406695
1999-02-09,383.00338256751616
1999-02-10,379.3144186395417
1999-02-11,382.60920112307923
1999-02-12,380.11759299819346
1999-02-15,381.0424851956223
1999-02-16,380.6424812521068
1999-02-17,375.9878035139817
1999-02-18,376.5751234817234
1999-02-19,379.77751901385665
1999-02-22,384.35354427625157
1999-02-23,385.93454360545365
1999-02-24,384.5408590174019
1999-02-25,381.8130040488851
1999-02-26,384.64518728056277
1999-03-01,386.41078788164464
1999-03-02,385.5798006782886
1999-03-03,384.758582210523
1999-03-04,386.887372436953
1999-03-05,390.2282127846574
1999-03-08,389.2785363360645
1999-03-09,389.3754555038181
1999-03-10,389.8034415864893
1999-03-11,393.80938075298843
1999-03-12,391.47181582115707
1999-03-15,393.2825181815183
1999-03-16,394.6184691703418
1999-03-17,391.5837295890272
1999-03-18,392.06524633700496
1999-03-19,394.58538836603657
1999-03-22,393.5894318427771
1999-03-23,390.08054312154235
1999-03-24,388.5648905885612
1999-03-25,393.9319735312599
1999-03-26,397.62999377161503
1999-03-29,401.0574121952288
1999-03-30,398.3435441978824
1999-03-31,398.41505007598056
1999-04-01,398.819689663599
1999-04-02,399.86319891564574
1999-04-05,402.673218304386
1999-04-06,401.71290475736134
1999-04-07,400.4027794796126
1999-04-08,401.5607831393626
1999-04-09,406.62512914223714
1999-04-12,407.43554694388877
1999-04-13,411.5753648419786
1999-04-14,414.372517328475
1999-04-15,419.05717545606325
1999-04-16,424.97173223597827
1999-04-19,428.0712223283179
1999-04-20,425.3869742331058
1999-04-21,429.16704325280216
1999-04-22,430.84052547851326
1999-04-23,431.8310832551622
1999-04-26,433.81037664294956
1999-04-27,432.72524546267937
1999-04-28,435.53208466030924
1999-04-29,438.1077205799155
1999-04-30,439.2149114199575
1999-05-03,441.49476018298964
1999-05-04,440.7362373123811
1999-05-05,438.8861738054348
1999-05-06,438.1662360544843
1999-05-07,438.09936351464677
1999-05-10,440.74679519788685
1999-05-11,444.76024769179463
1999-05-12,446.9371147858337
1999-05-13,448.88160891198794
1999-05-14,443.2546116497838
1999-05-17,439.73640367329267
1999-05-18,440.1867018501796
1999-05-19,439.8584276494779
1999-05-20,443.05531683702316
1999-05-21,446.85746886649554
1999-05-24,443.6114512583968
1999-05-25,439.8270679353678
1999-05-26,443.6242649564154
1999-05-27,443.36388619946246
1999-05-28,445.668105526676
1999-05-31,446.4584455774416
1999-06-01,446.7219154853879
1999-06-02,449.86587474880537
1999-06-03,450.2135719808
1999-06-04,454.0435182007637
1999-06-07,457.54553861890963
1999-06-08,453.1178469053244
1999-06-09,454.63681987600074
1999-06-10,452.89530383322244
1999-06-11,452.79988349750374
1999-06-14,452.53412204384676
1999-06-15,453.52106744359884
1999-06-16,460.2838025747808
1999-06-17,462.62997877838427
1999-06-18,460.78735997411013
1999-06-21,465.7528346566569
1999-06-22,466.29787492126513
1999-06-23,466.079287963449
1999-06-24,462.9332764785029
1999-06-25,459.2786718113874
1999-06-28,465.72736021714974
1999-06-29,469.0364082208185
1999-06-30,473.93084494283124
1999-07-01,478.38875426323096
1999-07-02,481.26210694199756
1999-07-05,482.2146228206314
1999-07-06,481.1872524056593
1999-07-07,480.4924825772859
1999-07-08,482.2980329647263
1999-07-09,483.3258708088703
1999-07-12,486.78258365815316
1999-07-13,484.7921518529531
1999-07-14,485.63931778610225
1999-07-15,486.5019048476738
1999-07-16,486.0233591305244
1999-07-19,487.93900752837794
1999-07-20,476.1295981980678
1999-07-21,473.06950603465793
1999-07-22,470.84248755660184
1999-07-23,469.8034020547142
1999-07-26,460.49673504130595
1999-07-27,462.0439582471177
1999-07-28,463.15633876911767
1999-07-29,458.20354048177694
1999-07-30,460.37969590355846
1999-08-02,460.4151835766358
1999-08-03,458.01022779612646
1999-08-04,452.7056059653887
1999-08-05,448.48094562060277
1999-08-06,447.52817523393696
1999-08-09,449.5087624368566
1999-08-10,446.64597994803654
1999-08-11,450.42103755524846
1999-08-12,452.28425179081586
1999-08-13,456.8313784880566
1999-08-16,459.28602901109247
1999-08-17,462.5413513992455
1999-08-18,462.4176556719152
1999-08-19,459.5638345525629
1999-08-20,460.6942306990814
1999-08-23,464.7240294631395
1999-08-24,466.0376476032714
1999-08-25,469.1213650657891
1999-08-26,468.53417831189165
1999-08-27,466.27031613160796
1999-08-30,465.3496764391371
1999-08-31,461.98356659066025
1999-09-01,463.79529254071633
1999-09-02,458.2732125180509
1999-09-03,464.79576768683273
1999-09-06,467.3072334991281
1999-09-07,466.590772711461
1999-09-08,464.51722191744926
1999-09-09,469.096673547113
1999-09-10,474.27745423568376
1999-09-13,480.3126205633235
1999-09-14,477.5498266850158
1999-09-15,478.91355400793265
1999-09-16,473.9848450420123
1999-09-17,473.7950092687549
1999-09-20,472.5240420670579
1999-09-21,468.24074279139825
1999-09-22,464.91168283276875
1999-09-23,464.1858111357099
1999-09-24,457.95391048598196
1999-09-27,458.2444651548202
1999-09-28,456.2681061187332
1999-09-29,452.4102220237403
1999-09-30,456.9085258296224
1999-10-01,455.50724587908377
1999-10-04,455.9893163219523
1999-10-05,455.1516790980773
1999-10-06,455.19170115071466
1999-10-07,454.40322244154663
1999-10-08,457.072055210547
1999-10-11,457.81266896258893
1999-10-12,452.68093621010917
1999-10-13,447.07737021297163
1999-10-14,444.9283420336326
1999-10-15,438.50947194947213
1999-10-18,433.91598058391645
1999-10-19,435.7615399932937
1999-10-20,439.32951060860273
1999-10-21,437.1396329104768
1999-10-22,443.4840629243695
1999-10-25,444.4912424590971
1999-10-26,446.2824042475621
1999-10-27,448.4590191099151
1999-10-28,450.9841702731045
1999-10-29,455.1032003156448
1999-11-01,456.73494143139226
1999-11-02,458.1582347340813
1999-11-03,459.42747279627946
1999-11-04,461.7459621231124
1999-11-05,462.3557319918637
1999-11-08,464.5250812268187
1999-11-09,463.9033867593281
1999-11-10,463.2028371176464
1999-11-11,461.24517098685203
1999-11-12,464.1862412918785
1999-11-15,463.8060419147052
1999-11-16,464.27293263105037
1999-11-17,463.86301780572467
1999-11-18,469.3846130226029
1999-11-19,469.40589868992663
1999-11-22,467.49804395910076
1999-11-23,466.52147899230334
1999-11-24,468.2896278980822
1999-11-25,467.38179150366904
1999-11-26,473.11292743959865
1999-11-29,474.25429248168126
1999-11-30,473.92717542737097
1999-12-01,473.40455390223224
1999-12-02,475.475679758858
1999-12-03,477.96942915152147
1999-12-06,468.68421316730735
1999-12-07,468.0785301508354
1999-12-08,466.11273711663307
1999-12-09,466.3826238799072
1999-12-10,468.5990398998842
1999-12-13,470.092567135972
1999-12-14,468.7031244637947
1999-12-15,467.99192912401384
1999-12-16,463.527918060126
1999-12-17,466.8129267007698
1999-12-20,466.1884145259495
1999-12-21,467.509928494606
1999-12-22,468.928454865219
1999-12-23,468.56091782350916
1999-12-24,469.24530395551915
1999-12-27,471.1052329456781
1999-12-28,473.65513680001555
1999-12-29,479.17934188153527
1999-12-30,482.3271395101152
1999-12-31,485.5124958263172
2000-01-03,478.6919974206262
2000-01-04,463.76991075697094
2000-01-05,461.14321608447256
2000-01-06,460.5720422817243
2000-01-07,468.95252491018255
2000-01-10,473.86391721938486
2000-01-11,470.049070979706
2000-01-12,469.48811469033194
2000-01-13,474.5868774160364
2000-01-14,482.25423898359384
2000-01-17,487.1862100658224
2000-01-18,486.92048349510395
2000-01-19,487.4455321429932
2000-01-20,488.878831719048
2000-01-21,490.56085410420684
2000-01-24,489.0762803483819
2000-01-25,484.89081401508696
2000-01-26,487.6840163715307
2000-01-27,492.09598790913424
2000-01-28,490.1087516707972
2000-01-31,486.72408603401357
2000-02-01,490.57570134206287
2000-02-02,492.5413616872477
2000-02-03,491.7062454279206
2000-02-04,495.1710438610185
2000-02-07,496.9253637118749
2000-02-08,494.5848189855018
2000-02-09,491.60973279776675
2000-02-10,493.1210753097872
2000-02-11,490.7382762165367
2000-02-14,492.4200755339728
2000-02-15,490.2546580459227
2000-02-16,490.6816954375226
2000-02-17,491.7443866122027
2000-02-18,488.22612194294277
2000-02-21,485.4645109675299
2000-02-22,475.7281980136062
2000-02-23,478.6794756438605
2000-02-24,481.6364442271392
2000-02-25,489.4895111783991
2000-02-28,495.6821282164965
2000-02-29,505.0398533782051
2000-03-01,508.75333893982577
2000-03-02,509.5536858694569
2000-03-03,515.3031093143876
2000-03-06,513.9337439911408
2000-03-07,511.64890712774184
2000-03-08,510.91398438970435
2000-03-09,511.17589698439303
2000-03-10,513.3672621757149
2000-03-13,507.6151947794595
2000-03-14,506.55043830314446
2000-03-15,502.6520375067471
2000-03-16,510.8011965489207
2000-03-17,514.3435370322082
2000-03-20,509.8128054930685
2000-03-21,509.110794287543
2000-03-22,516.312631331743
2000-03-23,513.7152902109647
2000-03-24,513.804921315955
2000-03-27,514.9047860891452
2000-03-28,514.6046193685073
2000-03-29,520.1789291112201
2000-03-30,515.1227155037953
2000-03-31,521.887672556498
2000-04-03,515.7613119045677
2000-04-04,510.0053474211273
2000-04-05,506.1291916677318
2000-04-06,513.7540207724899
2000-04-07,516.8966499343533
2000-04-10,511.3422281012577
2000-04-11,507.2388004736802
2000-04-12,507.62014432716336
2000-04-13,505.5306116854132
2000-04-14,492.5293117797295
2000-04-17,485.79320321032765
2000-04-18,496.88810017304166
2000-04-19,502.61746464776945
2000-04-20,503.0381762963865
2000-04-21,501.9363210647965
2000-04-24,499.06474823186346
2000-04-25,510.87599044489275
2000-04-26,511.5705531711844
2000-04-27,516.7082115282255
2000-04-28,519.055689761819
2000-05-01,526.0395592306745
2000-05-02,524.8082966109175
2000-05-03,527.8283949512776
2000-05-04,530.980025674812
2000-05-05,533.9315829755608
2000-05-08,531.8460886034634
2000-05-09,524.8637227631515
2000-05-10,515.3793751674962
2000-05-11,523.8857891285538
2000-05-12,524.8716066097167
2000-05-15,523.4137933321897
2000-05-16,532.0996028957073
2000-05-17,535.937787333778
2000-05-18,532.503156549067
2000-05-19,530.3473138029775
2000-05-22,519.7953850255843
2000-05-23,515.4261068586712
2000-05-24,513.397988877284
2000-05-25,512.9275696693275
2000-05-26,504.3888956476604
2000-05-29,504.1977976270487
2000-05-30,507.28533938390694
2000-05-31,508.9147791174528
2000-06-01,512.3188853452242
2000-06-02,514.932000292525
2000-06-05,516.5777200121453
2000-06-06,511.9341568864765
2000-06-07,515.1267786580709
2000-06-08,516.2217560471324
2000-06-09,519.4191597932572
2000-06-12,517.1645874558981
2000-06-13,514.9375555316086
2000-06-14,516.8133192075654
2000-06-15,518.5670704346923
2000-06-16,513.6910702712693
2000-06-19,515.5217757696123
2000-06-20,518.0649318306125
2000-06-21,522.788999250884
2000-06-22,522.8385621588155
2000-06-23,522.8370680600534
2000-06-26,523.4694144165533
2000-06-27,521.9247543520908
2000-06-28,525.9668341061055
2000-06-29,524.2362997333682
2000-06-30,518.8469307046936
2000-07-03,528.1558699223017
2000-07-04,528.8271730170319
2000-07-05,523.8146073590898
2000-07-06,525.3728453844531
2000-07-07,530.0368962776871
2000-07-10,531.5007687003589
2000-07-11,533.1194219132088
2000-07-12,538.6041078785051
2000-07-13,542.2322858725886
2000-07-14,542.8293964696536
2000-07-17,544.0447715750471
2000-07-18,540.9799524119907
2000-07-19,541.3079709857204
2000-07-20,544.0699730960296
2000-07-21,535.7732298574474
2000-07-24,531.2265340020991
2000-07-25,527.5138892409516
2000-07-26,527.526454683705
2000-07-27,524.5136439682594
2000-07-28,523.5399648752388
2000-07-31,525.9013578758462
2000-08-01,528.274350092456
2000-08-02,534.7675494642815
2000-08-03,538.442493338984
2000-08-04,539.3911187929727
2000-08-07,541.7854291595443
2000-08-08,546.730156218245
2000-08-09,548.2014897129172
2000-08-10,540.8268326903099
2000-08-11,547.6646583324177
2000-08-14,550.408418610813
2000-08-15,544.9568735663049
2000-08-16,547.8569602565427
2000-08-17,546.931788029801
2000-08-18,549.8133297086014
2000-08-21,551.4430886011861
2000-08-22,555.586862870262
2000-08-23,557.1661559834355
2000-08-24,555.5994225313834
2000-08-25,556.2321554567967
2000-08-28,558.9082665599269
2000-08-29,561.6680100507862
2000-08-30,564.0514551756819
2000-08-31,569.0375798113663
2000-09-01,565.8083980278095
2000-09-04,566.367997064748
2000-09-05,572.0537879680428
2000-09-06,576.0514022876706
2000-09-07,582.4410562609236
2000-09-08,583.0973871422464
2000-09-11,584.2486496897238
2000-09-12,582.5698801179785
2000-09-13,580.0411015399056
2000-09-14,583.4785806974697
2000-09-15,579.3741892167689
2000-09-18,576.3236869147217
2000-09-19,578.1905288333415
2000-09-20,582.1210035935369
2000-09-21,574.7137250265108
2000-09-22,557.627035954892
2000-09-25,562.604075193455
2000-09-26,556.2747333565486
2000-09-27,554.930609968669
2000-09-28,559.4146476914517
2000-09-29,561.290670544297
2000-10-02,557.4117663765273
2000-10-03,559.0784492097471
2000-10-04,559.8839390990704
2000-10-05,559.6904980531248
2000-10-06,555.6119796052446
2000-10-09,553.2312862939922
2000-10-10,550.1982499914719
2000-10-11,541.6738229887744
2000-10-12,540.4708073764372
2000-10-13,546.4829980115549
2000-10-16,552.6799879726253
2000-10-17,545.7760529004654
2000-10-18,542.2349202796778
2000-10-19,551.7624315184389
2000-10-20,557.3104954475442
2000-10-23,558.9622994950654
2000-10-24,559.0473406758136
2000-10-25,558.3351648279789
2000-10-26,559.199614525464
2000-10-27,553.1318809119136
2000-10-30,555.4161733938978
2000-10-31,560.1217109440385
2000-11-01,557.2279559523026
2000-11-02,561.3172270368821
2000-11-03,561.0173963453478
2000-11-06,563.1125439519492
2000-11-07,564.2404685578914
2000-11-08,565.94116538159
2000-11-09,561.4314724811295
2000-11-10,552.7303937596027
2000-11-13,551.0581805274734
2000-11-14,556.1188138550118
2000-11-15,557.1843466432898
2000-11-16,555.4092152499447
2000-11-17,557.3056313329232
2000-11-20,553.2351910397881
2000-11-21,552.561017411274
2000-11-22,550.0884850847781
2000-11-23,550.2670385239184
2000-11-24,558.119511981673
2000-11-27,554.3376332894569
2000-11-28,546.8936634237905
2000-11-29,541.8753202840784
2000-11-30,534.2955211431588
2000-12-01,540.6755308080692
2000-12-04,531.076357952255
2000-12-05,541.164593948138
2000-12-06,539.366244559647
2000-12-07,535.1229692085427
2000-12-08,544.6409499565515
