Date,EASEA INDEX (EAFE ex JAPAN) SMALL VALUE
1998-12-31,263.0749019368008
1999-01-01,263.04037063865525
1999-01-04,265.4787664917725
1999-01-05,265.98066504437696
1999-01-06,268.5840892915035
1999-01-07,268.53130694308186
1999-01-08,269.9294571417399
1999-01-11,270.7564624000339
1999-01-12,269.9798345889404
1999-01-13,263.93148588991744
1999-01-14,264.6431196738353
1999-01-15,264.9902096658277
1999-01-18,266.5351726554235
1999-01-19,266.8618406797457
1999-01-20,266.15284517114833
1999-01-21,264.91858610097455
1999-01-22,262.89706273026314
1999-01-25,262.2895032687171
1999-01-26,263.12155261630613
1999-01-27,264.5728429585398
1999-01-28,265.41417519738036
1999-01-29,266.9535445008203
1999-02-01,268.96666570397286
1999-02-02,269.6381644826797
1999-02-03,269.7750763142536
1999-02-04,271.83138639481865
1999-02-05,272.1147125350868
1999-02-08,272.60004501888443
1999-02-09,271.4524822401757
1999-02-10,269.7404636867666
1999-02-11,271.5428926385934
1999-02-12,272.88757534304403
1999-02-15,273.64517639329455
1999-02-16,274.03491208082465
1999-02-17,272.6264648452742
1999-02-18,271.77524836681056
1999-02-19,273.07994179464407
1999-02-22,274.17250054080074
1999-02-23,274.56923702239277
1999-02-24,274.8037330756702
1999-02-25,273.6223838823818
1999-02-26,274.4896271625516
1999-03-01,275.6826816685392
1999-03-02,276.06211579086283
1999-03-03,276.90967403138785
1999-03-04,277.14153685048854
1999-03-05,278.6126598677695
1999-03-08,279.30806074732834
1999-03-09,280.0854905973756
1999-03-10,280.73499584413605
1999-03-11,283.5359765520392
1999-03-12,284.07337317018477
1999-03-15,283.4744215889798
1999-03-16,283.62096784705875
1999-03-17,282.5295410167661
1999-03-18,282.61377184694874
1999-03-19,284.5440308364
1999-03-22,284.8075346673577
1999-03-23,284.9447791151432
1999-03-24,283.0242993295045
1999-03-25,283.85692241734347
1999-03-26,284.9126923558131
1999-03-29,285.69325418545054
1999-03-30,285.08838973711806
1999-03-31,285.1837388636749
1999-04-01,284.8421242807626
1999-04-02,285.1407308776516
1999-04-05,285.7233796975211
1999-04-06,285.62095856026843
1999-04-07,286.5735277241519
1999-04-08,287.76068943923127
1999-04-09,289.30083878248604
1999-04-12,289.13022892976875
1999-04-13,291.3156896358538
1999-04-14,293.01418742952313
1999-04-15,294.7113480432342
1999-04-16,297.5855671743413
1999-04-19,301.3454909345943
1999-04-20,299.3228134217389
1999-04-21,300.63872174470794
1999-04-22,302.57259908460685
1999-04-23,303.2010204549617
1999-04-26,303.89581216895425
1999-04-27,304.54268121632464
1999-04-28,304.8798260286928
1999-04-29,305.45364488035364
1999-04-30,307.7711886981398
1999-05-03,309.27116926250443
1999-05-04,312.1898014522614
1999-05-05,311.6980400816784
1999-05-06,312.2734178538636
1999-05-07,310.8697067846079
1999-05-10,310.7208105382198
1999-05-11,312.05626822350547
1999-05-12,312.20822859510656
1999-05-13,312.80128788531573
1999-05-14,311.8174502007286
1999-05-17,309.547369049323
1999-05-18,310.53555727864796
1999-05-19,310.21002498439964
1999-05-20,310.83297200579267
1999-05-21,311.7052284790464
1999-05-24,311.48184612532435
1999-05-25,309.40838884174156
1999-05-26,310.1205540773838
1999-05-27,310.7620913660578
1999-05-28,310.55116911727663
1999-05-31,311.46540473525926
1999-06-01,311.5043338987915
1999-06-02,312.4739456037688
1999-06-03,312.9665147020997
1999-06-04,314.4961549885266
1999-06-07,316.0769227185867
1999-06-08,315.3895439253404
1999-06-09,315.89817599731873
1999-06-10,315.54697572569
1999-06-11,317.1700392528467
1999-06-14,318.3717725127931
1999-06-15,317.551347328704
1999-06-16,320.01209075119425
1999-06-17,321.30578047574966
1999-06-18,320.9718998599296
1999-06-21,323.5575935281279
1999-06-22,323.66169029247555
1999-06-23,323.34548323555566
1999-06-24,322.4636646277639
1999-06-25,320.81162059203194
1999-06-28,321.99609308092994
1999-06-29,322.3445945482978
1999-06-30,323.00088290155156
1999-07-01,325.7487764606976
1999-07-02,327.04832798023153
1999-07-05,328.29307756236204
1999-07-06,327.40465977917074
1999-07-07,326.6388700212225
1999-07-08,327.82193259168406
1999-07-09,327.9278274994823
1999-07-12,328.96249725143093
1999-07-13,327.0587483966483
1999-07-14,327.4504960135864
1999-07-15,327.5148693071674
1999-07-16,327.15428868065334
1999-07-19,327.7449554480455
1999-07-20,324.7777697590481
1999-07-21,321.5447826562092
1999-07-22,321.4286060161488
1999-07-23,320.94140659727447
1999-07-26,317.73130638879024
1999-07-27,317.91761874628514
1999-07-28,319.32251346584087
1999-07-29,318.64536426791057
1999-07-30,319.6088380870086
1999-08-02,318.93094558341585
1999-08-03,319.43674683073175
1999-08-04,319.0082979612465
1999-08-05,316.76110320504233
1999-08-06,317.2494083813522
1999-08-09,318.1483986783246
1999-08-10,316.3434224125026
1999-08-11,316.97013588906793
1999-08-12,319.27054180447504
1999-08-13,320.71118838854346
1999-08-16,322.02016128211477
1999-08-17,322.5837185347439
1999-08-18,323.63413354902997
1999-08-19,322.81798980352175
1999-08-20,324.05218742046077
1999-08-23,326.4513688774237
1999-08-24,326.08860334438026
1999-08-25,327.1747030050636
1999-08-26,327.8279403121523
1999-08-27,328.0125118171236
1999-08-30,328.82906746372333
1999-08-31,328.04750580694446
1999-09-01,329.02551027787564
1999-09-02,326.96612651299523
1999-09-03,328.62918678502837
1999-09-06,330.90372304929264
1999-09-07,331.7290268213833
1999-09-08,331.56971368953526
1999-09-09,333.23450209246124
1999-09-10,334.3966108346712
1999-09-13,335.266870348706
1999-09-14,333.78878578888805
1999-09-15,333.06580311690186
