Date,EUROPE & MIDDLE EAST SMALL VALUE
2010-05-26,1000.0
2010-05-27,1025.9038030975253
2010-05-28,1023.2297446902056
2010-05-31,1028.687810676468
2010-06-01,1030.0715656933248
2010-06-02,1031.5302879627645
2010-06-03,1047.6445922755045
2010-06-04,1031.9088603491875
2010-06-07,1020.214772042028
2010-06-08,1004.3760912256856
2010-06-09,1022.5941961554535
2010-06-10,1038.853801904974
2010-06-11,1042.9163410832432
2010-06-14,1058.7360409497176
2010-06-15,1065.9955969549464
2010-06-16,1061.9465472487252
2010-06-17,1062.6760294616276
2010-06-18,1068.7776959702799
2010-06-21,1075.1120259128406
2010-06-22,1076.773374357178
2010-06-23,1071.0558558536613
2010-06-24,1051.6507363670612
2010-06-25,1045.1852588439428
2010-06-28,1052.6479944603213
2010-06-29,1025.8180854748532
2010-06-30,1022.1070345007593
2010-07-01,996.4031146854484
2010-07-02,1000.9446292328381
2010-07-05,1002.6825800182654
2010-07-06,1024.5785013439568
2010-07-07,1031.6420679199691
2010-07-08,1042.5605896709123
2010-07-09,1045.0932284420503
2010-07-12,1049.1554719710962
2010-07-13,1064.7166028353668
2010-07-14,1063.0152244018323
2010-07-15,1054.3000247699117
2010-07-16,1039.33140798789
2010-07-19,1028.9545346832142
2010-07-20,1025.915852157111
2010-07-21,1041.566932716121
2010-07-22,1056.7696751168094
2010-07-23,1065.8488515891745
2010-07-26,1073.1880530785584
2010-07-27,1076.4504112071259
2010-07-28,1071.5965818821387
2010-07-29,1074.2119588305436
2010-07-30,1071.550598860512
2010-08-02,1093.233522820676
2010-08-03,1094.872393448773
2010-08-04,1094.7808069308774
2010-08-05,1096.0299926784708
2010-08-06,1087.836261845323
2010-08-09,1097.7483873623926
2010-08-10,1084.0675107216173
2010-08-11,1065.1218580527648
2010-08-12,1056.7147959458814
2010-08-13,1060.5901483994664
2010-08-16,1061.395865808209
2010-08-17,1074.6911657983426
2010-08-18,1072.319100497258
2010-08-19,1064.8619530075275
2010-08-20,1054.605951497457
2010-08-23,1061.1480384231145
2010-08-24,1041.8453044530088
2010-08-25,1035.394533441303
2010-08-26,1043.3436723638247
2010-08-27,1051.1250838452142
2010-08-30,1054.0955193091222
2010-08-31,1051.988538923396
2010-09-01,1072.7087438919216
2010-09-02,1076.9717032132417
2010-09-03,1083.7738598347962
2010-09-06,1088.4093987435017
2010-09-07,1083.3881131177386
2010-09-08,1093.1251847787476
2010-09-09,1102.1018082551384
2010-09-10,1105.1535339905467
2010-09-13,1111.8371089551206
2010-09-14,1109.8900482142178
2010-09-15,1110.4793120343934
2010-09-16,1104.0886529934214
2010-09-17,1104.5871133096325
2010-09-20,1112.87047006197
2010-09-21,1114.6527240646683
2010-09-22,1100.9051858645814
2010-09-23,1101.2734723379701
2010-09-24,1111.0927866128866
2010-09-27,1114.146197962532
2010-09-28,1114.017934611386
2010-09-29,1112.2675805523802
2010-09-30,1108.9189449374674
2010-10-01,1109.6855284668834
2010-10-04,1108.9151973039718
2010-10-05,1118.3743853336282
2010-10-06,1124.4950424033634
2010-10-07,1123.9741455721432
2010-10-08,1122.81070949511
2010-10-11,1131.9191370725962
2010-10-12,1128.5714429424806
2010-10-13,1141.7594502521797
2010-10-14,1141.116591629935
2010-10-15,1139.5022649084328
2010-10-18,1141.3469136933834
2010-10-19,1137.6469570654008
2010-10-20,1137.0803000619999
2010-10-21,1142.891903012085
2010-10-22,1142.406377898598
2010-10-25,1147.8653703276482
2010-10-26,1151.454686122961
2010-10-27,1143.913863516971
2010-10-28,1143.7379486103182
2010-10-29,1145.7608937594432
2010-11-01,1148.3004764526324
2010-11-02,1146.8263417525056
2010-11-03,1145.437312735271
2010-11-04,1155.480751543191
2010-11-05,1161.5621603705856
2010-11-08,1162.3399001920475
2010-11-09,1166.0822188117809
2010-11-10,1158.4421921294827
2010-11-11,1151.5003493113509
2010-11-12,1147.5060808804421
2010-11-15,1157.1999181652425
2010-11-16,1133.244715160425
2010-11-17,1137.8860326214497
2010-11-18,1149.233578477678
2010-11-19,1146.4560143966414
2010-11-22,1145.2981808250288
2010-11-23,1129.9111575655593
2010-11-24,1139.3070268737724
2010-11-25,1145.4535341403744
2010-11-26,1142.3135671717387
2010-11-29,1131.3469242508033
2010-11-30,1128.7150086345744
2010-12-01,1151.4973418921265
2010-12-02,1176.6475429487332
2010-12-03,1177.9021273704238
2010-12-06,1186.052738444005
2010-12-07,1200.5118359142393
2010-12-08,1204.130450972
2010-12-09,1208.2224371442921
2010-12-10,1210.5057668344384
2010-12-13,1212.760930507568
2010-12-14,1215.4461698594444
2010-12-15,1214.8211935111385
2010-12-16,1217.3216922954348
2010-12-17,1219.6592893848335
2010-12-20,1225.8773520723785
2010-12-21,1234.4819701760623
2010-12-22,1239.289817095813
2010-12-23,1241.0305357975824
2010-12-24,1236.2807320933744
2010-12-27,1229.5289568188996
2010-12-28,1232.474653195937
2010-12-29,1243.6194107601252
2010-12-30,1235.4855887014528
2010-12-31,1238.7232650106866
2011-01-03,1245.6214250986022
2011-01-04,1253.358278657398
2011-01-05,1253.3105208038592
2011-01-06,1257.5940589136376
2011-01-07,1255.7775810178796
2011-01-10,1247.1375758992453
2011-01-11,1264.9893668109576
2011-01-12,1274.8127974580004
2011-01-13,1268.0502216010518
2011-01-14,1267.6135899404685
2011-01-17,1271.2786836106548
2011-01-18,1278.2306681428586
2011-01-19,1265.8429101294912
2011-01-20,1245.1829724479842
2011-01-21,1249.478700811339
2011-01-24,1247.6762736467062
2011-01-25,1240.9101527628195
2011-01-26,1252.9653636359974
2011-01-27,1254.1507126876104
2011-01-28,1252.606884550943
2011-01-31,1246.015529443798
2011-02-01,1261.8198492595827
2011-02-02,1257.4536387614557
2011-02-03,1258.0507009958737
2011-02-04,1265.784443300616
2011-02-07,1283.000986237811
2011-02-08,1280.5996703105707
2011-02-09,1276.9022634855874
2011-02-10,1268.575031421204
2011-02-11,1273.856756518822
2011-02-14,1283.8097472569275
2011-02-15,1281.1023859206216
2011-02-16,1281.8390298977197
2011-02-17,1282.2325530690705
2011-02-18,1286.4337122518923
2011-02-21,1267.5759831172068
2011-02-22,1258.7644481827044
2011-02-23,1247.1465711885028
2011-02-24,1232.7747112187758
2011-02-25,1251.6120377285688
2011-02-28,1264.030812393065
2011-03-01,1262.1972528924068
2011-03-02,1252.2821006226086
2011-03-03,1253.6335883616478
2011-03-04,1255.5526592539113
2011-03-07,1258.0899225571627
2011-03-08,1258.0950412625373
2011-03-09,1262.6411800594828
2011-03-10,1245.7976402267298
2011-03-11,1231.538392107425
2011-03-14,1223.528938572724
2011-03-15,1194.766520887484
2011-03-16,1187.4152856611197
2011-03-17,1207.0061833718535
2011-03-18,1215.256609771055
2011-03-21,1235.8579264468963
2011-03-22,1232.9087296240382
2011-03-23,1233.613179092756
2011-03-24,1242.92225211429
2011-03-25,1244.8934493103961
2011-03-28,1246.6480214341093
2011-03-29,1243.7417855876765
2011-03-30,1250.9006707112667
2011-03-31,1241.7979750639188
2011-04-01,1253.5915488066173
2011-04-04,1257.032841703124
2011-04-05,1259.2453433855774
2011-04-06,1262.0735384704046
2011-04-07,1256.2062128487632
2011-04-08,1258.3773460257162
2011-04-11,1253.6859577302346
2011-04-12,1233.3080513411567
2011-04-13,1243.3135383479105
2011-04-14,1242.7484871545823
2011-04-15,1244.6598463036596
2011-04-18,1227.5605548587016
2011-04-19,1237.0634975802686
2011-04-20,1249.265034086052
2011-04-21,1258.8193800431654
2011-04-22,1258.8193800431654
2011-04-25,1256.7899158393968
2011-04-26,1260.6762515618893
2011-04-27,1263.3238167623701
2011-04-28,1269.4084330448302
2011-04-29,1274.1319836059038
2011-05-02,1275.5831727695083
2011-05-03,1267.6774155032276
2011-05-04,1254.8870171913143
2011-05-05,1255.589962783237
2011-05-06,1268.5923084808837
2011-05-09,1272.2637479568955
2011-05-10,1283.9132933716176
2011-05-11,1289.942959227231
2011-05-12,1281.2193498578768
2011-05-13,1280.5540778199488
2011-05-16,1274.888851289236
2011-05-17,1267.405606039419
