Date,EAFE ex ISRAEL SMALL VALUE
2010-05-26,1000.0
2010-05-27,1017.2098274393346
2010-05-28,1018.0934135319192
2010-05-31,1025.6838896987367
2010-06-01,1024.3568449758354
2010-06-02,1020.6831092739177
2010-06-03,1037.9836431418948
2010-06-04,1034.266384682424
2010-06-07,1017.7993294547111
2010-06-08,1011.9487179066273
2010-06-09,1017.2451943984172
2010-06-10,1030.3393141204951
2010-06-11,1036.8499707901676
2010-06-14,1044.7184917390343
2010-06-15,1048.6603306750771
2010-06-16,1051.440935113663
2010-06-17,1051.3862590135236
2010-06-18,1056.473122123721
2010-06-21,1065.9868623124653
2010-06-22,1071.1845500869047
2010-06-23,1063.7220073979113
2010-06-24,1051.7979306754278
2010-06-25,1044.2926233278874
2010-06-28,1046.2460742808382
2010-06-29,1032.8124881611348
2010-06-30,1023.6514698887756
2010-07-01,999.9782559184148
2010-07-02,999.0780707592695
2010-07-05,1002.7980453424389
2010-07-06,1017.1046367115847
2010-07-07,1019.4186619759303
2010-07-08,1028.7805032324109
2010-07-09,1033.914223593357
2010-07-12,1036.5675318448532
2010-07-13,1042.0641882356829
2010-07-14,1044.2042978654126
2010-07-15,1032.1827751376086
2010-07-16,1019.89273455618
2010-07-19,1010.4211485410581
2010-07-20,1011.655846883973
2010-07-21,1023.0112139908714
2010-07-22,1029.194735053631
2010-07-23,1041.407003276711
2010-07-26,1045.969307800594
2010-07-27,1046.2301805116967
2010-07-28,1046.7677559713106
2010-07-29,1045.9225119642415
2010-07-30,1043.49899286976
2010-08-02,1053.320922623538
2010-08-03,1057.6611404148073
2010-08-04,1053.5694003416195
2010-08-05,1058.9185092139817
2010-08-06,1054.590026488649
2010-08-09,1059.9979655478453
2010-08-10,1052.841911865022
2010-08-11,1041.0285123036688
2010-08-12,1031.1077572036256
2010-08-13,1037.9012024633846
2010-08-16,1037.4797496799288
2010-08-17,1045.8745436912684
2010-08-18,1047.8375991682306
2010-08-19,1045.5295791795859
2010-08-20,1036.2629687286835
2010-08-23,1042.5998457221767
2010-08-24,1031.826431427978
2010-08-25,1024.1489136928828
2010-08-26,1027.0682316164637
2010-08-27,1035.5817576955997
2010-08-30,1045.3823045899355
2010-08-31,1036.8280142850736
2010-09-01,1048.5023904682926
2010-09-02,1055.0356596724096
2010-09-03,1060.4375215840469
2010-09-06,1069.7416892870565
2010-09-07,1072.1022431000451
2010-09-08,1071.5329911042566
2010-09-09,1081.0851869735045
2010-09-10,1082.5335622739706
2010-09-13,1086.6636524200715
2010-09-14,1085.1857694187943
2010-09-15,1078.5820599638996
2010-09-16,1070.0949274775762
2010-09-17,1075.880011148334
2010-09-20,1081.035760565959
2010-09-21,1081.8045610096638
2010-09-22,1068.5853068341537
2010-09-23,1070.9735056937172
2010-09-24,1070.0188866505978
2010-09-27,1078.1018783483792
2010-09-28,1076.5933012554565
2010-09-29,1078.5162054607
2010-09-30,1069.022718600788
2010-10-01,1067.2979814513574
2010-10-04,1065.806143908206
2010-10-05,1069.5028359919377
2010-10-06,1076.2748718386586
2010-10-07,1078.8606528023745
2010-10-08,1077.4636198579508
2010-10-11,1083.1988564288738
2010-10-12,1074.8101172500446
2010-10-13,1080.620302835853
2010-10-14,1083.0240186848248
2010-10-15,1078.5457284852318
2010-10-18,1083.305063480734
2010-10-19,1083.722995415119
2010-10-20,1078.2520864017943
2010-10-21,1079.2848832793698
2010-10-22,1081.8719202641564
2010-10-25,1087.1712744764188
2010-10-26,1088.8612422693332
2010-10-27,1082.0603704584244
2010-10-28,1080.7213544363924
2010-10-29,1083.5992190880759
2010-11-01,1085.964700107328
2010-11-02,1081.1371439824993
2010-11-03,1079.2365025995532
