Date,EM ESG SELECTION P-SERIES
2018-05-31,1000.0
2018-06-01,1011.1294245354268
2018-06-04,1024.1164529222317
2018-06-05,1024.2640825396388
2018-06-06,1021.269565780989
2018-06-07,1018.0199631392799
2018-06-08,1008.8832484632079
2018-06-11,1008.3555022528479
2018-06-12,1010.061648432372
2018-06-13,1009.4856479608586
2018-06-14,1007.8090204007242
2018-06-15,1002.7976244251606
2018-06-18,995.2358183325852
2018-06-19,978.9280014349937
2018-06-20,986.8125456937618
2018-06-21,973.5558314922126
2018-06-22,979.5051653231876
2018-06-25,961.9332451557755
2018-06-26,959.0940394269477
2018-06-27,950.7181364786559
2018-06-28,947.1849008034972
2018-06-29,964.7663477930216
2018-07-02,960.8983647392637
2018-07-03,957.4656595803938
2018-07-04,957.7092011000854
2018-07-05,951.6919689757896
2018-07-06,951.9002120504186
2018-07-09,968.6591952033289
2018-07-10,970.0709602985094
2018-07-11,961.257930970426
2018-07-12,968.456533211979
2018-07-13,975.8123723910131
2018-07-16,966.7683983685332
2018-07-17,970.2671100539927
2018-07-18,973.5408227426839
2018-07-19,969.3284567847354
2018-07-20,971.6811971188613
2018-07-23,968.6639207128054
2018-07-24,977.6654437990478
2018-07-25,984.5915323228136
2018-07-26,986.5207079551482
2018-07-27,992.378492065145
2018-07-30,984.3771858489854
2018-07-31,979.3159787234027
2018-08-01,984.6839560315418
2018-08-02,970.3984682048689
2018-08-03,981.4901353871464
2018-08-06,982.0367040505142
2018-08-07,985.4679338320454
2018-08-08,988.5212031012356
2018-08-09,991.3643925363301
2018-08-10,987.4846724950305
2018-08-13,970.1635740694414
2018-08-14,972.4142397410808
2018-08-15,956.6372432574561
2018-08-16,946.2539831874427
2018-08-17,946.9405547453187
2018-08-20,955.9205172353647
2018-08-21,958.6962557919442
2018-08-22,959.1325665474366
2018-08-23,963.9438434608506
2018-08-24,959.8409111183477
2018-08-27,972.5304714782052
2018-08-28,974.0374456370267
2018-08-29,975.5346664261539
2018-08-30,965.2623836454202
2018-08-31,959.5720694277246
2018-09-03,950.4086516933695
2018-09-04,949.8618410929738
2018-09-05,928.4191088575303
2018-09-06,924.6497269424718
2018-09-07,934.3340372622974
2018-09-10,923.637752027981
2018-09-11,915.7645193015541
2018-09-12,910.9232662681598
2018-09-13,918.4204280149213
2018-09-14,930.8389847908119
2018-09-17,918.7283226330949
2018-09-18,918.2980448398644
2018-09-19,929.2537272453333
2018-09-20,927.9595257198283
2018-09-21,942.781870746423
2018-09-24,931.9442063388921
2018-09-25,929.5662728115645
2018-09-26,935.8123646836962
2018-09-27,945.0250713611738
2018-09-28,946.7783864508199
2018-10-01,949.7188701346511
2018-10-02,940.3552506403937
2018-10-03,942.6448802572492
2018-10-04,922.2023506796465
2018-10-05,912.3771052522158
2018-10-08,910.9612536793686
2018-10-09,909.7633419543994
2018-10-10,896.5704969574579
2018-10-11,860.8452239474531
2018-10-12,889.4461847061424
2018-10-15,877.7277266148905
2018-10-16,891.1330319149215
2018-10-17,894.5069408202278
2018-10-18,887.0041880745703
2018-10-19,885.2951854724053
2018-10-22,898.7266821188223
2018-10-23,877.2723452049595
2018-10-24,877.0093204638512
2018-10-25,871.3375130875293
2018-10-26,863.2530323222444
2018-10-29,861.6090785822489
2018-10-30,861.4244381833723
2018-10-31,885.8438436665746
2018-11-01,897.2623533905611
2018-11-02,927.8302419377244
2018-11-05,922.4166162297546
2018-11-06,918.908814364764
2018-11-07,919.8224315556598
2018-11-08,920.3326294088046
2018-11-09,910.3217217763121
2018-11-12,907.2667333272391
2018-11-13,903.0875141813075
2018-11-14,903.0197484191867
2018-11-15,914.7756071219229
2018-11-16,915.1611479946699
2018-11-19,913.9950268462733
2018-11-20,901.2285748956946
2018-11-21,906.667070876289
2018-11-22,909.0816521447634
2018-11-23,908.8483118606158
2018-11-26,919.0432740245545
2018-11-27,927.394097023625
