Date,USA IMI MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1003.0782867780546
2001-06-04,1008.3828065693394
2001-06-05,1015.5653512358095
2001-06-06,1006.8297316079003
2001-06-07,1008.3515044250024
2001-06-08,1005.0845905220905
2001-06-11,1002.4846586381009
2001-06-12,1005.6510182094795
2001-06-13,999.3207746572574
2001-06-14,987.8594439934325
2001-06-15,985.5042119915319
2001-06-18,983.3355121603663
2001-06-19,984.6598891482612
2001-06-20,990.0039456055082
2001-06-21,989.3183123304184
2001-06-22,981.8839218233807
2001-06-25,976.9961503350881
2001-06-26,979.7182117003782
2001-06-27,976.2328356857319
2001-06-28,982.7562569914589
2001-06-29,982.8822786795592
2001-07-02,988.8335113238096
2001-07-03,988.2359304285486
2001-07-04,988.2359304285486
2001-07-05,984.5250320599753
2001-07-06,973.2420995991059
2001-07-09,974.3677122578116
2001-07-10,968.8779573939145
2001-07-11,966.3789731691719
2001-07-12,975.3089457567191
2001-07-13,979.432503476163
2001-07-16,975.2037687018912
2001-07-17,980.9961316121236
2001-07-18,981.3713443844792
2001-07-19,985.6353518769645
2001-07-20,982.7131896707127
2001-07-23,969.4806438028567
2001-07-24,955.824677602547
2001-07-25,969.7476232489005
2001-07-26,976.4013759758006
2001-07-27,976.3078608238114
2001-07-30,976.9148023446854
2001-07-31,981.6362470801832
2001-08-01,982.3515887351779
2001-08-02,984.6827688763999
2001-08-03,982.8012576377674
2001-08-06,976.4756472878232
2001-08-07,979.5153615961252
2001-08-08,970.3693107837267
2001-08-09,972.6921560704164
2001-08-10,980.0237777057945
2001-08-13,980.8882553069433
2001-08-14,982.053142715836
2001-08-15,982.1264380633146
2001-08-16,984.3882217249518
2001-08-17,977.4487670298273
2001-08-20,983.4238301354779
2001-08-21,981.164505762572
2001-08-22,985.1236616519096
2001-08-23,984.8498828906035
2001-08-24,992.6095964366581
2001-08-27,990.6775857235936
2001-08-28,982.018780732234
2001-08-29,976.1013714294052
2001-08-30,966.0022133017922
2001-08-31,965.6561733249916
2001-09-03,965.6561733249916
2001-09-04,970.3018829750929
2001-09-05,971.2111601280523
2001-09-06,959.1790860874513
2001-09-07,947.4484153886151
2001-09-10,949.0005682441154
2001-09-11,949.0499081063875
2001-09-12,949.059262436107
2001-09-13,949.059262436107
2001-09-14,949.059262436107
2001-09-17,922.8063129985104
2001-09-18,921.1251968165799
2001-09-19,907.7047711728842
2001-09-20,888.8876612469545
2001-09-21,871.6190323769546
2001-09-24,884.1818343499339
2001-09-25,889.984752102455
