Date,CANADA IMI MINIMUM VOLATILITY (CAD)
2001-05-31,1000.0
2001-06-01,1016.3567419419975
2001-06-04,1020.7446665862273
2001-06-05,1016.2669972630302
2001-06-06,1017.3573176699219
2001-06-07,1020.4563529963054
2001-06-08,1019.7132236667773
2001-06-11,1022.0293408334481
2001-06-12,1021.2845382856402
2001-06-13,1021.900930030267
2001-06-14,1013.7840840099558
2001-06-15,1003.6647743948862
2001-06-18,996.0330161265564
2001-06-19,994.5859925398075
2001-06-20,992.1799058004149
2001-06-21,994.2413381460718
2001-06-22,993.8034006979049
2001-06-25,994.093682390108
2001-06-26,990.6248973340593
2001-06-27,983.6863714976809
2001-06-28,985.427831314379
2001-06-29,1002.0142779644478
2001-07-02,1003.5448841545292
2001-07-03,1009.8036587310005
2001-07-04,1006.5559757121956
2001-07-05,1004.1752863438426
2001-07-06,996.4007465063986
2001-07-09,994.7220017742429
2001-07-10,990.7315681338989
2001-07-11,988.0206288410627
2001-07-12,992.939612998999
2001-07-13,994.2546110239118
2001-07-16,984.3765647695003
2001-07-17,991.2764051388375
2001-07-18,990.7421217046692
2001-07-19,990.4426454958394
2001-07-20,990.0161265146063
2001-07-23,986.908748835647
2001-07-24,988.5688803829556
2001-07-25,991.7795469492955
2001-07-26,989.8003938856496
2001-07-27,996.3020726468231
2001-07-30,998.6729421922174
2001-07-31,1005.4267749456985
2001-08-01,1006.5049402709258
2001-08-02,1010.2659395452779
2001-08-03,1012.3470454452932
2001-08-06,1017.8474523483134
2001-08-07,1019.2709966872491
2001-08-08,1012.917539591854
2001-08-09,1012.6929257155517
2001-08-10,1004.965633014385
2001-08-13,1006.0696837901195
2001-08-14,1003.5810552020679
2001-08-15,1006.186175194704
2001-08-16,1010.8390076508695
2001-08-17,999.4355861083709
2001-08-20,1000.0731447972787
2001-08-21,998.7669772191141
2001-08-22,1006.0086688205547
2001-08-23,1007.6695993125008
2001-08-24,1017.6915102243042
2001-08-27,1017.6854241342817
2001-08-28,1012.3405797834596
2001-08-29,1003.8896857250694
2001-08-30,997.1325937395342
2001-08-31,991.7809606830891
2001-09-03,990.8678659636296
2001-09-04,1003.3557542322882
2001-09-05,1002.1567105125445
2001-09-06,999.7806339662258
2001-09-07,990.7192171199996
2001-09-10,987.1715037712715
2001-09-11,948.4453450107976
2001-09-12,956.3841338825525
2001-09-13,962.4273975588951
2001-09-14,935.7058538782175
2001-09-17,943.0125613923689
2001-09-18,934.3418994498045
2001-09-19,918.1449087722789
2001-09-20,896.7105725483511
2001-09-21,897.1297479064608
2001-09-24,909.4579151747034
2001-09-25,914.206492074714
2001-09-26,908.1863817165558
2001-09-27,909.9203534384432
2001-09-28,928.6304073927167
2001-10-01,928.8045407355856
2001-10-02,936.2146448405933
2001-10-03,938.6491663299189
2001-10-04,937.5362553255683
2001-10-05,940.964884861315
2001-10-08,942.2805035008323
2001-10-09,940.8605026721391
2001-10-10,942.902399543577
2001-10-11,957.0796257753825
2001-10-12,951.1283692838805
2001-10-15,948.5452586898322
2001-10-16,953.3553186689077
2001-10-17,942.4127055214507
2001-10-18,930.1894287321721
2001-10-19,928.8213903115573
2001-10-22,928.388792788121
2001-10-23,931.5836891347641
2001-10-24,928.1327827433761
2001-10-25,930.0309081607851
2001-10-26,935.639683597897
2001-10-29,927.4156279882238
2001-10-30,918.3680424650431
2001-10-31,919.1404176966239
2001-11-01,923.8013462490932
2001-11-02,929.1076331010468
2001-11-05,930.8518461569455
2001-11-06,932.5874197372505
2001-11-07,935.9348764433897
2001-11-08,934.4246648204237
2001-11-09,936.2584704016439
2001-11-12,938.5013732819154
2001-11-13,951.0417387013217
2001-11-14,952.9992459038504
2001-11-15,946.793374025931
2001-11-16,951.870359666643
2001-11-19,964.0394025888614
2001-11-20,958.898589043526
2001-11-21,950.8079264850855
2001-11-22,955.8896440865402
2001-11-23,960.0367082204015
2001-11-26,963.5857070662934
2001-11-27,966.5635910462998
2001-11-28,965.777842858367
2001-11-29,974.8440569350552
2001-11-30,980.3423469286689
2001-12-03,976.7386982410512
2001-12-04,981.8635532261894
2001-12-05,997.7236163126313
2001-12-06,991.0476455182145
2001-12-07,996.5067058467688
2001-12-10,991.9279042314458
2001-12-11,986.0805776809483
2001-12-12,999.4242078406277
