Date,AUSTRALIA IMI MINIMUM VOLATILITY (AUD)
2001-05-31,1000.0
2001-06-01,1008.6870860175512
2001-06-04,1015.8358572294951
2001-06-05,1016.5654978125706
2001-06-06,1024.2940362429115
2001-06-07,1040.9479126247675
2001-06-08,1047.2654391885733
2001-06-11,1045.1647061459755
2001-06-12,1042.4104304787493
2001-06-13,1053.0478901146876
2001-06-14,1058.1791237402535
2001-06-15,1059.7993427932288
2001-06-18,1042.5322536353
2001-06-19,1039.8675426244301
2001-06-20,1042.904829727269
2001-06-21,1045.3689677356906
2001-06-22,1046.7971008211098
2001-06-25,1045.7729363419342
2001-06-26,1052.693167158376
2001-06-27,1042.9788149651242
2001-06-28,1032.7078557532618
2001-06-29,1046.6880511914017
2001-07-02,1035.905635705274
2001-07-03,1050.410755288446
2001-07-04,1049.3202094748656
2001-07-05,1033.2127628111311
2001-07-06,1006.5218061476905
2001-07-09,1004.7180766361649
2001-07-10,1015.9595650668716
2001-07-11,1014.4499211271971
2001-07-12,1016.2907600738611
2001-07-13,1023.1459560718021
2001-07-16,1031.2268595763276
2001-07-17,1017.5799550955686
2001-07-18,1031.842036416408
2001-07-19,1030.4543424955186
2001-07-20,1013.2043416535147
2001-07-23,1012.2770452198445
2001-07-24,1006.5272862685626
2001-07-25,1002.0445526355833
2001-07-26,993.9762578315991
2001-07-27,990.3752066560642
2001-07-30,997.4890309983801
2001-07-31,1004.1733495844708
2001-08-01,1031.5305954153528
2001-08-02,1047.7028173929275
2001-08-03,1046.1621894459352
2001-08-06,1046.226783973773
2001-08-07,1042.308624173263
2001-08-08,1046.2287432097526
2001-08-09,1042.4259364036677
2001-08-10,1040.9504339910993
2001-08-13,1043.0673629447758
2001-08-14,1037.72278821648
2001-08-15,1054.375979658983
2001-08-16,1048.7980669237975
2001-08-17,1065.4541365997973
2001-08-20,1046.8264112101783
2001-08-21,1054.2610331527787
2001-08-22,1064.518619288603
2001-08-23,1059.3462997527033
2001-08-24,1061.6891287785706
2001-08-27,1063.0614102553002
2001-08-28,1068.1165592115578
2001-08-29,1066.0536346297388
2001-08-30,1063.759039458093
2001-08-31,1043.184079855463
2001-09-03,1048.3247800112601
2001-09-04,1041.443753707531
2001-09-05,1034.645940036193
2001-09-06,1034.609351211847
2001-09-07,1020.6521506812902
2001-09-10,1008.6274985542899
2001-09-11,1025.3858187904875
2001-09-12,983.1665190991937
2001-09-13,983.5857571767834
2001-09-14,978.1390428927153
2001-09-17,918.0679936117788
2001-09-18,920.279517017734
2001-09-19,927.1168341445331
2001-09-20,912.8181121903067
2001-09-21,887.7348140929922
2001-09-24,890.9219022145058
2001-09-25,906.8634606261692
2001-09-26,907.8746264238813
2001-09-27,909.3925564804016
2001-09-28,940.2821628992631
2001-10-01,949.0200559825292
2001-10-02,963.7181585097354
2001-10-03,964.4008946821883
2001-10-04,965.4541355975441
2001-10-05,994.8447715252679
2001-10-08,992.696950380689
2001-10-09,986.8869572972945
2001-10-10,981.3165705337663
2001-10-11,991.8065165442664
2001-10-12,1000.0147677529802
2001-10-15,1016.5562371931175
2001-10-16,1019.4766479332293
2001-10-17,1029.3766562785158
2001-10-18,1009.5122668919446
2001-10-19,998.4911547322679
2001-10-22,999.8029188274643
2001-10-23,1010.2033571592101
2001-10-24,1013.9065213985305
2001-10-25,1012.8159372280419
2001-10-26,1009.7089034520613
2001-10-29,1015.5193977061904
2001-10-30,1018.340952588468
2001-10-31,1013.3370414858431
2001-11-01,1024.3056459049146
2001-11-02,1020.972256189072
2001-11-05,1015.7232715451148
2001-11-06,1042.6003817825624
2001-11-07,1039.1313186495486
2001-11-08,1044.4698475669609
2001-11-09,1041.2013605541663
2001-11-12,1055.718604233406
2001-11-13,1049.4408223310495
2001-11-14,1060.6627519986175
2001-11-15,1055.943720023192
2001-11-16,1057.9765226689365
2001-11-19,1063.2032600258735
2001-11-20,1065.2517644313516
2001-11-21,1055.5830616316416
2001-11-22,1050.9909117608122
2001-11-23,1056.3363582101395
2001-11-26,1060.1889495996877
2001-11-27,1073.507095992671
2001-11-28,1069.2584170518483
2001-11-29,1058.0530642128133
2001-11-30,1065.2721068131655
2001-12-03,1060.5153625737826
2001-12-04,1053.9347576837758
2001-12-05,1060.2251409945766
2001-12-06,1061.5590062913097
2001-12-07,1060.836989330255
2001-12-10,1055.2035096221482
2001-12-11,1059.138361826389
2001-12-12,1058.0251342803192
2001-12-13,1057.32384207578
2001-12-14,1049.7906312419364
2001-12-17,1048.2369712815917
2001-12-18,1053.9182137855607
2001-12-19,1048.6938452213892
2001-12-20,1037.9869008623632
2001-12-21,1048.425178225201
2001-12-24,1057.9893910760802
2001-12-25,1057.9893910760802
2001-12-26,1057.2612497195246
2001-12-27,1065.1273147378686
2001-12-28,1072.3543666002147
2001-12-31,1076.3726134645437
2002-01-01,1076.3726134645435
2002-01-02,1085.8896578811057
2002-01-03,1079.8545715991327
2002-01-04,1090.9730529305791
2002-01-07,1094.103938436847
2002-01-08,1094.667611617761
2002-01-09,1092.7114592851417
2002-01-10,1092.3664704397634
2002-01-11,1091.0776017875983
2002-01-14,1083.1975310346022
2002-01-15,1085.6854293610365
2002-01-16,1085.8407676291397
2002-01-17,1072.5193996296473
2002-01-18,1073.9436214079476
2002-01-21,1084.085158376574
2002-01-22,1094.6637456477956
2002-01-23,1096.49304562327
2002-01-24,1095.695777202442
2002-01-25,1091.7731909093527
2002-01-28,1088.7096763920456
2002-01-29,1092.322027227396
2002-01-30,1069.1726240172159
2002-01-31,1078.2073786800515
2002-02-01,1077.4001952404699
2002-02-04,1084.069301562261
2002-02-05,1082.0219798410494
2002-02-06,1071.2900143048046
2002-02-07,1064.6791004982447
2002-02-08,1079.5116926260418
2002-02-11,1089.8197690665647
2002-02-12,1085.8327124319865
2002-02-13,1083.3431384659514
2002-02-14,1100.9383690733941
2002-02-15,1102.4915632804127
