Date,SINGAPORE IMI MINIMUM VOLATILITY (SGD)
2001-05-31,1000.0
2001-06-01,998.2109018051719
2001-06-04,1005.0358394407817
2001-06-05,1013.5844671987184
2001-06-06,1017.376530473679
2001-06-07,1022.6118664020215
2001-06-08,1030.420927079516
2001-06-11,1019.3548084508667
2001-06-12,1012.5234166872717
2001-06-13,1031.9521691423142
2001-06-14,1036.9673082221366
2001-06-15,1043.416772001606
2001-06-18,1048.1637522252986
2001-06-19,1042.5016102491343
2001-06-20,1035.3448437314016
2001-06-21,1042.5195130458374
2001-06-22,1064.524285861265
2001-06-25,1065.8536055478717
2001-06-26,1067.84673181201
2001-06-27,1063.0633557596766
2001-06-28,1058.7924948986265
2001-06-29,1072.2131692305688
2001-07-02,1054.5389596464377
2001-07-03,1051.7107373967299
2001-07-04,1043.7813659713756
2001-07-05,1039.3799888790168
2001-07-06,1024.442599448497
2001-07-09,1019.9966644402607
2001-07-10,1027.8636129201054
2001-07-11,1018.8888457911589
2001-07-12,1028.3652017275003
2001-07-13,1019.8956733678086
2001-07-16,1022.6041825201723
2001-07-17,1014.5183117844382
2001-07-18,1009.3202165573535
2001-07-19,1012.6097190808857
2001-07-20,1022.6536266599976
2001-07-23,1016.8652468007939
2001-07-24,1022.7939259100935
2001-07-25,1022.1815060260487
2001-07-26,1032.0888143865304
2001-07-27,1035.7114887939629
2001-07-30,1039.1394936966128
2001-07-31,1047.557545033994
2001-08-01,1047.0359592158084
2001-08-02,1054.3111844984332
2001-08-03,1048.6039443134894
2001-08-06,1048.3995892808848
2001-08-07,1051.6570730723845
2001-08-08,1047.1176226228254
2001-08-09,1047.1752365001475
2001-08-10,1058.1929499180135
2001-08-13,1051.0714911373482
2001-08-14,1059.2300049809446
2001-08-15,1065.2391319437431
2001-08-16,1061.1696543556816
2001-08-17,1054.7732939855755
2001-08-20,1043.400638929685
2001-08-21,1058.992317672358
2001-08-22,1060.7722465143304
2001-08-23,1064.3756109866815
2001-08-24,1060.207264937038
2001-08-27,1069.7652862540717
2001-08-28,1062.3069852250665
2001-08-29,1069.2611244901475
2001-08-30,1047.8869432439517
2001-08-31,1054.6913438047793
2001-09-03,1052.6532985572446
2001-09-04,1051.2445769152635
2001-09-05,1050.1575028226182
2001-09-06,1043.5919729870186
2001-09-07,1030.808257813193
2001-09-10,1019.2633929535119
2001-09-11,1024.5298914421078
2001-09-12,983.8894876596813
2001-09-13,977.6565807507689
2001-09-14,948.9708342624874
2001-09-17,896.586760252363
2001-09-18,894.932557203435
2001-09-19,907.4701876810394
2001-09-20,891.672120575417
2001-09-21,843.8739045216623
2001-09-24,862.5036770419978
2001-09-25,856.0782270760368
2001-09-26,872.0800367654148
2001-09-27,895.5502584152706
2001-09-28,908.835284425696
2001-10-01,908.3326269228355
2001-10-02,905.4220440051762
2001-10-03,900.6747000633396
2001-10-04,922.5818243866779
2001-10-05,919.968190587788
2001-10-08,896.7099503684018
2001-10-09,921.0421175134192
2001-10-10,905.4297445403813
2001-10-11,920.1423356892685
2001-10-12,929.20117719903
2001-10-15,932.6502460917847
2001-10-16,932.1009818823848
2001-10-17,943.7916640657328
2001-10-18,923.9169021639528
2001-10-19,913.8775825172388
2001-10-22,908.0854271221896
2001-10-23,919.8854000901398
2001-10-24,926.4246266083805
2001-10-25,924.197577062679
2001-10-26,921.9154682227328
2001-10-29,911.9767171856126
2001-10-30,911.8183203462236
2001-10-31,905.3425241864227
2001-11-01,892.4031962355725
2001-11-02,888.7710426195551
2001-11-05,891.3355113787176
2001-11-06,889.725922911144
2001-11-07,887.5603663936108
2001-11-08,894.3259550214553
2001-11-09,910.5983855626525
2001-11-12,917.9837345154739
2001-11-13,913.0247673940006
2001-11-14,913.0247673940006
2001-11-15,951.427465071296
2001-11-16,942.229499208221
2001-11-19,957.2347890578225
2001-11-20,958.4486895904812
2001-11-21,964.2871957022103
2001-11-22,956.6404771980989
2001-11-23,958.4128954745822
2001-11-26,965.1754368721699
2001-11-27,977.1373983760917
2001-11-28,969.5129350579535
2001-11-29,960.2606995949482
2001-11-30,969.8962589496285
2001-12-03,970.826289845105
2001-12-04,1000.5549822611853
2001-12-05,1019.9902872455378
2001-12-06,1030.4070965836581
2001-12-07,1034.1954829862439
2001-12-10,1030.8523018007727
2001-12-11,1024.602217447942
2001-12-12,1022.0558232998103
2001-12-13,1010.7946842432202
2001-12-14,1003.1063178396641
2001-12-17,1002.2551342209836
2001-12-18,1011.4490980824646
2001-12-19,1024.2961123354091
2001-12-20,1019.684462366024
2001-12-21,1010.6517648524637
2001-12-24,1011.6921842304696
2001-12-25,1011.6921842304695
2001-12-26,1008.664220566639
2001-12-27,1019.0918753322156
2001-12-28,1026.5565300084802
2001-12-31,1027.977148993266
2002-01-01,1027.9771387985859
2002-01-02,1026.9105606718915
2002-01-03,1044.9803796021456
2002-01-04,1061.0261355378966
2002-01-07,1066.9605198805255
2002-01-08,1067.3216043124114
2002-01-09,1055.5406446645034
2002-01-10,1068.7485926156207
