Date,UK IMI MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,1000.0487995151999
2001-06-04,1006.3146406041639
2001-06-05,1009.7659843394019
2001-06-06,996.939448147666
2001-06-07,1000.8938107144295
2001-06-08,994.635932596171
2001-06-11,981.0935904378634
2001-06-12,981.4782056470053
2001-06-13,988.5174744848883
2001-06-14,991.4099963143942
2001-06-15,989.7433337688555
2001-06-18,985.6796784061997
2001-06-19,986.1597981099453
2001-06-20,985.187596512485
2001-06-21,990.9520854600527
2001-06-22,990.6909716186613
2001-06-25,993.1906151062433
2001-06-26,982.1044654285228
2001-06-27,988.0771213749244
2001-06-28,986.2592897747145
2001-06-29,985.9803252719947
2001-07-02,997.4930481524752
2001-07-03,983.0014367191465
2001-07-04,978.5580825144266
2001-07-05,971.7225136927015
2001-07-06,970.5550113065459
2001-07-09,969.7624710012392
2001-07-10,970.1554003475885
2001-07-11,968.9180591112275
2001-07-12,972.1130188912806
2001-07-13,973.4245266085361
2001-07-16,970.9141327736329
2001-07-17,962.936793307755
2001-07-18,971.0826596965546
2001-07-19,977.1036019259219
2001-07-20,981.3357904474359
2001-07-23,975.6379189979949
2001-07-24,965.6482504088251
2001-07-25,964.3172058977615
2001-07-26,964.0607647445987
2001-07-27,973.495558651841
2001-07-30,977.2927139737878
2001-07-31,989.1143166212723
2001-08-01,998.388030715787
2001-08-02,1001.6616878898487
2001-08-03,995.2048438934281
2001-08-06,985.021995225147
2001-08-07,985.2203503178281
2001-08-08,976.1563007595603
2001-08-09,973.1353803432321
2001-08-10,980.699017001018
2001-08-13,978.9876813420324
2001-08-14,986.3053308967492
2001-08-15,995.4349050056023
2001-08-16,992.3704047751179
2001-08-17,988.875361743281
2001-08-20,991.4664700063367
2001-08-21,1002.8465181415742
2001-08-22,1006.9994552045063
2001-08-23,999.8816501483909
2001-08-24,1009.2491458968757
2001-08-27,1006.806963920493
2001-08-28,1007.5010698040032
2001-08-29,1005.4333877216744
2001-08-30,992.644741772062
2001-08-31,994.1769799591983
2001-09-03,991.6618372565022
2001-09-04,992.9078203899129
2001-09-05,990.0078819584952
2001-09-06,975.3049845066841
2001-09-07,960.9367031205393
2001-09-10,948.6855217286261
2001-09-11,910.7452422411927
2001-09-12,921.8925952161894
