Date,SWITZERLAND IMI MINIMUM VOLATILITY (CHF)
2001-05-31,1000.0
2001-06-01,1004.1560877197087
2001-06-04,1006.4528381365176
2001-06-05,1015.9791188695266
2001-06-06,1011.4793083273672
2001-06-07,1015.5810582544921
2001-06-08,1008.4637751818818
2001-06-11,999.6882921087671
2001-06-12,996.2010326032909
2001-06-13,1003.0981437115357
2001-06-14,1001.2496110066932
2001-06-15,999.8489789388019
2001-06-18,994.0421773235548
2001-06-19,988.2949005309054
2001-06-20,974.8647521676792
2001-06-21,980.1319536525257
2001-06-22,978.39063609939
2001-06-25,985.4933500336109
2001-06-26,976.5527611855255
2001-06-27,967.0334194277207
2001-06-28,970.8474396955169
2001-06-29,974.1198752077131
2001-07-02,980.0510648313546
2001-07-03,973.8295354756523
2001-07-04,968.4223888970388
2001-07-05,952.434017433938
2001-07-06,948.6556001580375
2001-07-09,953.2340155047324
2001-07-10,952.0967173257727
2001-07-11,953.7763477699405
2001-07-12,958.3401516357372
2001-07-13,958.5530401508645
2001-07-16,961.8202228814539
2001-07-17,953.5285352827744
2001-07-18,977.5192706470206
2001-07-19,989.1429470029265
2001-07-20,986.4270916791972
2001-07-23,980.1606009201927
2001-07-24,972.6931660352835
2001-07-25,967.8994886623314
2001-07-26,963.8047001556995
2001-07-27,968.3013732165826
2001-07-30,975.9646977032638
2001-07-31,976.8504213461175
2001-08-01,990.8950913997595
2001-08-02,997.6236763455947
2001-08-03,996.8301145073256
2001-08-06,991.6490611322737
2001-08-07,987.9680826412008
2001-08-08,986.6810968839616
2001-08-09,982.9993637922212
2001-08-10,977.8993450283706
2001-08-13,989.2948567610493
2001-08-14,997.4984911543303
2001-08-15,1007.3942002910122
2001-08-16,999.0978798777259
2001-08-17,997.2238574291462
2001-08-20,990.2566208524986
2001-08-21,999.2415550415133
2001-08-22,997.3649109513616
2001-08-23,987.1400926757874
2001-08-24,996.053246208556
2001-08-27,998.0575402309983
2001-08-28,985.7043100529911
2001-08-29,977.1232164331608
2001-08-30,973.4046167263907
2001-08-31,977.8417292817388
2001-09-03,959.1842290443119
2001-09-04,954.6055535419235
2001-09-05,948.9129891461741
2001-09-06,939.8970093582582
2001-09-07,934.9733535731954
