Date,JAPAN IMI MINIMUM VOLATILITY (JPY)
2001-05-31,1000.0
2001-06-01,997.6865301157831
2001-06-04,997.4515705688434
2001-06-05,989.598717289871
2001-06-06,987.7081934079554
2001-06-07,995.8854696598485
2001-06-08,990.3515711885724
2001-06-11,978.2853834006396
2001-06-12,959.6514969380972
2001-06-13,963.2863889125043
2001-06-14,965.4454700591347
2001-06-15,958.5073574216913
2001-06-18,952.5848489086708
2001-06-19,950.2820288565713
2001-06-20,949.6799342690418
2001-06-21,956.3208635473467
2001-06-22,967.9223305049109
2001-06-25,965.4696284019597
2001-06-26,972.784169222761
2001-06-27,965.9538194359488
2001-06-28,955.426091189765
2001-06-29,969.0717521105181
2001-07-02,964.641059498529
2001-07-03,968.7350156748495
2001-07-04,960.7768901169595
2001-07-05,954.739319476559
2001-07-06,941.1536306695965
2001-07-09,938.2657608293816
2001-07-10,941.8970844841638
2001-07-11,939.5079180772558
2001-07-12,951.9501756043679
2001-07-13,941.7865239851174
2001-07-16,937.9365850098277
2001-07-17,932.5265339488028
2001-07-18,922.9794602968094
2001-07-19,928.1399458334467
2001-07-20,931.1181365613443
2001-07-23,905.0189383963263
2001-07-24,915.5281651116018
2001-07-25,921.3548505205638
2001-07-26,921.2621078918374
2001-07-27,923.1504343109649
2001-07-30,908.294053080375
2001-07-31,920.8393451662419
2001-08-01,928.6460446576672
2001-08-02,949.0747154736436
2001-08-03,940.3458326776513
2001-08-06,940.3207942550922
2001-08-07,946.5106879216631
2001-08-08,947.7260476176559
2001-08-09,929.5133338384757
2001-08-10,938.2949637714041
2001-08-13,928.8463679008635
2001-08-14,950.1681411598714
2001-08-15,963.1548961937376
2001-08-16,953.0223631066668
2001-08-17,949.743388054418
2001-08-20,938.9824637975931
2001-08-21,949.0513758532502
2001-08-22,955.6490905767719
2001-08-23,945.3644653249797
2001-08-24,943.5898276695076
2001-08-27,944.7735728009919
2001-08-28,936.7917427029572
2001-08-29,929.3925086444697
2001-08-30,918.0512815582613
2001-08-31,919.5978321219596
2001-09-03,902.9894601470191
2001-09-04,917.1099716675737
2001-09-05,896.1233933614039
2001-09-06,894.3208277145902
2001-09-07,896.4434163513004
2001-09-10,876.1145178874701
2001-09-11,892.6231794722612
2001-09-12,840.801089690168
2001-09-13,856.7934789193463
2001-09-14,887.5283278314371
2001-09-17,856.29114471965
2001-09-18,869.6217225238872
2001-09-19,884.1719618385554
2001-09-20,883.4356290113296
2001-09-21,866.4303586913768
2001-09-24,859.9682149062337
2001-09-25,869.8485139121696
2001-09-26,861.7849645074913
2001-09-27,852.7827061176371
2001-09-28,873.6028245399986
2001-10-01,882.1137688098578
2001-10-02,891.1675175425706
2001-10-03,881.9527113758858
2001-10-04,895.7269061745545
2001-10-05,891.4680282957751
2001-10-08,894.5548804588343
2001-10-09,877.2521064391436
2001-10-10,872.1530524940824
2001-10-11,882.9417603513692
2001-10-12,889.8692033205407
2001-10-15,884.9404266728601
2001-10-16,889.3675574306292
2001-10-17,892.6236067343968
2001-10-18,879.0223291018386
2001-10-19,878.6706083737796
2001-10-22,874.9246488553766
2001-10-23,883.9774062443241
2001-10-24,886.5981128341349
2001-10-25,898.4171871086206
2001-10-26,891.0145953873508
2001-10-29,884.5290578405272
2001-10-30,881.9281294078156
2001-10-31,874.1963515534342
2001-11-01,871.9968326005293
2001-11-02,866.3899929802733
2001-11-05,867.3713226658184
2001-11-06,877.2368768254502
2001-11-07,863.6602751398375
2001-11-08,871.887165864725
2001-11-09,862.5262653674415
2001-11-12,857.0867119497094
2001-11-13,845.009713898894
2001-11-14,840.9251960581372
2001-11-15,849.7510443728819
2001-11-16,840.3825879340611
2001-11-19,838.9242574942234
2001-11-20,840.8490735641894
2001-11-21,844.6371758504522
2001-11-22,840.9322354310199
2001-11-23,837.0800183274628
2001-11-26,852.8214151533399
2001-11-27,846.1665479036002
2001-11-28,836.4284299559835
2001-11-29,833.7857964996242
2001-11-30,839.6080626893204
2001-12-03,821.541561281906
2001-12-04,822.1300574428074
2001-12-05,826.8678490574997
2001-12-06,823.4183203044126
2001-12-07,808.751749382655
2001-12-10,794.2453931490843
2001-12-11,790.3925064325431
2001-12-12,804.4332835514471
2001-12-13,789.9982013552095
2001-12-14,785.819671079625
2001-12-17,773.3545256043056
2001-12-18,776.3254767279574
2001-12-19,777.1612744388268
2001-12-20,784.1439478187685
2001-12-21,778.7467322544444
2001-12-24,776.3200766680558
2001-12-25,774.319805307142
2001-12-26,763.961887757508
2001-12-27,771.722089036106
2001-12-28,783.4663644272604
2001-12-31,784.3032734080315
2002-01-01,784.3032734080314
2002-01-02,778.0108008844735
2002-01-03,780.521561280661
2002-01-04,790.0209418034814
2002-01-07,785.9159737952034
2002-01-08,763.8023025324767
