Date,FRANCE VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,972.8759809985324
1994-07-29,1072.1171076087696
1994-08-31,1075.4399220703049
1994-09-30,997.3432564980358
1994-10-31,1030.2858196453944
1994-11-30,1016.0806381064524
1994-12-30,982.0580038957112
1995-01-31,959.8902495073796
1995-02-28,969.5225893138663
1995-03-31,1085.5060933990017
1995-04-28,1098.0048702317586
1995-05-31,1114.1719241631229
1995-06-30,1110.4616032522697
1995-07-31,1164.6292706753495
1995-08-31,1080.7991102001013
1995-09-29,1047.840328816743
1995-10-31,1068.7697425942063
1995-11-30,1067.7777159937698
1995-12-29,1105.2253319591007
1996-01-31,1140.2117787784352
1996-02-29,1151.189481754402
1996-03-29,1172.4991525773498
1996-04-30,1189.5110199928697
1996-05-31,1174.6737643050537
1996-06-28,1197.388981164872
1996-07-31,1168.5775295892186
1996-08-30,1148.3709350861077
1996-09-30,1203.3425603700816
1996-10-31,1222.0098734562157
1996-11-29,1286.6814768012478
1996-12-31,1288.1152204188045
1997-01-01,1288.1152204188045
1997-01-02,1261.20272393654
1997-01-03,1260.9409800928236
1997-01-06,1265.6289416160346
1997-01-07,1264.912563941692
1997-01-08,1269.601947896323
1997-01-09,1278.2962018051464
1997-01-10,1262.7145991638688
1997-01-13,1273.6476535069319
1997-01-14,1287.6133070970652
1997-01-15,1287.792810594668
1997-01-16,1296.0633880487283
1997-01-17,1289.2606573722749
1997-01-20,1271.2096556417584
1997-01-21,1270.1247649972213
1997-01-22,1274.9046852664019
1997-01-23,1287.5679964801213
1997-01-24,1286.327619563025
1997-01-27,1284.5081405572346
1997-01-28,1293.844678438722
1997-01-29,1293.537075420564
1997-01-30,1316.57383466948
1997-01-31,1328.0622781437414
1997-02-03,1317.9414283614376
1997-02-04,1314.9414443800508
1997-02-05,1329.7722360845007
1997-02-06,1339.4952122717064
1997-02-07,1340.0719358577476
1997-02-10,1351.6803624900563
1997-02-11,1332.640949684981
1997-02-12,1331.2129821654669
1997-02-13,1343.5967620672002
1997-02-14,1343.3303386333594
1997-02-17,1335.332138230099
1997-02-18,1334.0531821983604
1997-02-19,1321.8228793396688
1997-02-20,1316.528949975993
1997-02-21,1318.5150368372708
1997-02-24,1334.553876765484
