Date,SWEDEN VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,943.8044502159075
1994-07-29,1002.9684034612421
1994-08-31,995.6083762317364
1994-09-30,1003.3162378002656
1994-10-31,1093.1099531180705
1994-11-30,1064.3558546899505
1994-12-30,1046.945996338951
1995-01-31,1060.5723338336516
1995-02-28,1077.0963179983353
1995-03-31,1043.7590867862173
1995-04-28,1144.118939214154
1995-05-31,1173.1078590190448
1995-06-30,1213.6389880795957
1995-07-31,1313.6349707793793
1995-08-31,1250.0371291342815
1995-09-29,1426.0588305149836
1995-10-31,1374.7661504322234
1995-11-30,1413.5862880668149
1995-12-29,1389.4684577889104
1996-01-31,1341.5797800593577
1996-02-29,1483.384586650115
1996-03-29,1521.659124999612
1996-04-30,1539.0073473174532
1996-05-31,1604.4061470351514
1996-06-28,1643.374187074487
1996-07-31,1586.3985852112346
1996-08-30,1683.3589553402103
1996-09-30,1741.5819566669509
1996-10-31,1781.6396732578041
1996-11-29,1896.4182080234032
1996-12-31,1912.0118054934835
1997-01-01,1912.0118054934835
1997-01-02,1878.6101630131263
1997-01-03,1889.1792946338887
1997-01-06,1878.9614186040214
1997-01-07,1882.4389262420175
1997-01-08,1919.5356268076482
1997-01-09,1940.2914001150184
1997-01-10,1914.530407455013
1997-01-13,1942.5721742485773
1997-01-14,1953.3140021764889
1997-01-15,1945.8211011709325
1997-01-16,1956.6956826120377
1997-01-17,1934.1113628900493
1997-01-20,1923.3708114013107
1997-01-21,1935.2823114864789
1997-01-22,1942.6462426884611
1997-01-23,1933.0022223370245
1997-01-24,1931.7485488397929
1997-01-27,1918.8354464414601
1997-01-28,1921.8930242037902
1997-01-29,1894.2591079083682
1997-01-30,1913.532998962556
1997-01-31,1941.140593236797
1997-02-03,1908.8165364540987
1997-02-04,1904.2528073514347
1997-02-05,1903.9447359010462
1997-02-06,1908.1981481406672
1997-02-07,1919.5300295246686
1997-02-10,1961.4997207666306
1997-02-11,1949.874111809125
1997-02-12,1952.5267784720936
1997-02-13,1961.0951695356387
1997-02-14,1970.2964042058502
1997-02-17,1980.1027034665792
1997-02-18,1967.1093978789806
1997-02-19,1970.1152636467234
1997-02-20,1969.6067553864655
1997-02-21,1985.4252786789534
1997-02-24,1993.3670833330114
1997-02-25,2001.334924484569
1997-02-26,1983.2694146324725
1997-02-27,1983.830462315965
1997-02-28,1971.2718061334597
1997-03-03,1960.1811033300175
1997-03-04,1977.5023638850137
1997-03-05,1987.5514345352824
1997-03-06,2000.8379411903325
1997-03-07,2008.4847003245914
1997-03-10,2047.386765448153
1997-03-11,2034.693725441186
1997-03-12,2012.1805558142362
1997-03-13,2018.2849494113784
1997-03-14,2006.0374442988332
1997-03-17,1978.7004671302655
1997-03-18,1954.1078996969381
1997-03-19,1961.9425874806498
1997-03-20,1930.5975325228014
1997-03-21,1964.845524294263
1997-03-24,1962.1627402489203
1997-03-25,1995.7247206518748
1997-03-26,2028.2650546996008
1997-03-27,2060.277847870515
1997-03-28,2063.2861687895484
1997-03-31,2072.611647680562
1997-04-01,1962.7605211952957
1997-04-02,1926.6407895872123
1997-04-03,1941.9920053144308
1997-04-04,1940.3903622988491
1997-04-07,1957.2678611895271
1997-04-08,1957.5779186636596
1997-04-09,1937.3882836652592
1997-04-10,1951.0500617266314
1997-04-11,1936.878008398917
1997-04-14,1932.6376070100569
1997-04-15,1958.0644231071985
1997-04-16,1955.8563096950463
1997-04-17,1950.6864060657024
1997-04-18,1952.4440478321685
1997-04-21,1955.3625245036806
1997-04-22,1946.3726313243988
1997-04-23,1953.7277830368382
1997-04-24,1972.4831534561706
1997-04-25,1918.7181805353018
1997-04-28,1908.280528656773
1997-04-29,1925.2878414149957
1997-04-30,1935.2070828831304
1997-05-01,1941.5548234488674
1997-05-02,1972.813600786265
1997-05-05,2000.1594189497648
1997-05-06,2035.763108838416
1997-05-07,2056.7930339981367
1997-05-08,2063.795915673725
1997-05-09,2069.838198293014
1997-05-12,2063.7221595594556
1997-05-13,2067.8929300089435
1997-05-14,2095.640950903889
1997-05-15,2121.847120846045
1997-05-16,2106.2024752248535
1997-05-19,2091.020833713218
1997-05-20,2134.5629782345804
1997-05-21,2160.191968599946
1997-05-22,2150.1900793773693
1997-05-23,2172.6441204116295
1997-05-26,2175.856735570901
1997-05-27,2148.5183896173853
1997-05-28,2125.5592573311637
1997-05-29,2099.414805468531
1997-05-30,2078.859754828944
1997-06-02,2087.2233003261535
1997-06-03,2106.8377085495626
