Date,CANADA VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,939.814156574765
1994-07-29,980.4484611028889
1994-08-31,1042.2014416087356
1994-09-30,1057.9815492028572
1994-10-31,1055.947663641235
1994-11-30,1004.154227077782
1994-12-30,1015.6707203988551
1995-01-31,970.2798536315062
1995-02-28,1024.4638543484723
1995-03-31,1059.0685158284646
1995-04-28,1084.7418243281934
1995-05-31,1126.0594782524506
1995-06-30,1145.310645988123
1995-07-31,1159.0555162367446
1995-08-31,1168.3321881769684
1995-09-29,1164.8383434800899
1995-10-31,1164.1067384780524
1995-11-30,1198.228693533247
1995-12-29,1217.1845224496685
1996-01-31,1271.7498401897215
1996-02-29,1255.655728115812
1996-03-29,1283.990919461249
1996-04-30,1336.4696050560062
1996-05-31,1357.9631432604697
1996-06-28,1338.2721416570876
1996-07-31,1313.2882729935486
1996-08-30,1367.9316419122492
1996-09-30,1434.5789980099637
1996-10-31,1559.0452243715436
1996-11-29,1683.9406025848102
1996-12-31,1623.451244250681
1997-01-01,1623.451244250681
1997-01-02,1616.1472743970353
1997-01-03,1620.5854344181607
1997-01-06,1630.9675482735936
1997-01-07,1655.7146344636362
1997-01-08,1655.3349679482665
1997-01-09,1665.3762810870621
1997-01-10,1672.8490127442547
1997-01-13,1675.534096394239
1997-01-14,1689.1815506009702
1997-01-15,1699.8805734850043
1997-01-16,1715.266219963828
1997-01-17,1724.3042915995843
1997-01-20,1719.5689586206906
1997-01-21,1706.069342138755
1997-01-22,1704.5535039072074
1997-01-23,1692.450655354061
1997-01-24,1682.822144022468
1997-01-27,1687.771973831286
1997-01-28,1696.3721694613268
1997-01-29,1697.331732408272
1997-01-30,1696.1539198776743
1997-01-31,1703.0785053790867
1997-02-03,1719.3388116653728
1997-02-04,1726.6113372047557
1997-02-05,1717.7588608903864
1997-02-06,1704.2976179445616
1997-02-07,1714.108699369921
1997-02-10,1713.5190166492612
1997-02-11,1726.715302805218
1997-02-12,1732.5328870301903
1997-02-13,1750.1952967346758
1997-02-14,1746.263850679335
1997-02-17,1743.5327697721248
1997-02-18,1742.8641145372746
1997-02-19,1747.7878968560367
1997-02-20,1725.367548618846
1997-02-21,1728.6624388959306
1997-02-24,1737.3774391433112
1997-02-25,1741.6015027382475
1997-02-26,1723.3227269646172
1997-02-27,1715.344573257401
1997-02-28,1707.6682750400494
1997-03-03,1708.9354038700499
1997-03-04,1710.9289886257288
1997-03-05,1728.696919024253
1997-03-06,1739.0115243089522
1997-03-07,1753.1130076089175
1997-03-10,1767.4907657652363
1997-03-11,1761.3728097115497
1997-03-12,1750.182968637528
1997-03-13,1725.3503201525339
1997-03-14,1734.3846341160722
1997-03-17,1718.930565062973
1997-03-18,1707.9902786478501
1997-03-19,1691.9306264910986
1997-03-20,1679.6127375072026
1997-03-21,1684.69016299515
1997-03-24,1716.7872261188745
1997-03-25,1712.4944868889086
1997-03-26,1708.2963622290097
1997-03-27,1654.8939917745572
1997-03-28,1650.4587248377816
1997-03-31,1628.4905643897775
1997-04-01,1637.3417920169259
1997-04-02,1620.6726596310098
1997-04-03,1615.6037667170076
1997-04-04,1605.3191808299273
1997-04-07,1611.7641183644241
1997-04-08,1606.2262951804391
1997-04-09,1599.7053664033763
1997-04-10,1591.4581443841364
1997-04-11,1553.4258766002908
1997-04-14,1557.2583901935056
1997-04-15,1587.951232983122
1997-04-16,1605.533618276459
1997-04-17,1613.6549037007758
1997-04-18,1612.550674764359
1997-04-21,1607.6280979682338
1997-04-22,1628.6363353266304
1997-04-23,1635.5979795978858
1997-04-24,1635.6938491934052
1997-04-25,1619.721223111411
1997-04-28,1619.2521659408958
1997-04-29,1644.375831573322
1997-04-30,1666.449834145661
1997-05-01,1683.6951079662342
1997-05-02,1729.6063255035012
1997-05-05,1737.4386525849138
1997-05-06,1734.350723172678
1997-05-07,1723.0719984251255
1997-05-08,1727.9759047462094
1997-05-09,1738.2467487275735
1997-05-12,1750.7473506009121
1997-05-13,1745.7268052429297
1997-05-14,1746.606027490855
1997-05-15,1756.9279238012743
1997-05-16,1766.3164190276236
1997-05-19,1764.5137268558442
1997-05-20,1769.4049110892347
1997-05-21,1791.9345702949438
1997-05-22,1794.191965697735
1997-05-23,1817.0376314827247
1997-05-26,1832.712383776005
1997-05-27,1810.0164706474372
1997-05-28,1790.0888232390798
1997-05-29,1785.4854481884609
1997-05-30,1792.4911074702468
1997-06-02,1806.2658434828893
1997-06-03,1822.1545653983874
1997-06-04,1821.5036023859368
1997-06-05,1825.7998166712848
1997-06-06,1828.5726326976999
1997-06-09,1818.5137037562693
1997-06-10,1818.5275468027467
1997-06-11,1818.6252928777308
1997-06-12,1848.4329513646367
1997-06-13,1860.8941759206568
1997-06-16,1854.7103889210146
1997-06-17,1845.3536831612082
1997-06-18,1832.9249722809498
