Date,USA VALUE WEIGHTED
1994-06-30,270.4286053
1994-07-29,279.3086349
1994-08-31,289.49539
1994-09-30,282.6199071
1994-10-31,288.6958101
1994-11-30,279.5933988
1994-12-30,283.7525067
1995-01-31,292.877307
1995-02-28,304.464529
1995-03-31,311.3355956
1995-04-28,321.1952489
1995-05-31,335.4592462
1995-06-30,342.1359742
1995-07-31,352.9437486
1995-08-31,355.9942648
1995-09-29,373.2872884
1995-10-31,370.7051616
1995-11-30,387.9780376
1995-12-29,396.0275821
1996-01-31,408.8002649
1996-02-29,411.9205545
1996-03-29,418.1744554
1996-04-30,423.0862516
1996-05-31,433.0496949
1996-06-28,434.8546045
1996-07-31,415.6620665
1996-08-30,425.5781881
1996-09-30,446.4678081
1996-10-31,461.5995675
1996-11-29,496.0585585
1996-12-31,488.4989305
1997-01-01,488.4986282
1997-01-02,486.947329
1997-01-03,493.1248481
1997-01-06,492.8224744
1997-01-07,496.0655597
1997-01-08,493.9133838
1997-01-09,498.2561444
1997-01-10,501.0252683
1997-01-13,501.126511
1997-01-14,506.8595097
1997-01-15,506.4927821
1997-01-16,506.8001316
1997-01-17,510.5733736
1997-01-20,511.1030382
1997-01-21,514.7012265
1997-01-22,517.406064
1997-01-23,511.9856214
1997-01-24,507.8605308
1997-01-27,505.0467745
1997-01-28,504.3962943
1997-01-29,509.412496
1997-01-30,515.7051448
1997-01-31,516.8655539
1997-02-03,517.2747396
1997-02-04,519.1801125
1997-02-05,512.7829389
1997-02-06,514.1046478
1997-02-07,519.8142602
1997-02-10,517.9954962
1997-02-11,520.9125316
1997-02-12,528.2083331
1997-02-13,533.9262669
1997-02-14,532.401082
1997-02-17,532.401082
1997-02-18,537.5929764
1997-02-19,534.8259284
1997-02-20,528.7188636
1997-02-21,528.367102
1997-02-24,533.9767559
1997-02-25,535.906464
1997-02-26,531.5821159
1997-02-27,525.3320874
1997-02-28,522.8731801
1997-03-03,525.4884417
1997-03-04,522.5440729
1997-03-05,528.626634
1997-03-06,527.5171533
1997-03-07,532.1717972
1997-03-10,536.9837805
1997-03-11,535.4063862
1997-03-12,531.3690692
1997-03-13,521.014346
1997-03-14,523.5678224
1997-03-17,524.6073353
1997-03-18,521.0093969
1997-03-19,518.9702389
1997-03-20,516.3685933
1997-03-21,517.7582458
1997-03-24,523.3727437
1997-03-25,522.2044143
1997-03-26,521.6287826
1997-03-27,510.7928727
1997-03-28,510.7928727
1997-03-31,500.4154739
1997-04-01,502.0570811
1997-04-02,495.9328994
1997-04-03,495.1143023
1997-04-04,498.5782466
1997-04-07,501.9335222
1997-04-08,504.6002341
1997-04-09,501.1059344
1997-04-10,500.1143303
1997-04-11,487.4160702
1997-04-14,490.4330123
1997-04-15,497.4355926
1997-04-16,502.9963335
1997-04-17,502.222906
1997-04-18,504.7761642
1997-04-21,500.768344
1997-04-22,508.8493538
1997-04-23,507.7497226
1997-04-24,506.2376855
1997-04-25,502.422414
1997-04-28,508.2308347
1997-04-29,521.7269168
1997-04-30,525.9537873
1997-05-01,524.1963023
1997-05-02,533.0178305
1997-05-05,543.0550702
1997-05-06,543.7781801
1997-05-07,535.4566652
1997-05-08,538.3197676
1997-05-09,541.4522666
1997-05-12,549.4384904
1997-05-13,546.7915429
1997-05-14,549.1351114
1997-05-15,551.4840907
1997-05-16,544.9576799
1997-05-19,547.0111386
1997-05-20,551.758208
1997-05-21,549.6028457
1997-05-22,548.113765
