Date,UK VALUE WEIGHTED
1997-08-12,628.9254414
1997-08-13,621.3284475
1997-08-14,622.5998036
1997-08-15,619.0265287
1997-08-18,616.2920246
1997-08-19,621.9563089
1997-08-20,621.5817193
1997-08-21,622.3186247
1997-08-22,622.4443452
1997-08-25,621.9984127
1997-08-26,623.3237726
1997-08-27,625.3093426
1997-08-28,619.5336795
1997-08-29,618.4126467
1997-09-01,620.7599706
1997-09-02,622.1585454
1997-09-03,620.8608058
1997-09-04,623.8424813
1997-09-05,623.8667264
1997-09-08,622.0546171
1997-09-09,621.6943835
1997-09-10,614.7261274
1997-09-11,609.6032863
1997-09-12,616.0184703
1997-09-15,620.7088069
1997-09-16,623.6408672
1997-09-17,631.2267827
1997-09-18,640.3380679
1997-09-19,636.3140029
1997-09-22,641.1383878
1997-09-23,639.7008226
1997-09-24,645.2120866
1997-09-25,649.1548639
1997-09-26,661.5327958
1997-09-29,665.9712471
1997-09-30,668.2531497
1997-10-01,675.5702734
1997-10-02,675.52024
1997-10-03,677.3441205
1997-10-06,673.6857846
1997-10-07,678.6581415
1997-10-08,672.8219303
1997-10-09,668.9907431
1997-10-10,668.6807506
1997-10-13,680.5204215
1997-10-14,678.6376685
1997-10-15,677.5253628
1997-10-16,680.8316799
1997-10-17,678.2777375
1997-10-20,678.5851274
1997-10-21,681.37144
1997-10-22,671.2807455
1997-10-23,650.5903081
1997-10-24,651.5059539
1997-10-27,645.4821814
1997-10-28,639.031872
1997-10-29,648.8854614
1997-10-30,639.7760754
1997-10-31,647.3549994
1997-11-03,657.0511477
1997-11-04,658.2223238
1997-11-05,655.4050421
1997-11-06,657.8499395
1997-11-07,647.7510172
1997-11-10,648.3920655
1997-11-11,654.289058
1997-11-12,645.0360551
1997-11-13,640.5591693
1997-11-14,644.1514307
1997-11-17,656.595594
1997-11-18,654.5544056
1997-11-19,649.6418174
1997-11-20,658.2550511
1997-11-21,663.6048697
1997-11-24,659.0609865
1997-11-25,649.8960573
1997-11-26,648.4815247
1997-11-27,650.4669081
1997-11-28,649.0278538
1997-12-01,658.7939088
1997-12-02,663.9766687
1997-12-03,665.4307271
1997-12-04,674.2184434
1997-12-05,672.880049
1997-12-08,674.7359202
1997-12-09,672.3185064
1997-12-10,668.5348493
1997-12-11,659.0077041
1997-12-12,660.0167191
1997-12-15,658.9886132
1997-12-16,666.6789305
1997-12-17,672.4242372
1997-12-18,672.2655147
1997-12-19,659.9695468
1997-12-22,658.4962808
1997-12-23,662.6467426
1997-12-24,660.575539
1997-12-25,660.575539
1997-12-26,660.8387488
1997-12-29,671.4756238
1997-12-30,669.0365198
1997-12-31,667.3911032
1998-01-01,667.3911032
1998-01-02,669.7311398
1998-01-05,677.0648499
1998-01-06,676.3748526
1998-01-07,670.2979089
1998-01-08,667.8843384
1998-01-09,656.7725095
1998-01-12,649.2099534
1998-01-13,657.9459003
1998-01-14,660.2989015
1998-01-15,665.1118475
1998-01-16,676.9521104
1998-01-19,676.9920112
1998-01-20,673.7720222
1998-01-21,673.7468055
1998-01-22,678.9999871
1998-01-23,677.8424988
1998-01-26,681.0861345
1998-01-27,685.2370665
1998-01-28,690.1325552
1998-01-29,693.6244018
1998-01-30,696.3647497
1998-02-02,710.3582383
1998-02-03,715.5968455
1998-02-04,717.0434776
1998-02-05,719.7526107
1998-02-06,718.5815537
1998-02-09,710.4368645
1998-02-10,708.336128
1998-02-11,710.5117804
1998-02-12,708.3721864
1998-02-13,708.6010147
1998-02-16,715.294888
1998-02-17,721.8018221
1998-02-18,730.0741965
1998-02-19,725.8643081
1998-02-20,731.1403566
1998-02-23,732.4445396
1998-02-24,731.5588644
1998-02-25,741.2100732
1998-02-26,742.642663
1998-02-27,746.0212636
1998-03-02,756.0495569
1998-03-03,756.5240802
1998-03-04,745.9005778
1998-03-05,737.1172894
1998-03-06,745.3640625
1998-03-09,750.3076431
1998-03-10,754.6844488
1998-03-11,759.3324211
1998-03-12,760.78607
1998-03-13,766.3155293
1998-03-16,764.7998441
1998-03-17,775.4992778
1998-03-18,782.4166576
1998-03-19,794.543682
1998-03-20,790.9243054
1998-03-23,797.5630177
1998-03-24,799.2137234
1998-03-25,799.7640211
1998-03-26,795.1355763
1998-03-27,797.8741011
1998-03-30,793.430257
1998-03-31,793.0890554
1998-04-01,801.6065533
1998-04-02,799.8878586
1998-04-03,795.5939422
1998-04-06,798.7961975
1998-04-07,802.5789037
1998-04-08,799.198317
1998-04-09,807.2791402
1998-04-10,807.2791402
1998-04-13,804.7481069
1998-04-14,813.0433449
1998-04-15,812.060286
1998-04-16,805.0537826
1998-04-17,793.0336964
1998-04-20,795.7151013
1998-04-21,795.5190029
1998-04-22,793.2076462
1998-04-23,785.9378086
1998-04-24,783.9190156
1998-04-27,769.6009206
1998-04-28,779.0492492
1998-04-29,782.6827295
1998-04-30,793.0687719
1998-05-01,800.3365146
1998-05-04,800.2482594
1998-05-05,794.6611977
1998-05-06,798.9643513
1998-05-07,783.8563342
1998-05-08,783.2024822
1998-05-11,786.4374245
1998-05-12,780.2369611
1998-05-13,780.9501561
1998-05-14,777.1493684
1998-05-15,772.9382981
1998-05-18,757.7968416
1998-05-19,764.3301369
1998-05-20,771.1715677
1998-05-21,773.8403212
1998-05-22,777.4386383
1998-05-25,774.725979
1998-05-26,780.1909369
1998-05-27,763.764306
1998-05-28,761.684665
1998-05-29,760.3986998
1998-06-01,760.6608265
1998-06-02,761.1521211
1998-06-03,766.5206085
1998-06-04,765.4265059
1998-06-05,772.946198
1998-06-08,782.1768303
1998-06-09,781.0735971
1998-06-10,771.8660328
1998-06-11,755.7576228
1998-06-12,744.4112978
1998-06-15,739.6407564
1998-06-16,750.3003996
1998-06-17,766.6805222
1998-06-18,770.2018661
1998-06-19,761.50527
1998-06-22,756.3101667
1998-06-23,758.744318
1998-06-24,761.0217233
1998-06-25,769.223176
1998-06-26,767.409866
1998-06-29,769.7572901
1998-06-30,765.7677738
1998-07-01,773.4082838
1998-07-02,777.8424179
1998-07-03,775.5413325
1998-07-06,774.8612721
1998-07-07,774.1259904
1998-07-08,774.2843111
1998-07-09,766.7893817
1998-07-10,763.3269615
1998-07-13,771.7847036
1998-07-14,785.0651541
1998-07-15,790.1715312
1998-07-16,787.4522251
1998-07-17,794.3534151
1998-07-20,797.8150464
1998-07-21,792.9195536
1998-07-22,774.3351944
1998-07-23,769.5832472
1998-07-24,767.4343831
1998-07-27,759.8405608
1998-07-28,757.5209978
1998-07-29,754.094498
1998-07-30,758.1528432
1998-07-31,748.5603352
1998-08-03,741.8269615
1998-08-04,735.4887914
1998-08-05,726.73346
1998-08-06,721.84076
1998-08-07,730.2510733
1998-08-10,719.3142358
1998-08-11,701.8110833
1998-08-12,702.9342058
1998-08-13,691.9619886
1998-08-14,695.4206955
1998-08-17,695.9907822
1998-08-18,715.9091458
1998-08-19,723.202463
1998-08-20,721.6808036
1998-08-21,699.0954227
1998-08-24,712.5744784
1998-08-25,724.3503532
1998-08-26,710.0085414
1998-08-27,691.8401868
1998-08-28,684.4607128
1998-08-31,689.7123297
1998-09-01,682.7539352
1998-09-02,688.1407201
1998-09-03,679.0170928
1998-09-04,678.4327597
1998-09-07,698.6405188
1998-09-08,694.6039783
1998-09-09,692.9911061
1998-09-10,679.1897845
1998-09-11,677.6979317
1998-09-14,693.243463
1998-09-15,694.2567678
1998-09-16,696.3504343
1998-09-17,681.0050808
1998-09-18,672.8050074
1998-09-21,663.5347234
1998-09-22,677.8652359
1998-09-23,690.4200712
1998-09-24,687.885252
1998-09-25,680.7051033
1998-09-28,688.6784913
1998-09-29,693.882004
1998-09-30,685.4092096
1998-10-01,667.1630721
1998-10-02,651.0676359
1998-10-05,635.7909426
1998-10-06,657.5763621
1998-10-07,657.8086522
1998-10-08,649.5676981
1998-10-09,664.3814196
1998-10-12,681.3670967
1998-10-13,678.1508409
1998-10-14,684.8024874
1998-10-15,687.0472075
1998-10-16,697.462577
1998-10-19,689.1408318
1998-10-20,712.7071311
1998-10-21,703.950731
1998-10-22,706.2052252
1998-10-23,702.4192859
1998-10-26,701.2001343
1998-10-27,705.7359767
1998-10-28,703.7631071
1998-10-29,711.487245
1998-10-30,717.9206594
1998-11-02,729.4808995
1998-11-03,723.7176997
1998-11-04,738.5688653
1998-11-05,724.4100742
1998-11-06,725.6896439
1998-11-09,718.872188
1998-11-10,719.4887916
1998-11-11,724.8428499
1998-11-12,716.0746499
1998-11-13,723.9608449
1998-11-16,732.7757595
1998-11-17,730.3362081
1998-11-18,725.5601395
1998-11-19,740.940668
1998-11-20,748.4877045
1998-11-23,767.1864158
1998-11-24,765.4756423
1998-11-25,759.8874814
1998-11-26,767.3781565
1998-11-27,764.2553767
1998-11-30,748.3312767
1998-12-01,724.0618503
1998-12-02,723.5010302
1998-12-03,731.1709407
1998-12-04,734.1040981
1998-12-07,726.2104674
1998-12-08,729.5775869
1998-12-09,735.3252194
1998-12-10,738.7331537
1998-12-11,731.7582088
1998-12-14,731.9812662
1998-12-15,730.593876
1998-12-16,736.2611533
1998-12-17,740.2515141
1998-12-18,752.9186828
1998-12-21,767.2302645
1998-12-22,761.0978004
1998-12-23,769.2798069
1998-12-24,763.2359448
1998-12-25,763.2359448
1998-12-28,763.7374738
1998-12-29,775.2306228
1998-12-30,762.6501199
1998-12-31,759.4320904
1999-01-01,759.4320904
1999-01-04,752.6272626
1999-01-05,758.91984
1999-01-06,784.4677184
1999-01-07,774.4092014
1999-01-08,774.024958
1999-01-11,767.0117793
1999-01-12,758.0483989
1999-01-13,746.5828125
1999-01-14,743.8684062
1999-01-15,753.5634265
1999-01-18,768.6637665
1999-01-19,760.8448449
1999-01-20,764.7947778
1999-01-21,757.3219726
1999-01-22,741.0123049
1999-01-25,745.062376
1999-01-26,746.0237628
1999-01-27,744.1538215
1999-01-28,743.4649288
1999-01-29,745.9155446
1999-02-01,760.3664469
1999-02-02,769.5056793
1999-02-03,760.2783469
1999-02-04,759.7858232
1999-02-05,751.3928484
1999-02-08,746.9673575
1999-02-09,740.8783595
1999-02-10,736.5956529
1999-02-11,748.5759993
1999-02-12,758.3044701
1999-02-15,764.1546319
1999-02-16,776.1310199
1999-02-17,774.7913072
1999-02-18,774.0914464
1999-02-19,765.9537423
1999-02-22,765.9107036
1999-02-23,769.1853604
1999-02-24,781.2202146
1999-02-25,774.9971274
1999-02-26,773.6614661
1999-03-01,766.5481994
1999-03-02,772.6074109
1999-03-03,773.8651307
1999-03-04,775.0247571
1999-03-05,788.9314453
1999-03-08,788.4946652
1999-03-09,794.8063254
1999-03-10,804.1795242
1999-03-11,816.3003309
1999-03-12,818.5183646
1999-03-15,802.7937002
1999-03-16,804.2027788
1999-03-17,798.974754
1999-03-18,795.4990542
1999-03-19,800.282753
1999-03-22,797.4205053
1999-03-23,788.9845572
1999-03-24,791.0195497
1999-03-25,795.2617405
1999-03-26,794.3534587
1999-03-29,805.4822153
1999-03-30,802.9683934
1999-03-31,806.8568473
1999-04-01,801.9290335
1999-04-02,801.3794248
1999-04-05,800.0303853
1999-04-06,802.6558701
1999-04-07,816.3056987
1999-04-08,823.5266415
1999-04-09,829.8584733
1999-04-12,830.2455617
1999-04-13,842.0712366
1999-04-14,843.2685748
1999-04-15,845.3855043
1999-04-16,846.3797719
1999-04-19,859.7798294
1999-04-20,839.3559077
1999-04-21,830.9415827
1999-04-22,843.2010101
1999-04-23,847.5501987
1999-04-26,854.0625236
1999-04-27,865.9552258
1999-04-28,866.835036
1999-04-29,854.6810613
1999-04-30,862.1934662
1999-05-03,862.1934662
1999-05-04,865.9464075
1999-05-05,854.6282417
1999-05-06,859.0214623
1999-05-07,849.6614299
1999-05-10,843.9511825
1999-05-11,842.5679328
1999-05-12,836.2616759
1999-05-13,847.6575058
1999-05-14,828.0363481
1999-05-17,812.6612829
1999-05-18,818.1796326
1999-05-19,825.1597429
1999-05-20,830.0904582
1999-05-21,822.7124065
1999-05-24,817.6776414
1999-05-25,810.3112065
1999-05-26,808.1868203
1999-05-27,805.3617486
1999-05-28,809.9559333
1999-05-31,810.385578
1999-06-01,818.9476915
1999-06-02,827.8208642
1999-06-03,831.1841843
1999-06-04,834.9040008
1999-06-07,838.3362903
1999-06-08,839.805162
1999-06-09,839.630632
1999-06-10,835.4518647
1999-06-11,850.3367666
1999-06-14,843.7062937
1999-06-15,838.2472759
1999-06-16,844.1823792
1999-06-17,844.5398951
1999-06-18,849.3901497
1999-06-21,855.2251947
1999-06-22,850.9336126
1999-06-23,838.2047114
1999-06-24,832.054286
1999-06-25,835.7147875
1999-06-28,830.348572
1999-06-29,818.5164644
1999-06-30,817.7165409
1999-07-01,835.1672558
1999-07-02,836.7803291
1999-07-05,847.1346221
1999-07-06,848.069881
1999-07-07,841.0436489
1999-07-08,836.5656524
1999-07-09,834.4225308
1999-07-12,832.599238
1999-07-13,820.1593376
1999-07-14,825.4918839
1999-07-15,838.8782221
1999-07-16,834.7109348
1999-07-19,823.6697734
1999-07-20,819.7318125
1999-07-21,814.7661524
1999-07-22,816.1535741
1999-07-23,801.6151866
1999-07-26,807.5993651
1999-07-27,816.0343739
1999-07-28,817.6815512
1999-07-29,812.8664542
1999-07-30,828.325671
1999-08-02,832.7542127
1999-08-03,831.312536
1999-08-04,835.7592344
1999-08-05,819.4439006
1999-08-06,820.204491
1999-08-09,815.6537686
1999-08-10,802.9961789
1999-08-11,807.1522772
1999-08-12,820.2433667
1999-08-13,828.064044
