Date,JAPAN VALUE WEIGHTED
1994-06-30,844.6423471
1994-07-29,812.6643993
1994-08-31,821.1112987
1994-09-30,803.0342588
1994-10-31,826.6959924
1994-11-30,785.6874556
1994-12-30,793.5688279
1995-01-31,746.2968045
1995-02-28,712.1969628
1995-03-31,785.4478466
1995-04-28,817.0667506
1995-05-31,767.487211
1995-06-30,737.6789518
1995-07-31,793.2828916
1995-08-31,765.636941
1995-09-29,771.7790185
1995-10-31,729.8369523
1995-11-30,768.7057958
1995-12-29,809.1828555
1996-01-31,802.0178151
1996-02-29,789.5952868
1996-03-29,817.4958492
1996-04-30,866.9462475
1996-05-31,822.9446604
1996-06-28,832.6185397
1996-07-31,797.9895533
1996-08-30,763.2607615
1996-09-30,790.7653334
1996-10-31,738.2192019
1996-11-29,754.9682477
1996-12-31,709.6040627
1997-01-01,709.6040627
1997-01-02,711.9040889
1997-01-03,708.8101855
1997-01-06,717.0810577
1997-01-07,705.141655
1997-01-08,693.5618083
1997-01-09,673.8855874
1997-01-10,649.446009
1997-01-13,666.9852614
1997-01-14,667.0365773
1997-01-15,665.4990362
1997-01-16,672.5366992
1997-01-17,666.5219273
1997-01-20,648.1040398
1997-01-21,644.5173066
1997-01-22,651.5906509
1997-01-23,643.6341802
1997-01-24,640.0160265
1997-01-27,626.7002753
1997-01-28,628.1742578
1997-01-29,633.7549536
1997-01-30,625.4037775
1997-01-31,641.3534653
1997-02-03,635.8081517
1997-02-04,637.6097159
1997-02-05,623.2821166
1997-02-06,619.7360894
1997-02-07,611.7874384
1997-02-10,628.4604815
1997-02-11,627.2349146
1997-02-12,631.2137058
1997-02-13,633.3772575
1997-02-14,639.9010003
1997-02-17,639.6473618
1997-02-18,634.716659
1997-02-19,634.3377484
1997-02-20,650.7704143
1997-02-21,655.0138318
1997-02-24,656.1652212
1997-02-25,657.7797186
1997-02-26,654.2436342
1997-02-27,659.9805814
1997-02-28,650.1869827
1997-03-03,644.6875506
1997-03-04,643.421389
1997-03-05,637.2899844
1997-03-06,627.8048905
1997-03-07,630.1731924
1997-03-10,630.9459192
1997-03-11,633.525209
1997-03-12,629.510676
1997-03-13,620.7501704
1997-03-14,621.3192265
1997-03-17,621.2571625
1997-03-18,633.7793109
1997-03-19,636.1580405
1997-03-20,632.6020695
1997-03-21,642.3353258
1997-03-24,631.7341752
1997-03-25,635.169227
1997-03-26,639.3203538
1997-03-27,638.1952219
1997-03-28,636.3925642
1997-03-31,635.4115951
1997-04-01,635.5011352
1997-04-02,644.828888
1997-04-03,646.1974582
1997-04-04,634.6861008
1997-04-07,621.9289035
1997-04-08,627.0717302
1997-04-09,616.4804591
1997-04-10,609.7009993
1997-04-11,616.2821396
1997-04-14,610.5666688
1997-04-15,616.816234
1997-04-16,624.0823783
1997-04-17,626.4302709
1997-04-18,633.5131028
1997-04-21,644.0828416
1997-04-22,640.9961926
1997-04-23,649.1574278
1997-04-24,649.9675588
1997-04-25,647.7315458
1997-04-28,645.8914293
1997-04-29,644.9742233
1997-04-30,657.6410464
1997-05-01,665.5415195
1997-05-02,670.5257823
1997-05-05,670.4199836
1997-05-06,699.0524964
1997-05-07,697.6357474
1997-05-08,700.3557397
1997-05-09,703.5637493
1997-05-12,726.4724416
1997-05-13,725.6036581
1997-05-14,730.4537025
1997-05-15,736.8699622
1997-05-16,746.9135594
1997-05-19,747.2321969
1997-05-20,760.8061401
1997-05-21,742.8186881
1997-05-22,729.9457453
1997-05-23,741.346862
1997-05-26,739.1762159
1997-05-27,732.3211133
1997-05-28,750.0635349
1997-05-29,746.1186984
1997-05-30,729.4088783
1997-06-02,742.8562589
1997-06-03,747.86262
1997-06-04,751.4265066
1997-06-05,753.6155623
1997-06-06,752.5678628
1997-06-09,766.250707
1997-06-10,771.0494422
1997-06-11,777.7279991
1997-06-12,767.9544184
1997-06-13,764.9772562
1997-06-16,780.8848149
1997-06-17,777.7074051
1997-06-18,776.3308285
1997-06-19,771.8931901
1997-06-20,766.3316726
1997-06-23,762.1771413
1997-06-24,767.0198313
1997-06-25,785.4823917
1997-06-26,787.5565756
1997-06-27,776.302331
1997-06-30,782.2673917
1997-07-01,766.7893891
1997-07-02,770.1210721
1997-07-03,773.2491086
1997-07-04,766.1966104
1997-07-07,765.3801802
1997-07-08,767.8095485
1997-07-09,764.0585213
1997-07-10,763.7631683
1997-07-11,761.6461947
1997-07-14,770.1227306
1997-07-15,759.4285424
1997-07-16,765.774998
1997-07-17,768.9653618
1997-07-18,763.2958271
1997-07-21,761.154329
1997-07-22,759.1408776
1997-07-23,756.957362
1997-07-24,761.5688029
1997-07-25,759.6207406
1997-07-28,759.2447307
1997-07-29,755.6955438
1997-07-30,747.3757324
1997-07-31,750.5914785
1997-08-01,738.5754251
1997-08-04,729.8545401
1997-08-05,718.8342718
1997-08-06,729.8117377
1997-08-07,726.2330603
1997-08-08,747.603678
1997-08-11,726.3202812
1997-08-12,733.3330954
1997-08-13,736.9097553
1997-08-14,729.7558214
1997-08-15,737.2219494
1997-08-18,727.3041552
1997-08-19,719.648724
1997-08-20,725.5063393
1997-08-21,727.2304538
1997-08-22,712.3811922
1997-08-25,704.7053659
1997-08-26,711.1507687
1997-08-27,698.4279922
1997-08-28,699.1765572
1997-08-29,685.4153841
1997-09-01,666.8285353
1997-09-02,669.2455763
1997-09-03,689.0265843
1997-09-04,688.4155352
1997-09-05,685.7487772
1997-09-08,682.4052975
1997-09-09,695.4805279
1997-09-10,693.6058169
1997-09-11,678.054186
1997-09-12,663.4766633
1997-09-15,666.4554818
1997-09-16,662.3473302
1997-09-17,656.7646012
1997-09-18,652.5073622
1997-09-19,656.8561629
1997-09-22,661.6340643
1997-09-23,665.0919871
1997-09-24,684.6329231
1997-09-25,678.8502829
1997-09-26,665.8197949
1997-09-29,665.6169822
1997-09-30,669.4271138
1997-10-01,668.3569267
1997-10-02,657.7942846
1997-10-03,657.0882157
1997-10-06,665.9213918
1997-10-07,656.0077398
1997-10-08,660.8882845
1997-10-09,653.2097819
1997-10-10,659.0867108
1997-10-13,646.031854
1997-10-14,642.2435413
1997-10-15,649.9312529
1997-10-16,667.6479587
1997-10-17,662.8219859
1997-10-20,649.5068128
