Date,SWITZERLAND VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,1009.085489782553
1994-07-29,998.8265491779548
1994-08-31,1031.8603865295731
1994-09-30,1019.1034021823633
1994-10-31,1030.9954091573632
1994-11-30,1005.8845278662072
1994-12-30,1024.5160370423569
1995-01-31,1013.430917380774
1995-02-28,1064.0866997512187
1995-03-31,1129.7583415036088
1995-04-28,1151.6145918752163
1995-05-31,1219.8375163352184
1995-06-30,1255.9432268080843
1995-07-31,1255.5033964027891
1995-08-31,1212.651219721039
1995-09-29,1326.7214655743787
1995-10-31,1383.9606258793838
1995-11-30,1390.1906591364018
1995-12-29,1438.188339537353
1996-01-31,1353.8800195911635
1996-02-29,1408.1931896474327
1996-03-29,1530.783824044424
1996-04-30,1470.9894626920895
1996-05-31,1427.5127279511628
1996-06-28,1506.0720781193384
1996-07-31,1480.5987269376164
1996-08-30,1533.613415038626
1996-09-30,1495.1922080070497
1996-10-31,1484.2759401920723
1996-11-29,1501.3139801514399
1996-12-31,1463.9417418490486
1997-01-01,1463.9417418490486
1997-01-02,1463.451290848578
1997-01-03,1450.832476215577
1997-01-06,1443.3055727014523
1997-01-07,1447.5201967711646
1997-01-08,1451.058834415232
1997-01-09,1450.2942350149146
1997-01-10,1432.2259014322794
1997-01-13,1436.4165165386007
1997-01-14,1442.49220853101
1997-01-15,1444.7124069085387
1997-01-16,1451.2921266631963
1997-01-17,1437.8476548272365
1997-01-20,1414.2004080696443
1997-01-21,1418.3520381375
1997-01-22,1429.5554368075768
1997-01-23,1451.5841049196072
1997-01-24,1459.492549414537
1997-01-27,1449.1519694590374
1997-01-28,1451.343764617986
1997-01-29,1455.533264014051
1997-01-30,1467.895863212221
1997-01-31,1490.1532377086487
1997-02-03,1498.1900678785098
1997-02-04,1497.256485652
1997-02-05,1499.1596954235927
1997-02-06,1508.5868899849117
1997-02-07,1506.6059356835624
1997-02-10,1527.5020104666676
1997-02-11,1526.9763455021512
1997-02-12,1529.2911524873084
1997-02-13,1518.9354050871868
1997-02-14,1518.473243411894
1997-02-17,1516.9601149336722
1997-02-18,1515.0187805608023
1997-02-19,1513.1845393984697
1997-02-20,1515.012084936845
1997-02-21,1528.0352969400105
1997-02-24,1522.4372375383614
1997-02-25,1527.5790338989868
1997-02-26,1523.1855381703467
1997-02-27,1516.8482810256176
1997-02-28,1513.8586708315108
1997-03-03,1506.4582527840241
1997-03-04,1514.9902106243005
1997-03-05,1529.196233445635
1997-03-06,1536.3647032091435
1997-03-07,1549.7866843012719
1997-03-10,1576.240031148998
1997-03-11,1575.2961120435589
1997-03-12,1583.3707688156999
1997-03-13,1569.8553771364484
1997-03-14,1573.2251848362582
1997-03-17,1550.129092955009
1997-03-18,1555.6426859729559
1997-03-19,1556.2798986768314
1997-03-20,1522.2568132318204
1997-03-21,1529.8793609302236
1997-03-24,1526.3990511070383
1997-03-25,1537.8786661733743
1997-03-26,1555.2752497322517
1997-03-27,1586.7491584219233
1997-03-28,1590.033220150289
1997-03-31,1599.8564158044176
1997-04-01,1544.9585963892584
1997-04-02,1545.6138563588256
1997-04-03,1538.4220060892733
1997-04-04,1544.797334666544
1997-04-07,1543.3417544882589
1997-04-08,1539.5825074208403
1997-04-09,1552.8456172597123
1997-04-10,1557.1034203542383
1997-04-11,1552.6508145525913
1997-04-14,1546.831868114559
1997-04-15,1564.2094290781972
1997-04-16,1559.5533795238478
1997-04-17,1570.385140001543
1997-04-18,1591.8146375364233
1997-04-21,1616.260345578882
1997-04-22,1616.751985223661
1997-04-23,1620.020340254092
1997-04-24,1634.6271740841435
1997-04-25,1611.3322804978066
1997-04-28,1616.2057206346085
1997-04-29,1640.9478322024065
1997-04-30,1645.6488308775877
1997-05-01,1653.9556530798345
1997-05-02,1663.2521140349243
1997-05-05,1682.1761954295675
1997-05-06,1682.9365126727782
1997-05-07,1699.693503641684
1997-05-08,1719.017575364196
1997-05-09,1737.9247882320215
1997-05-12,1741.6545630939738
1997-05-13,1755.5930079750592
1997-05-14,1766.5360148350378
1997-05-15,1778.7032677581897
1997-05-16,1804.6398217718345
1997-05-19,1793.268430330298
1997-05-20,1795.8140622931146
1997-05-21,1820.469920978946
1997-05-22,1821.4406668093243
1997-05-23,1832.0109686732083
1997-05-26,1850.1407960886045
1997-05-27,1826.0480686494188
1997-05-28,1814.7187368385983
1997-05-29,1825.3677656813925
1997-05-30,1786.277332888618
1997-06-02,1807.86728630448
1997-06-03,1817.8936124625136
1997-06-04,1816.9707570700016
1997-06-05,1819.7734483853155
1997-06-06,1842.8467172857927
1997-06-09,1875.5833715192994
1997-06-10,1868.372077175737
1997-06-11,1863.3916126288752
1997-06-12,1872.1162652657763
1997-06-13,1873.220511704135
1997-06-16,1874.5727445097975
1997-06-17,1855.3675653711753
1997-06-18,1872.0577526687948
1997-06-19,1913.987070191409
1997-06-20,1926.9069562732764
1997-06-23,1947.024510210218
1997-06-24,1938.5512695896969
1997-06-25,1964.332434203255
1997-06-26,1961.0952748850018
1997-06-27,1960.6500033196194
1997-06-30,1920.2641396978004
1997-07-01,1929.3080804070069
1997-07-02,1923.3783015026524
1997-07-03,1968.0874010270686
1997-07-04,1981.6864587591585
1997-07-07,2027.8648929051542
1997-07-08,2036.7195054591086
1997-07-09,2026.0961896553279
1997-07-10,2015.1856635158176
1997-07-11,1973.957125393941
1997-07-14,1962.755231606098
1997-07-15,1959.3764068336136
1997-07-16,1976.6178523315725
1997-07-17,1959.9553033958373
1997-07-18,1929.8530260704438
1997-07-21,1892.9389618176012
1997-07-22,1905.2582452151432
1997-07-23,1948.5016884691033
1997-07-24,1933.301949084707
1997-07-25,1911.5698026441546
1997-07-28,1923.628916879557
1997-07-29,1920.8339643232132
1997-07-30,1937.212343066474
1997-07-31,1934.8727861791554
1997-08-01,1924.1835843350877
1997-08-04,1883.5676276008069
1997-08-05,1872.2590955870874
1997-08-06,1891.241910020086
1997-08-07,1926.014571472878
1997-08-08,1934.2398160924677
1997-08-11,1909.298359977085
1997-08-12,1898.9301845858001
1997-08-13,1880.9110931592388
1997-08-14,1837.758516472138
1997-08-15,1837.5148801866633
1997-08-18,1795.829205129111
1997-08-19,1837.914749610297
1997-08-20,1859.1874146330788
1997-08-21,1870.9445394957972
1997-08-22,1833.823322306501
1997-08-25,1828.1296732023422
1997-08-26,1806.543242213759
1997-08-27,1808.7247087796009
1997-08-28,1767.3025185492033
1997-08-29,1762.3224277601294
1997-09-01,1768.5534131555962
1997-09-02,1805.1071640860105
1997-09-03,1820.4210889694514
1997-09-04,1823.5776416328492
1997-09-05,1864.5491231231615
1997-09-08,1848.4306455581584
1997-09-09,1834.6119438193584
1997-09-10,1810.848577865431
1997-09-11,1792.5196161599074
1997-09-12,1810.420855343762
1997-09-15,1836.323103659523
1997-09-16,1870.3695055614196
1997-09-17,1903.3677615369024
1997-09-18,1924.3489315437325
1997-09-19,1924.1606363566646
1997-09-22,1937.435354519673
1997-09-23,1944.1261726241048
1997-09-24,1971.2679784726008
1997-09-25,1952.2802353009458
1997-09-26,1967.6916379493541
1997-09-29,1966.7693949675363
1997-09-30,1960.983819793121
1997-10-01,1975.806321738188
1997-10-02,2009.0381373478583
