Date,GERMANY VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,1000.7645696852703
1994-07-29,1049.7372562414776
1994-08-31,1098.2783954656704
1994-09-30,1027.8984249793089
1994-10-31,1078.0905039987128
1994-11-30,1014.0643397464705
1994-12-30,1049.389964931566
1995-01-31,1035.3325412626398
1995-02-28,1114.111860199756
1995-03-31,1089.7941789594427
1995-04-28,1127.3533088850368
1995-05-31,1137.288406263791
1995-06-30,1163.159485351134
1995-07-31,1226.085419491616
1995-08-31,1158.488837486768
1995-09-29,1170.4324551615096
1995-10-31,1158.0653491396397
1995-11-30,1159.0875565697831
1995-12-29,1193.1649918596056
1996-01-31,1248.7392041098526
1996-02-29,1262.2119323847933
1996-03-29,1265.3939192789876
1996-04-30,1229.9393057096468
1996-05-31,1258.3533961381095
1996-06-28,1274.1594281410419
1996-07-31,1277.0782628422082
1996-08-30,1302.5399544499148
1996-09-30,1313.103981123023
1996-10-31,1334.42721089458
1996-11-29,1392.4182015414067
1996-12-31,1393.5953989614006
1997-01-01,1393.5953989614006
1997-01-02,1380.2357401444774
1997-01-03,1371.2966656520232
1997-01-06,1375.426505640737
1997-01-07,1379.5453829282794
1997-01-08,1382.8441285325903
1997-01-09,1375.0531880051644
1997-01-10,1384.4899422572198
1997-01-13,1390.1332196488038
1997-01-14,1381.5319107259133
1997-01-15,1404.0599183613308
1997-01-16,1404.1385192118569
1997-01-17,1393.1530531206747
1997-01-20,1397.9508468627882
1997-01-21,1377.7276123621346
1997-01-22,1386.209633499057
1997-01-23,1390.5753428819394
1997-01-24,1388.484281050712
1997-01-27,1379.1882347439046
1997-01-28,1364.804126644111
1997-01-29,1372.8921198125136
1997-01-30,1381.3517178142117
1997-01-31,1392.0623794314781
1997-02-03,1403.3231058202225
1997-02-04,1406.6227864896907
1997-02-05,1414.2110763224998
1997-02-06,1416.0430327347676
1997-02-07,1410.770801048383
1997-02-10,1443.78904353418
1997-02-11,1427.7020064558874
1997-02-12,1428.8289676168774
1997-02-13,1429.5676605897108
1997-02-14,1436.5964912824973
1997-02-17,1418.368709572675
1997-02-18,1443.2638339578707
1997-02-19,1426.704225784864
1997-02-20,1416.246036232579
1997-02-21,1417.991457025405
1997-02-24,1429.6956104630156
1997-02-25,1443.7293480014148
1997-02-26,1434.862127090715
1997-02-27,1451.831994375507
1997-02-28,1448.068698903779
1997-03-03,1449.4328052687447
1997-03-04,1458.294254051579
1997-03-05,1473.315130151159
1997-03-06,1484.5462333778732
1997-03-07,1465.5233607020673
1997-03-10,1505.9684327183925
1997-03-11,1519.323976109248
1997-03-12,1511.460170537819
1997-03-13,1487.9858564079407
1997-03-14,1492.1500556554386
1997-03-17,1497.1844817972622
1997-03-18,1484.6987216264167
1997-03-19,1493.3799530457334
1997-03-20,1470.2003674175792
1997-03-21,1491.168837195636
1997-03-24,1496.7990186320367
1997-03-25,1506.499499264589
1997-03-26,1531.523547207051
1997-03-27,1546.4085807500564
1997-03-28,1547.561790823996
1997-03-31,1554.8434523806047
1997-04-01,1497.2889908001982
1997-04-02,1505.5402793285778
1997-04-03,1472.0973250212674
1997-04-04,1472.8022754879842
1997-04-07,1471.5523971327827
1997-04-08,1476.9589077153112
1997-04-09,1480.5907091586132
1997-04-10,1477.8691433472738
1997-04-11,1471.0767632402076
1997-04-14,1446.8785063263444
1997-04-15,1454.8468424362795
1997-04-16,1470.2755702474556
1997-04-17,1487.6917736858218
1997-04-18,1480.2337579580465
1997-04-21,1493.1675715973438
1997-04-22,1483.214585937103
1997-04-23,1500.9344684623818
1997-04-24,1494.3077326820523
1997-04-25,1481.4847985631084
1997-04-28,1469.6192417104642
1997-04-29,1481.870850045252
1997-04-30,1497.3889516680792
1997-05-01,1508.803106197684
1997-05-02,1510.4303934900634
1997-05-05,1538.0565378908382
1997-05-06,1559.6569955428702
1997-05-07,1556.0003689541531
1997-05-08,1566.8445296514033
1997-05-09,1589.9670126409646
1997-05-12,1594.8022017827273
1997-05-13,1602.6331919578172
1997-05-14,1590.8768828484265
1997-05-15,1590.291415568802
1997-05-16,1611.376841421945
1997-05-19,1598.9649356905145
