Date,AUSTRALIA VALUE WEIGHTED
1976-11-30,14.71226769
1976-12-31,16.49480211
1977-01-31,16.78358301
1977-02-28,16.289727
1977-03-31,17.21102088
1977-04-29,17.04785515
1977-05-31,17.90332653
1977-06-30,17.92113876
1977-07-29,17.06143602
1977-08-31,16.25941697
1977-09-30,16.38248254
1977-10-31,17.78960056
1977-11-30,17.35013439
1977-12-30,18.94577164
1978-01-31,18.0593688
1978-02-28,17.10834507
1978-03-31,18.06909582
1978-04-28,19.22073132
1978-05-31,20.2064541
1978-06-30,20.23094305
1978-07-31,21.4879511
1978-08-31,22.83744444
1978-09-29,23.8823089
1978-10-31,22.88472917
1978-11-30,21.64182341
1978-12-29,22.93878403
1979-01-31,23.78051596
1979-02-28,24.4044085
1979-03-30,24.47735243
1979-04-30,23.61313614
1979-05-31,24.54658847
1979-06-29,24.24633662
1979-07-31,24.90054421
1979-08-31,27.7924146
1979-09-28,29.45537076
1979-10-31,29.16212571
1979-11-30,28.36654404
1979-12-31,31.50746937
1980-01-31,36.79168139
1980-02-29,37.62627384
1980-03-31,31.67448589
1980-04-30,33.54870273
1980-05-30,37.6494032
1980-06-30,40.00129647
1980-07-31,40.54297916
1980-08-29,42.90158088
1980-09-30,45.04061381
1980-10-31,46.49848139
1980-11-28,46.05935206
1980-12-31,46.22653055
1981-01-30,42.67219654
1981-02-27,41.70247875
1981-03-31,45.13525506
1981-04-30,44.81135344
1981-05-29,44.11110433
1981-06-30,43.67299329
1981-07-31,39.44815755
1981-08-31,39.61411933
1981-09-30,36.59332871
1981-10-30,34.82279398
1981-11-30,38.25368261
1981-12-31,37.30988738
1982-01-29,33.29421295
1982-02-26,30.20879674
1982-03-31,28.05795999
1982-04-30,31.38448356
1982-05-31,30.97313834
1982-06-30,28.32920601
1982-07-30,27.45211678
1982-08-31,27.7012935
1982-09-30,28.44250041
1982-10-29,28.28138864
1982-11-30,27.80045499
1982-12-31,28.90775611
1983-01-31,31.54780186
1983-02-28,29.33442001
1983-03-31,27.47162628
1983-04-29,32.25715479
1983-05-31,33.99507788
1983-06-30,33.09864094
1983-07-29,37.7258061
1983-08-31,39.41692878
1983-09-30,41.80614483
1983-10-31,41.34988155
1983-11-30,45.44909753
1983-12-30,46.5636972
1984-01-31,46.85475132
1984-02-29,44.94161757
1984-03-30,46.53840317
1984-04-30,46.4711114
1984-05-31,39.2280676
1984-06-29,38.6661505
1984-07-31,39.05796188
1984-08-31,42.35630338
1984-09-28,41.9421871
1984-10-31,43.9457783
1984-11-30,44.18537417
1984-12-31,41.40900915
1985-01-31,43.823913
1985-02-28,39.47082324
1985-03-29,39.88372202
1985-04-30,39.24052567
1985-05-31,40.56372477
1985-06-28,40.9475387
1985-07-31,48.77559291
1985-08-30,47.41150123
1985-09-30,51.24318588
1985-10-31,52.73418711
1985-11-29,49.44467374
1985-12-31,50.30666508
1986-01-31,56.27813429
1986-02-28,53.87858755
1986-03-31,60.05808752
1986-04-30,66.70554829
1986-05-30,66.34612914
1986-06-30,59.04875675
1986-07-31,49.39665564
1986-08-29,52.72577678
1986-09-30,56.95591899
1986-10-31,63.76450002
1986-11-28,64.55769455
1986-12-31,70.2311949
1987-01-30,70.91057674
1987-02-27,78.01495102
1987-03-31,86.65523461
1987-04-30,89.07403023
1987-05-29,93.08337877
1987-06-30,95.94654513
1987-07-31,104.23889718
1987-08-31,114.75408383
1987-09-30,119.12022995
1987-10-30,68.29328443
1987-11-30,74.58877858
1987-12-31,76.96355346
1988-01-29,73.58868653
1988-02-29,74.46956766
1988-03-31,86.61152921
