Date,HONG KONG VALUE WEIGHTED
1994-05-31,1000.0
1994-06-30,918.7121088420464
1994-07-29,993.3703183215189
1994-08-31,1048.9334662544852
1994-09-30,1012.6811518355719
1994-10-31,1014.0936556420912
1994-11-30,883.3047179732633
1994-12-30,859.3115609162493
1995-01-31,756.2407887771321
1995-02-28,887.5182691843911
1995-03-31,897.035917731942
1995-04-28,876.8145701576708
1995-05-31,1008.6712261680121
1995-06-30,1005.5193232261266
1995-07-31,1030.9649080823892
1995-08-31,990.9667993749417
1995-09-29,1064.176831759045
1995-10-31,1073.2603113931182
1995-11-30,1087.7938024078994
1995-12-29,1120.1144122213411
1996-01-31,1284.7366032273924
1996-02-29,1264.2610052174512
1996-03-29,1254.7055832530461
1996-04-30,1275.8701944584354
1996-05-31,1334.0653178768275
1996-06-28,1297.0198783317098
1996-07-31,1238.3576442454037
1996-08-30,1282.7571666845515
1996-09-30,1366.2347505449775
1996-10-31,1437.5298748480186
1996-11-29,1583.7475662386398
1996-12-31,1572.3563346319563
1997-01-01,1572.3563346319563
1997-01-02,1544.587828999702
1997-01-03,1549.2940975818694
1997-01-06,1572.7499009667984
1997-01-07,1577.1112408312408
1997-01-08,1582.065940326602
1997-01-09,1549.7936202335832
1997-01-10,1540.6969798506768
1997-01-13,1547.5730632872098
1997-01-14,1545.675393888121
1997-01-15,1596.7020901305177
1997-01-16,1595.490069368179
1997-01-17,1594.5062093945735
1997-01-20,1597.4189850376727
1997-01-21,1582.6548274794704
1997-01-22,1585.2022992962186
1997-01-23,1574.4169684347542
1997-01-24,1544.1658852692656
1997-01-27,1531.7695638612224
1997-01-28,1546.3386650008797
1997-01-29,1532.0331701514733
1997-01-30,1529.4041544689637
1997-01-31,1528.1863968896446
1997-02-03,1544.2976013125347
1997-02-04,1555.3557350317433
1997-02-05,1565.504471161984
1997-02-06,1565.605477967014
1997-02-07,1566.0500627967645
1997-02-10,1552.2614715853974
1997-02-11,1532.4190710048983
1997-02-12,1533.0341158207743
1997-02-13,1505.7050305636815
1997-02-14,1491.6405175901475
1997-02-17,1492.4497600501938
1997-02-18,1487.808741573043
1997-02-19,1486.3089950720573
1997-02-20,1521.9476997413494
1997-02-21,1522.7867696075023
1997-02-24,1514.1208392747048
1997-02-25,1527.9082131143875
1997-02-26,1530.3475646781935
1997-02-27,1536.7451132373153
1997-02-28,1520.951418249706
1997-03-03,1536.805718196767
1997-03-04,1532.2904591771821
1997-03-05,1523.4421207553369
1997-03-06,1520.6177791944192
1997-03-07,1509.5118566760043
1997-03-10,1498.4555955386256
1997-03-11,1491.4497143795722
1997-03-12,1474.6667475887875
1997-03-13,1452.5210423776296
1997-03-14,1433.0245335408883
1997-03-17,1446.9933925117523
1997-03-18,1434.7027384116766
1997-03-19,1422.187559499583
1997-03-20,1399.2215381410017
1997-03-21,1406.5205810291689
1997-03-24,1439.0996183056363
1997-03-25,1442.9873353691748
1997-03-26,1438.2925748412497
1997-03-27,1410.140249103258
1997-03-28,1410.0856580982986
1997-03-31,1410.1402491032577
1997-04-01,1360.6375235593666
1997-04-02,1365.669557913063
1997-04-03,1357.0742469623435
1997-04-04,1375.1388437277667
1997-04-07,1382.2993850607647
1997-04-08,1391.8088920088446
1997-04-09,1391.32577600798
1997-04-10,1384.478645192464
1997-04-11,1399.9241975636337
1997-04-14,1377.5759962709747
1997-04-15,1377.213562968608
1997-04-16,1401.8146406692808
1997-04-17,1391.1189441512736
1997-04-18,1397.5212494850796
1997-04-21,1408.982452422694
1997-04-22,1402.212713994877
1997-04-23,1412.5461113386887
1997-04-24,1413.8802866136516
1997-04-25,1404.5792517106572
1997-04-28,1401.812883819091
1997-04-29,1401.2232180322328
1997-04-30,1430.9688445571678
1997-05-01,1453.0310177306967
1997-05-02,1455.3686022514896
1997-05-05,1491.102567807288
1997-05-06,1509.054681964663
1997-05-07,1507.484201123302
1997-05-08,1519.4949106613565
1997-05-09,1531.2727266509708
1997-05-12,1535.6212224071428
1997-05-13,1533.1122112836965
1997-05-14,1554.8912691496898
1997-05-15,1551.87205055761
1997-05-16,1551.2590662929792
1997-05-19,1562.3419239486357
1997-05-20,1573.575650668851
1997-05-21,1570.2113178324416
1997-05-22,1569.8445423636326
1997-05-23,1579.8516827871913
1997-05-26,1604.3395373241228
1997-05-27,1598.8856886402555
1997-05-28,1598.0335879834117
1997-05-29,1580.454842090718
1997-05-30,1609.9096136485757
