Date,EM SMALL CAP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,998.9593775186544
2001-06-04,997.3876674533942
2001-06-05,996.6423481668899
2001-06-06,1002.6353492693353
2001-06-07,997.2171654778181
2001-06-08,1003.4139245417539
2001-06-11,1009.3386164662177
2001-06-12,1000.1946804946595
2001-06-13,997.5731017839748
2001-06-14,989.0099464298635
2001-06-15,987.4555635709692
2001-06-18,980.8695991819066
2001-06-19,983.1953919060956
2001-06-20,987.1287906539112
2001-06-21,987.7372193801875
2001-06-22,988.8742823708436
2001-06-25,984.8348237310466
2001-06-26,981.9633868781661
2001-06-27,985.4177560674353
2001-06-28,995.2942823028062
2001-06-29,1000.0859942320257
2001-07-02,1000.9266094511786
2001-07-03,996.8034287490154
2001-07-04,991.4067963459037
2001-07-05,995.1981809235176
2001-07-06,982.5642717252152
2001-07-09,976.5209257421392
2001-07-10,967.7331707641093
2001-07-11,951.0267350444992
2001-07-12,962.7242620328425
2001-07-13,961.6768175797987
2001-07-16,954.8702840035396
2001-07-17,961.6297213448906
2001-07-18,940.4777462183168
2001-07-19,937.6540987972277
2001-07-20,934.4290182021788
2001-07-23,936.372350639646
2001-07-24,925.1480509881087
2001-07-25,919.1571931761407
2001-07-26,928.7778834559073
2001-07-27,932.7689590969935
2001-07-30,932.1164854042398
2001-07-31,928.8829680073768
2001-08-01,925.3141207912275
2001-08-02,926.5221949505757
2001-08-03,926.2747909990389
2001-08-06,928.1157842415997
2001-08-07,931.2436033084542
2001-08-08,933.551164192565
2001-08-09,920.5030333872489
2001-08-10,916.9195128713208
2001-08-13,915.3920692509413
2001-08-14,919.5834159855378
2001-08-15,907.4171158275612
2001-08-16,908.6604218398269
2001-08-17,904.4546226568089
2001-08-20,905.7985909928964
2001-08-21,905.9532462669878
2001-08-22,898.3441742228545
2001-08-23,906.9663048641486
2001-08-24,906.8365064918902
2001-08-27,913.1867434034345
2001-08-28,912.9028623615721
2001-08-29,914.295549839387
2001-08-30,914.0550080929693
2001-08-31,910.451210616518
2001-09-03,909.7159839071985
2001-09-04,926.119167266346
2001-09-05,925.7767120778376
2001-09-06,920.3323690919766
2001-09-07,908.0531176831382
2001-09-10,909.2208310229987
2001-09-11,888.1459166638248
2001-09-12,877.0814577100201
2001-09-13,869.596949929091
2001-09-14,844.6696822136112
2001-09-17,828.4530153366168
2001-09-18,831.7474596747041
2001-09-19,831.2608321037969
2001-09-20,824.5319590024571
2001-09-21,821.7793132811154
2001-09-24,823.9563311818738
2001-09-25,817.0144303209596
2001-09-26,820.3724016836635
2001-09-27,820.1219675147247
2001-09-28,833.7786780409409
2001-10-01,828.2237748917322
2001-10-02,824.0405057822725
2001-10-03,817.2838246257029
2001-10-04,824.9052776383699
2001-10-05,821.443357938568
2001-10-08,814.9288074007761
2001-10-09,819.8734324058711
2001-10-10,827.517047213432
2001-10-11,844.4722797467737
2001-10-12,840.9452782307521
2001-10-15,840.7641280430245
2001-10-16,839.1257135189123
2001-10-17,842.2839243815332
2001-10-18,843.6794275758924
2001-10-19,851.1558459110877
2001-10-22,856.1982826973266
2001-10-23,862.2832698822175
2001-10-24,861.0954161944744
2001-10-25,855.6144991435971
2001-10-26,861.8602102639583
2001-10-29,851.9555307828017
2001-10-30,842.6319135903622
2001-10-31,850.6560932736276
2001-11-01,846.3945413651107
2001-11-02,850.4597696974025
2001-11-05,862.3955555351531
2001-11-06,864.2772736001136
2001-11-07,860.1486452395472
2001-11-08,871.538494727794
2001-11-09,868.9888785613367
2001-11-12,869.797774025076
2001-11-13,885.1382425561607
2001-11-14,887.9378804299531
2001-11-15,895.5340531516123
2001-11-16,893.6718865852085
2001-11-19,903.857137803773
2001-11-20,897.7012238288821
2001-11-21,906.439534219544
2001-11-22,906.31643968919
2001-11-23,913.1768411874615
2001-11-26,920.2014128877197
2001-11-27,915.9657870275447
2001-11-28,906.1767939686522
2001-11-29,906.3071010508907
2001-11-30,899.9895696541394
2001-12-03,907.8658443669963
2001-12-04,908.7163964278174
2001-12-05,912.4582979769046
2001-12-06,913.7746773995719
2001-12-07,916.3366358116941
2001-12-10,924.8744202835156
2001-12-11,921.9179230828953
2001-12-12,921.3099244918894
2001-12-13,905.377834372781
2001-12-14,898.49396602311
2001-12-17,903.4361009747812
2001-12-18,897.5816742900594
2001-12-19,892.4008720977072
2001-12-20,889.0348755012143
2001-12-21,898.4849580582587
2001-12-24,915.2244469219032
2001-12-25,922.0405292037099
2001-12-26,924.6985454268913
2001-12-27,917.1217258920102
2001-12-28,922.5491803865218
2001-12-31,920.3476271315676
2002-01-01,920.6819562830775
2002-01-02,909.2205622962895
2002-01-03,915.0332580960292
2002-01-04,925.5267528955952
2002-01-07,928.2756956548982
2002-01-08,926.1993100921977
2002-01-09,928.1738445577554
2002-01-10,919.2394595884374
2002-01-11,918.5367336280154
2002-01-14,914.1367167636578
2002-01-15,912.1174028246617
2002-01-16,916.9176073854427
2002-01-17,919.0910884168966
2002-01-18,920.5822883515523
2002-01-21,925.6433692399414
2002-01-22,923.7372284102213
2002-01-23,926.290884349394
2002-01-24,935.7554039709248
2002-01-25,953.1351117176335
2002-01-28,955.5479375931751
2002-01-29,953.4563288494988
2002-01-30,949.8988827481334
2002-01-31,955.0565816173319
2002-02-01,953.317820454628
2002-02-04,946.3742212945829
2002-02-05,941.3108132680937
2002-02-06,948.0074202361105
2002-02-07,944.7564246045863
2002-02-08,943.573225779853
