Date,USA SMALL CAP ESG LEADERS
2010-08-31,100.0
2010-09-01,103.5342348336858
2010-09-02,104.9795053802191
2010-09-03,106.6591904795849
2010-09-06,106.6591904795849
2010-09-07,104.81471013252882
2010-09-08,105.58299959670286
2010-09-09,105.74436181005248
2010-09-10,106.10247782676247
2010-09-13,108.28097577441498
2010-09-14,107.98638439777774
2010-09-15,108.47657643829763
2010-09-16,107.81341070417633
2010-09-17,108.33337620840003
2010-09-20,110.69483994790446
2010-09-21,109.97917804235144
2010-09-22,108.78003537149185
2010-09-23,107.76916848949429
2010-09-24,111.02211348666556
2010-09-27,110.70754555248176
2010-09-28,111.7724231340255
2010-09-29,111.88458303958487
2010-09-30,111.79052711550457
2010-10-01,112.23705340673918
2010-10-04,110.82549465866508
2010-10-05,113.7287872613717
2010-10-06,112.92064046815146
2010-10-07,112.80304863981351
2010-10-08,114.10865233860724
2010-10-11,114.24227692654671
2010-10-12,114.63450570224744
2010-10-13,116.0886607976463
2010-10-14,115.60741401934833
2010-10-15,115.43796819148443
2010-10-18,116.38185338620336
2010-10-19,114.02995052701738
2010-10-20,115.24087884330564
2010-10-21,114.7514202143878
2010-10-22,115.72759591335074
2010-10-25,116.335096205311
2010-10-26,116.06278745336982
2010-10-27,115.7316868851498
2010-10-28,115.35110142550992
2010-10-29,115.763278728365
2010-11-01,115.30719857919198
2010-11-02,117.19535890620428
2010-11-03,117.573873383793
2010-11-04,120.2696970509736
2010-11-05,121.08552063264226
2010-11-08,121.10755764313963
2010-11-09,119.64163718764891
2010-11-10,120.92103955949923
2010-11-11,120.50129476903439
2010-11-12,118.51488779606649
2010-11-15,118.6511819932501
2010-11-16,116.43851894905796
2010-11-17,116.85215476026177
2010-11-18,118.70174251973006
2010-11-19,119.19446130630624
2010-11-22,119.80450185657985
2010-11-23,118.5746942574236
2010-11-24,121.10479778911717
2010-11-25,121.10479778911717
2010-11-26,120.54319068672658
2010-11-29,120.40877927583507
2010-11-30,119.82159395884538
2010-12-01,122.48238104013437
2010-12-02,124.21195298596692
2010-12-03,125.08534025621032
2010-12-06,125.48061716819275
2010-12-07,125.82673571747131
2010-12-08,125.90073118478962
2010-12-09,126.5209748969783
2010-12-10,127.88816602134897
2010-12-13,127.35699318482234
2010-12-14,127.28142121186744
2010-12-15,126.59684516094694
2010-12-16,127.85362570462638
2010-12-17,128.20126767891293
2010-12-20,128.50372756995174
2010-12-21,129.83234968774764
2010-12-22,130.20411034871537
2010-12-23,129.88148888769214
2010-12-24,129.88148888769214
2010-12-27,130.26238483347706
2010-12-28,129.98688283860804
2010-12-29,130.18959989171674
2010-12-30,130.115013815333
2010-12-31,129.24622249346316
2011-01-03,131.43111733105937
2011-01-04,129.62943409864758
