Date,MEXICO IMI VALUE WEIGHTED
1996-05-31,1000.0
1996-06-28,979.2512317680203
1996-07-31,917.2635893109655
1996-08-30,995.9453795147598
1996-09-30,990.5791927213329
1996-10-31,912.645269286263
1996-11-29,950.1972348591704
1996-12-31,975.1198747277972
1997-01-01,975.1198747277972
1997-01-02,973.0917195063106
1997-01-03,983.0347046318223
1997-01-06,1009.9821791059431
1997-01-07,1016.1356773991458
1997-01-08,1026.6497983970005
1997-01-09,1026.8324113284757
1997-01-10,1031.57199461729
1997-01-13,1027.8328158048612
1997-01-14,1045.4258012470002
1997-01-15,1068.3526831715203
1997-01-16,1061.0756775635343
1997-01-17,1075.8157877911106
1997-01-20,1077.1266100699547
1997-01-21,1070.2424906467154
1997-01-22,1070.4424252938195
1997-01-23,1067.8177129332491
1997-01-24,1058.4896207631123
1997-01-27,1055.083657365426
1997-01-28,1055.4972528271633
1997-01-29,1041.0726372660654
1997-01-30,1053.0707118009389
1997-01-31,1051.4384203121926
1997-02-03,1047.701208585551
1997-02-04,1052.848919405127
1997-02-05,1053.1182591133402
1997-02-06,1051.0672111896372
1997-02-07,1052.6152355456309
1997-02-10,1058.9036773418875
1997-02-11,1078.3807580708312
1997-02-12,1101.1392433669957
1997-02-13,1093.7832381927246
1997-02-14,1109.960268751369
1997-02-17,1110.7437635049548
1997-02-18,1107.884713120092
1997-02-19,1123.3969220749616
1997-02-20,1116.3389204635903
1997-02-21,1128.083138782222
1997-02-24,1133.1663215962021
1997-02-25,1147.035071727892
1997-02-26,1128.2191164352857
1997-02-27,1092.292384444097
1997-02-28,1096.7285651385994
1997-03-03,1077.2238702966065
1997-03-04,1069.342190354691
1997-03-05,1067.5660285097686
1997-03-06,1070.3115439372925
1997-03-07,1077.5867967191195
1997-03-10,1088.8646972273068
1997-03-11,1081.5794176549769
1997-03-12,1068.5467738265968
1997-03-13,1061.247596241983
1997-03-14,1069.4852965534067
1997-03-17,1066.5010065992847
1997-03-18,1077.1392611388394
1997-03-19,1092.981158079374
1997-03-20,1080.981484967645
1997-03-21,1081.1861387891079
1997-03-24,1088.602622382655
1997-03-25,1091.181893143164
1997-03-26,1095.4432168065343
1997-03-27,1091.917112031406
1997-03-28,1091.779295912255
1997-03-31,1071.7786558146481
1997-04-01,1065.3577216074266
1997-04-02,1062.664974967261
