Date,CHINA IMI VALUE WEIGHTED
1996-11-29,1000.0
1996-12-31,1151.5328690144659
1997-01-01,1151.5328690144659
1997-01-02,1182.3983649762513
1997-01-03,1187.3461397927667
1997-01-06,1193.2472939430231
1997-01-07,1170.033423560159
1997-01-08,1146.4386252631195
1997-01-09,1143.935254780121
1997-01-10,1141.1594223728666
1997-01-13,1128.5635848350719
1997-01-14,1132.1968269179504
1997-01-15,1147.267447017116
1997-01-16,1172.9566666839235
1997-01-17,1175.7654272891898
1997-01-20,1167.6935260945024
1997-01-21,1142.911527022833
1997-01-22,1126.66359071361
1997-01-23,1115.1353939886465
1997-01-24,1110.1409072986678
1997-01-27,1111.8367192820908
1997-01-28,1109.8252550374962
1997-01-29,1104.8999064210093
1997-01-30,1113.3662329800125
1997-01-31,1110.3164492476726
1997-02-03,1117.8867567644827
1997-02-04,1123.5617934175807
1997-02-05,1125.7517348171993
1997-02-06,1124.533562406328
1997-02-07,1122.8454700202403
1997-02-10,1115.470935594223
1997-02-11,1108.2322264819209
1997-02-12,1111.4191589670872
1997-02-13,1107.8337351583766
1997-02-14,1095.2499919043557
1997-02-17,1101.2095951439092
1997-02-18,1079.2083128064512
1997-02-19,1077.4315055031045
1997-02-20,1080.1584513300857
1997-02-21,1094.217520689351
1997-02-24,1106.074425669605
1997-02-25,1117.2756878116597
1997-02-26,1128.8792947936045
1997-02-27,1153.36374799407
1997-02-28,1151.6777574641894
1997-03-03,1164.081374149411
1997-03-04,1147.0851056309848
1997-03-05,1134.0650604530704
1997-03-06,1136.6233721124408
1997-03-07,1121.5424596332052
1997-03-10,1125.4819052896867
1997-03-11,1123.6004369189845
1997-03-12,1126.4984499023133
1997-03-13,1130.6804358249938
1997-03-14,1131.1331295152943
1997-03-17,1141.5151165593907
1997-03-18,1136.826613756309
1997-03-19,1125.0312476946738
1997-03-20,1114.4372555120763
1997-03-21,1108.1683223296168
1997-03-24,1118.6916352375665
1997-03-25,1101.4907717265153
1997-03-26,1106.7473442253618
1997-03-27,1099.5990353454813
1997-03-28,1099.2789566741678
1997-03-31,1100.2306568740385
1997-04-01,1083.7380122049183
1997-04-02,1084.457926634212
1997-04-03,1074.975310509383
1997-04-04,1073.5082188148274
1997-04-07,1076.8244757103657
1997-04-08,1088.5481914652923
1997-04-09,1091.2161634775325
1997-04-10,1102.9623136736964
1997-04-11,1136.5054118222968
1997-04-14,1125.8442650769991
1997-04-15,1107.9392697603241
1997-04-16,1115.9698968799469
1997-04-17,1120.5767397026352
1997-04-18,1125.20969023729
1997-04-21,1135.9158687928184
1997-04-22,1156.7916564841807
1997-04-23,1153.0013382264967
1997-04-24,1186.3904397204533
1997-04-25,1188.928825366048
1997-04-28,1197.1949645960353
1997-04-29,1179.1523174976808
1997-04-30,1196.8118056420826
1997-05-01,1213.453737915388
1997-05-02,1213.5367511171048
1997-05-05,1235.0612340992636
1997-05-06,1261.2614508740285
1997-05-07,1300.8617390227444
1997-05-08,1299.1686507899592
1997-05-09,1286.0265692086932
1997-05-12,1259.9716832412414
1997-05-13,1247.5869020533726
1997-05-14,1228.4078009426275
1997-05-15,1203.5394582340712
1997-05-16,1185.9331072941557
1997-05-19,1193.0375502380834
1997-05-20,1218.0532902228617
1997-05-21,1227.2594277616597
1997-05-22,1211.598617476843
1997-05-23,1211.5755401516756
1997-05-26,1208.190686324326
1997-05-27,1235.037991793843
1997-05-28,1232.2042517458503
1997-05-29,1228.7892544326514
1997-05-30,1237.1031103722396
1997-06-02,1248.0555070408614
1997-06-03,1252.5281389679578
1997-06-04,1246.4345664635698
1997-06-05,1250.3613429853954
1997-06-06,1226.7523897969115
1997-06-09,1224.9021987141516
1997-06-10,1225.9781508835752
1997-06-11,1195.8726582912402
1997-06-12,1157.4701802460697
1997-06-13,1183.0889265554915
1997-06-16,1211.311958714003
1997-06-17,1202.712671324791
1997-06-18,1196.9252689082766
1997-06-19,1204.0391756863273
1997-06-20,1206.7556863447976
1997-06-23,1190.690309978564
1997-06-24,1188.8942811797049
1997-06-25,1199.6513329352392
1997-06-26,1228.7663365220562
1997-06-27,1241.2685652001271
1997-06-30,1243.695247339805
1997-07-01,1240.362943953243
1997-07-02,1239.4044075886231
1997-07-03,1229.7725428282488
1997-07-04,1219.9006329445183
1997-07-07,1212.7842976675383
1997-07-08,1179.965336743437
1997-07-09,1164.5733469198344
1997-07-10,1180.0374904848866
1997-07-11,1208.9834352861642
1997-07-14,1222.1730070117824
1997-07-15,1268.2244507502971
1997-07-16,1314.5638857537954
1997-07-17,1326.4451089721856
1997-07-18,1325.0550838210581
1997-07-21,1312.0637043567303
1997-07-22,1287.6508449104786
1997-07-23,1311.04245618136
1997-07-24,1323.112310738782
1997-07-25,1350.1981336499146
1997-07-28,1347.6690265421869
1997-07-29,1355.1808721362488
1997-07-30,1431.1005195233167
1997-07-31,1505.2314652458604
1997-08-01,1505.9756677786165
1997-08-04,1539.416365065036
1997-08-05,1553.2824234555599
1997-08-06,1569.1353094312833
1997-08-07,1631.8085202214918
