Date,SAUDI ARABIA IMI VALUE WEIGHTED
2015-05-29,1000.0
2015-06-01,995.307800990765
2015-06-02,997.1444989904993
2015-06-03,992.8277532932198
2015-06-04,990.759509224803
2015-06-05,990.759509224803
2015-06-08,977.1698342493562
2015-06-09,975.3665611523537
2015-06-10,981.955285725725
2015-06-11,977.3691769150395
2015-06-12,977.3691769150392
2015-06-15,983.2931204167969
2015-06-16,980.4106685348931
2015-06-17,980.247410225042
2015-06-18,976.1052900518886
2015-06-19,976.1183044420382
2015-06-22,952.5577084529293
2015-06-23,954.0383886104964
2015-06-24,959.7264285679316
2015-06-25,964.1384016325871
2015-06-26,964.1384016325874
2015-06-29,927.520917771893
2015-06-30,926.2831067946045
2015-07-01,934.1830419546429
2015-07-02,937.5295659347039
2015-07-03,937.4420736742883
2015-07-06,939.0200170567555
2015-07-07,928.9973355370629
2015-07-08,926.4289109927873
2015-07-09,962.8661186487086
2015-07-10,962.8019352761366
2015-07-13,960.7015029821479
2015-07-14,962.4712297975931
2015-07-15,974.7625404684353
2015-07-16,974.8145229522279
2015-07-17,974.7755355696274
2015-07-20,974.7885310173139
2015-07-21,974.8145229522277
2015-07-22,976.0068017301481
2015-07-23,973.1445555620107
2015-07-24,973.1575299577914
2015-07-27,942.0658301958927
2015-07-28,947.051650289649
2015-07-29,951.7291087348146
2015-07-30,951.3043317027906
2015-07-31,951.2916484905816
2015-08-03,925.481776895546
2015-08-04,918.3150109886768
2015-08-05,920.6530078450456
2015-08-06,904.7230514533707
2015-08-07,904.7471757931204
2015-08-10,922.0559266693456
2015-08-11,914.1974439182067
2015-08-12,909.6145716045851
2015-08-13,908.8657671850287
2015-08-14,908.8778807113605
2015-08-17,888.2640492447357
2015-08-18,866.324472916517
2015-08-19,854.3740881518438
2015-08-20,845.7445635498813
2015-08-21,845.8347654790954
2015-08-24,747.4620481795714
2015-08-25,811.6750430182324
2015-08-26,794.9620216440857
2015-08-27,817.6007363801403
2015-08-28,817.5898380885096
2015-08-31,811.2849927293381
2015-09-01,804.387677819516
2015-09-02,793.5649822112068
2015-09-03,796.0541164304426
2015-09-04,795.9480055926197
2015-09-07,805.5074938031524
2015-09-08,813.7909480203448
2015-09-09,828.7552070771591
2015-09-10,825.7717461709734
2015-09-11,825.7387214657381
2015-09-14,808.0597170147097
2015-09-15,807.9906561375271
2015-09-16,806.1659968915615
2015-09-17,801.6369669142227
2015-09-18,801.6369669142227
2015-09-21,801.3466975391763
2015-09-22,801.3787492702957
2015-09-23,801.3360141985434
2015-09-24,801.3787492702957
2015-09-25,801.3787492702955
