Date,TAIWAN IMI VALUE WEIGHTED
1996-11-29,1000.0
1996-12-31,1027.3090073911058
1997-01-01,1027.3090073911058
1997-01-02,1027.3090073911058
1997-01-03,1027.3090073911058
1997-01-06,1014.8339762513931
1997-01-07,1020.6877538709457
1997-01-08,1035.633729752134
1997-01-09,1035.7442822780388
1997-01-10,1046.9242921213722
1997-01-13,1063.2887666244108
1997-01-14,1058.4977976491878
1997-01-15,1065.9226158770002
1997-01-16,1073.3642821825354
1997-01-17,1066.4307639458705
1997-01-20,1079.8715168184603
1997-01-21,1076.6333208360645
1997-01-22,1081.52399343856
1997-01-23,1071.7483095969683
1997-01-24,1076.5785569712273
1997-01-27,1063.7501218010366
1997-01-28,1061.9089307151494
1997-01-29,1062.3112129022873
1997-01-30,1073.1795988190001
1997-01-31,1083.6707888048686
1997-02-03,1092.7268719503484
1997-02-04,1092.7268719503484
1997-02-05,1090.3427405933658
1997-02-06,1090.3427405933658
1997-02-07,1089.96410242521
1997-02-10,1090.36045300791
1997-02-11,1099.8244860372427
1997-02-12,1104.5058639804238
1997-02-13,1120.6344060387974
1997-02-14,1115.101194215371
1997-02-17,1140.3404189623445
1997-02-18,1133.319380280989
1997-02-19,1139.7553585887308
1997-02-20,1143.0143843252351
1997-02-21,1165.3629425332347
1997-02-24,1181.8242496281682
1997-02-25,1180.6582569951277
1997-02-26,1156.36417438247
1997-02-27,1173.9089235159627
1997-02-28,1179.024510235684
1997-03-03,1178.1168794527198
1997-03-04,1195.0465019704586
1997-03-05,1205.1033927582944
1997-03-06,1215.8803304829012
1997-03-07,1229.7415389208188
1997-03-10,1227.479706397083
1997-03-11,1239.7170295336882
1997-03-12,1240.8766629055863
1997-03-13,1242.1410697097238
1997-03-14,1245.1195151372044
1997-03-17,1271.9580662459532
1997-03-18,1285.7876797256517
1997-03-19,1269.0710533210688
1997-03-20,1279.2212353550738
1997-03-21,1232.365817767281
1997-03-24,1188.1557041535928
1997-03-25,1179.5178995763224
1997-03-26,1210.9591969500725
1997-03-27,1220.6903015767243
1997-03-28,1228.0772549057376
1997-03-31,1214.6315763767213
1997-04-01,1241.7350691704012
1997-04-02,1248.6586859491042
1997-04-03,1273.4316463848031
1997-04-04,1273.4316463848031
1997-04-07,1301.1428455570067
1997-04-08,1292.3075454199509
1997-04-09,1318.8301213253787
1997-04-10,1307.2755888119507
1997-04-11,1315.213804206846
1997-04-14,1319.2949926864303
1997-04-15,1322.649964273274
1997-04-16,1323.8547386888306
1997-04-17,1303.8455901681239
1997-04-18,1273.2132262170144
1997-04-21,1285.4689558359653
1997-04-22,1286.4439366519036
1997-04-23,1311.2965523156147
1997-04-24,1312.1540653016464
1997-04-25,1319.339881682367
1997-04-28,1315.5823604462098
1997-04-29,1307.7118661252955
1997-04-30,1291.4811201966409
1997-05-01,1291.4811201966409
1997-05-02,1242.2163267956225
1997-05-05,1254.4766577995629
1997-05-06,1259.7173971757366
1997-05-07,1283.9832907035702
1997-05-08,1275.6286904133779
1997-05-09,1262.847009170847
1997-05-12,1220.0223291286302
1997-05-13,1217.3277895014915
1997-05-14,1246.1561964369812
1997-05-15,1211.9111916583506
1997-05-16,1221.0023232194692
1997-05-19,1229.6315316843375
1997-05-20,1212.600193809402
1997-05-21,1218.200385256958
1997-05-22,1238.6729584260984
1997-05-23,1239.9448485876549
1997-05-26,1250.0191169259626
1997-05-27,1238.6337081248503
1997-05-28,1229.6928265033462
1997-05-29,1221.7254637457254
1997-05-30,1224.649810545272
1997-06-02,1256.806161296388
1997-06-03,1262.5804774896228
1997-06-04,1265.1890798422444
1997-06-05,1257.5017032970338
1997-06-06,1271.5241791725264
1997-06-09,1279.1532666195496
1997-06-10,1281.7859404091905
1997-06-11,1263.3659966883654
1997-06-12,1261.2071987228755
1997-06-13,1266.377203557414
1997-06-16,1310.3125328248436
1997-06-17,1315.021565189819
1997-06-18,1316.604977073617
1997-06-19,1305.2457609036
1997-06-20,1338.408670942093
1997-06-23,1344.6031307944502
1997-06-24,1345.6996215925165
1997-06-25,1351.8460165597962
1997-06-26,1340.6711340040729
1997-06-27,1356.8724429675024
1997-06-30,1366.3905588404782
1997-07-01,1366.3905588404782
1997-07-02,1359.7051231220457
1997-07-03,1362.264821692986
1997-07-04,1385.5707233254598
1997-07-07,1405.4708719862651
1997-07-08,1403.3580827756177
1997-07-09,1409.0885006079423
1997-07-10,1420.260994841668
1997-07-11,1410.0646133512369
1997-07-14,1429.272994502544
1997-07-15,1418.4504550084591
1997-07-16,1410.2918615520387
1997-07-17,1414.608677303209
1997-07-18,1431.4805502474874
1997-07-21,1455.6164362297438
1997-07-22,1412.4645132037315
1997-07-23,1385.4574131854554
1997-07-24,1419.5033696894625
1997-07-25,1437.4803354651501
1997-07-28,1448.2879623786528
1997-07-29,1435.908593603805
1997-07-30,1433.1138708356493
1997-07-31,1441.2304481014896
1997-08-01,1428.8282008825076
1997-08-04,1441.6432117151676
1997-08-05,1425.1988070777647
1997-08-06,1416.8971636017495
1997-08-07,1397.12451126258
1997-08-08,1421.7306027062095
1997-08-11,1419.4942877030555
1997-08-12,1407.45997413528
1997-08-13,1369.7914280044831
1997-08-14,1381.7724732343647
1997-08-15,1400.7764595787748
1997-08-18,1391.4170719384115
1997-08-19,1392.2136263552081
1997-08-20,1409.5686932385156
1997-08-21,1429.324890947862
1997-08-22,1429.8392763747863
1997-08-25,1427.1014219454385
1997-08-26,1443.5451721788259
1997-08-27,1432.9791490309508
1997-08-28,1406.0227617338785
1997-08-29,1404.5295968929006
1997-09-01,1364.4509702352902
1997-09-02,1317.5608013646745
1997-09-03,1356.861560062088
1997-09-04,1316.5694278115207
1997-09-05,1338.1701074679509
1997-09-08,1321.083688760761
1997-09-09,1310.843470350808
1997-09-10,1320.4692867325373
1997-09-11,1314.6540583676417
1997-09-12,1320.1333341587138
1997-09-15,1288.4853656980918
1997-09-16,1288.4853656980918
1997-09-17,1311.0222222723098
1997-09-18,1317.8442901597505
1997-09-19,1329.1466542629255
1997-09-22,1325.7591087736384
1997-09-23,1305.0138753668057
1997-09-24,1293.8150050835113
1997-09-25,1266.0601648723164
1997-09-26,1256.6662460445536
1997-09-29,1272.3283333980378
1997-09-30,1288.8813840443631
1997-10-01,1252.9724795337704
1997-10-02,1224.6999687021982
1997-10-03,1230.0599898181474
1997-10-06,1213.2058798611015
1997-10-07,1187.2909408028477
1997-10-08,1196.1099135504812
1997-10-09,1225.101499716512
1997-10-10,1225.101499716512
1997-10-13,1224.2533709498489
1997-10-14,1219.5824385305566
1997-10-15,1196.22488097491
1997-10-16,1156.7723707003463
1997-10-17,1105.7850655791008
1997-10-20,992.5254366864365
1997-10-21,1045.711661666242
1997-10-22,1051.5349601506593
1997-10-23,1067.6017589135233
1997-10-24,1050.6271505051393
1997-10-27,1037.458259129162
1997-10-28,966.6980437324933
1997-10-29,950.7424318825498
1997-10-30,975.7774012396075
1997-10-31,975.7774012396075
1997-11-03,1010.6637542488205
1997-11-04,1045.3670472421177
1997-11-05,1063.7116686568727
1997-11-06,1082.6994603560095
1997-11-07,1046.5409922270735
1997-11-10,1031.588100311811
1997-11-11,1022.6689749909008
1997-11-12,1022.6689749909008
1997-11-13,998.9092071388437
1997-11-14,985.4971198685139
1997-11-17,1003.1855691983956
1997-11-18,987.726596440657
1997-11-19,964.5049058018362
1997-11-20,963.5463687938825
1997-11-21,983.0700655662532
1997-11-24,983.135828338862
1997-11-25,981.5284278969059
1997-11-26,977.9878650946245
1997-11-27,995.6293770067672
1997-11-28,993.7850765982746
1997-12-01,949.558761496251
1997-12-02,984.3269710080647
1997-12-03,1017.5927634702213
1997-12-04,1046.3436567532412
1997-12-05,1067.0674222170692
1997-12-08,1087.5858443802786
1997-12-09,1074.3885065426884
1997-12-10,1086.473644455161
1997-12-11,1058.522772136097
1997-12-12,1065.4145750008947
1997-12-15,1043.4451103351325
1997-12-16,1031.937177507552
1997-12-17,1061.854527943015
1997-12-18,1064.1948676257828
1997-12-19,1038.1707892249417
1997-12-22,1031.5977136509778
1997-12-23,1024.4937119536578
1997-12-24,1024.0357773923388
1997-12-25,1024.068774898613
1997-12-26,1033.5321506157218
1997-12-29,1026.5065906589973
1997-12-30,1038.634812390518
1997-12-31,1040.4654369472273
1998-01-01,1040.4654369472273
1998-01-02,1040.4654369472273
1998-01-05,1002.4266891221611
1998-01-06,977.3280864114134
1998-01-07,943.491574221465
1998-01-08,938.7725622310974
1998-01-09,942.0970994684153
1998-01-12,888.62107775365
1998-01-13,910.3819809655324
1998-01-14,950.7960471884096
1998-01-15,948.5868610209898
1998-01-16,955.6118443978069
1998-01-19,967.269183640582
1998-01-20,973.8937573801217
1998-01-21,995.1613824030089
1998-01-22,984.8798983711699
1998-01-23,978.1664229218252
1998-01-26,975.6813607865239
1998-01-27,975.6813607865239
1998-01-28,975.6813607865239
1998-01-29,975.7036434219785
1998-01-30,975.7036434219785
1998-02-02,1031.1404906543428
1998-02-03,1048.3510491333122
1998-02-04,1047.1159397416707
1998-02-05,1066.459151965766
1998-02-06,1057.3757936796374
1998-02-09,1064.626556336612
1998-02-10,1058.9471288157638
1998-02-11,1077.4595747780381
1998-02-12,1082.9818058126612
1998-02-13,1075.4457992689374
1998-02-16,1072.4515360996234
1998-02-17,1076.4150683604043
1998-02-18,1083.8749642475725
1998-02-19,1104.6102825679998
1998-02-20,1110.318622615959
1998-02-23,1130.9966445088276
1998-02-24,1119.1437781749148
1998-02-25,1121.67642773874
1998-02-26,1158.6382253324055
1998-02-27,1159.846255452215
1998-03-02,1174.9940306077258
1998-03-03,1166.439082450127
1998-03-04,1141.6992976402553
1998-03-05,1112.827604172968
1998-03-06,1120.808190529198
1998-03-09,1130.0365779619985
1998-03-10,1126.7844531000012
1998-03-11,1143.9896254488672
1998-03-12,1148.1854947896954
1998-03-13,1147.1229093111317
1998-03-16,1145.3727000769818
1998-03-17,1138.3766349584798
1998-03-18,1117.1266552960537
1998-03-19,1104.490562708288
1998-03-20,1109.58673179224
1998-03-23,1093.1058121622013
1998-03-24,1100.8210346979256
1998-03-25,1125.2578711501453
1998-03-26,1125.7595343985824
1998-03-27,1135.3588643410028
1998-03-30,1125.5936322959813
1998-03-31,1125.9469272638653
1998-04-01,1121.655604707766
1998-04-02,1116.2733179611719
1998-04-03,1129.8065294545688
1998-04-06,1138.0957029765905
1998-04-07,1142.6914265975129
1998-04-08,1143.0005948565984
1998-04-09,1125.0070138836343
1998-04-10,1121.8011036865532
1998-04-13,1097.680483658103
1998-04-14,1085.8940318294865
1998-04-15,1091.1383676586076
1998-04-16,1086.3893223621728
