Date,SOUTH AFRICA IMI VALUE WEIGHTED
1995-05-31,1000.0
1995-06-30,1001.7801538834176
1995-07-31,1011.1529297194519
1995-08-31,1023.5865916702161
1995-09-29,1052.0658603934805
1995-10-31,1081.7430819648953
1995-11-30,1114.9993531902478
1995-12-29,1172.8614371868207
1996-01-31,1287.3328339596135
1996-02-29,1184.6207753294846
1996-03-29,1164.6823539350087
1996-04-30,1099.184377545373
1996-05-31,1059.806710923507
1996-06-28,1092.6242656713196
1996-07-31,1003.6544813743735
1996-08-30,1012.6705684737427
1996-09-30,1038.4319578287411
1996-10-31,1012.5575363004738
1996-11-29,1004.2694985962411
1996-12-31,986.1574953693938
1997-01-01,986.1574953693938
1997-01-02,975.8632707764467
1997-01-03,972.4759996958505
1997-01-06,971.4563383245069
1997-01-07,985.8378190835923
1997-01-08,990.1649875185053
1997-01-09,991.851834227928
1997-01-10,993.8102162290667
1997-01-13,1007.2908467133565
1997-01-14,1008.032474053434
1997-01-15,1013.382929111654
1997-01-16,1015.2772587915962
1997-01-17,1019.6970839240914
1997-01-20,1019.2286106587478
1997-01-21,1010.558487439335
1997-01-22,1021.132063902465
1997-01-23,1016.2471980808486
1997-01-24,1013.8078418949283
1997-01-27,1022.4793804087333
1997-01-28,1028.3262814081904
1997-01-29,1022.799081991718
1997-01-30,1018.0445900018204
1997-01-31,1021.3184303376985
1997-02-03,1037.2043274424602
1997-02-04,1047.2956426422968
1997-02-05,1065.2033668714057
1997-02-06,1079.6542607537122
1997-02-07,1090.0102902163792
1997-02-10,1112.6763828468881
1997-02-11,1111.3578699241789
1997-02-12,1110.5300891431734
1997-02-13,1117.6763606565023
1997-02-14,1111.5313316222835
1997-02-17,1113.251679488349
1997-02-18,1108.3938191776779
1997-02-19,1105.520264303365
1997-02-20,1101.9656959113927
1997-02-21,1103.9491133564636
1997-02-24,1121.3982168181847
1997-02-25,1132.6793982504134
1997-02-26,1128.3513045599238
1997-02-27,1115.4372937101734
1997-02-28,1104.2647136808853
1997-03-03,1108.3236366473957
1997-03-04,1113.8052294500244
1997-03-05,1104.048622585938
1997-03-06,1104.3494169213636
1997-03-07,1101.3415663938147
1997-03-10,1114.0992846137885
1997-03-11,1124.5460137785228
1997-03-12,1131.546184176979
1997-03-13,1135.182070621092
1997-03-14,1115.8005430206429
1997-03-17,1118.5737309907042
1997-03-18,1119.8589123678532
1997-03-19,1117.1164494700395
1997-03-20,1116.0695010386794
1997-03-21,1116.7582052393655
1997-03-24,1116.037197650236
1997-03-25,1121.0875371154727
1997-03-26,1114.602393796024
1997-03-27,1122.4553342348663
