Date,CHILE IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,979.291382666101
1995-01-31,971.6604809184262
1995-02-28,956.5495695022103
1995-03-31,957.8457841093865
1995-04-28,1040.3583181193935
1995-05-31,1204.0859727660766
1995-06-30,1241.417486645377
1995-07-31,1219.9149163616084
1995-08-31,1155.4253762480864
1995-09-29,1123.8463347334978
1995-10-31,1085.5972321615939
1995-11-30,1019.9208245572128
1995-12-29,1080.8195070304482
1996-01-31,1054.988671318401
1996-02-29,1040.684812340895
1996-03-29,993.1640222843711
1996-04-30,1045.1114685386146
1996-05-31,1021.6607479445817
1996-06-28,1049.039844735723
1996-07-31,1038.5619992188372
1996-08-30,995.9222989993657
1996-09-30,1007.9014078380231
1996-10-31,982.2225703196636
1996-11-29,919.2126808881602
1996-12-31,877.1189359383479
1997-01-01,877.1309270968071
1997-01-02,880.4693800998823
1997-01-03,893.6868141683576
1997-01-06,910.3517649132604
1997-01-07,919.5794859861782
1997-01-08,930.5598720721347
1997-01-09,926.5358049715284
1997-01-10,924.3707164685892
1997-01-13,929.9277629289712
1997-01-14,942.8273079259001
1997-01-15,951.1806525915392
1997-01-16,945.3659616701204
1997-01-17,957.5950880614961
1997-01-20,965.037167050846
1997-01-21,960.4791266109415
1997-01-22,943.4391507037943
1997-01-23,956.1117484141564
1997-01-24,946.3433289415563
1997-01-27,935.4846937275996
1997-01-28,942.8855189672419
1997-01-29,944.1134301409637
1997-01-30,953.5556118565464
1997-01-31,955.1160816250062
1997-02-03,961.9557151772708
1997-02-04,960.51278505073
1997-02-05,961.2401067655524
1997-02-06,961.7791046234632
1997-02-07,986.1278993331046
1997-02-10,983.7901688443931
1997-02-11,978.1843436740829
1997-02-12,984.5828313367366
1997-02-13,995.0377985928995
1997-02-14,991.094824922623
1997-02-17,988.3798106875062
1997-02-18,993.702926969296
1997-02-19,995.0950646072977
1997-02-20,999.3305991588638
1997-02-21,997.9554613140156
1997-02-24,1003.1823637856129
1997-02-25,1019.3437757790941
1997-02-26,1020.7873103214154
1997-02-27,1013.3357199282669
1997-02-28,1003.6438303874993
1997-03-03,992.5413593726819
1997-03-04,989.8832744816995
1997-03-05,988.8140005438656
