Date,BRAZIL IMI VALUE WEIGHTED
1994-11-30,1000.0
1994-12-30,950.6640990377326
1995-01-31,876.1166952997645
1995-02-28,735.2979282639213
1995-03-31,630.3260988717602
1995-04-28,751.7652878332202
1995-05-31,757.5039615440811
1995-06-30,720.4316302043907
1995-07-31,752.2862076083002
1995-08-31,781.4463800580562
1995-09-29,807.4873834604663
1995-10-31,733.8260917703669
1995-11-30,714.0334978666606
1995-12-29,704.0323315679045
1996-01-31,818.2014090718238
1996-02-29,790.0453208288221
1996-03-29,783.4865784782511
1996-04-30,785.8945577767935
1996-05-31,831.0794720263002
1996-06-28,868.3329897820121
1996-07-31,856.9232269581668
1996-08-30,870.8582401941916
1996-09-30,867.5860248516833
1996-10-31,913.2126787761206
1996-11-29,933.770514220738
1996-12-31,982.2905291794589
1997-01-01,982.1492732175793
1997-01-02,976.4245584210571
1997-01-03,980.5393818006357
1997-01-06,991.8751547371907
1997-01-07,1008.8522474694907
1997-01-08,1017.9086734452555
1997-01-09,1019.0910925505274
1997-01-10,1020.9085156772722
1997-01-13,1017.1685054085801
1997-01-14,1040.8042820614078
1997-01-15,1045.4083092493702
1997-01-16,1050.1131231337547
1997-01-17,1066.9058204332307
1997-01-20,1073.3984120480177
1997-01-21,1085.8686782544937
1997-01-22,1080.7071903966246
1997-01-23,1089.8166090749392
1997-01-24,1075.6886181656994
1997-01-27,1074.2769393453598
1997-01-28,1081.21620970374
1997-01-29,1068.5452265485444
1997-01-30,1072.055989067211
1997-01-31,1095.6929874443924
1997-02-03,1116.1802777241164
1997-02-04,1115.6925774132603
1997-02-05,1125.400319142765
1997-02-06,1141.1070277783342
1997-02-07,1162.8674119788232
1997-02-10,1162.3002498450205
1997-02-11,1161.7767172651097
1997-02-12,1205.3713637827093
1997-02-13,1199.4321838601118
1997-02-14,1199.714380081232
1997-02-17,1204.5028754841942
1997-02-18,1215.8920700428798
1997-02-19,1201.4887632253487
1997-02-20,1191.823633903745
1997-02-21,1187.4020013260329
1997-02-24,1200.802612571481
1997-02-25,1218.7714344226206
1997-02-26,1207.364222040532
1997-02-27,1191.581510096957
1997-02-28,1195.4656950000547
1997-03-03,1193.941653894188
1997-03-04,1195.1325640499379
1997-03-05,1198.7534425315612
1997-03-06,1203.4898991525502
1997-03-07,1213.5191739528466
1997-03-10,1236.6956183271818
1997-03-11,1241.9010907723832
1997-03-12,1215.4702637943126
1997-03-13,1212.9192397627683
1997-03-14,1227.2822330165234
1997-03-17,1209.2129910139438
1997-03-18,1194.5475459824393
1997-03-19,1184.7479812294346
1997-03-20,1199.7383967249884
1997-03-21,1196.38902076748
1997-03-24,1197.7881161327582
1997-03-25,1201.6807131883459
1997-03-26,1195.0381723362848
1997-03-27,1195.036292683629
1997-03-28,1194.8407444475793
1997-03-31,1170.8682271379405
1997-04-01,1173.1337138884578
1997-04-02,1175.0067087440955
1997-04-03,1180.6163435085205
1997-04-04,1210.249381331974
1997-04-07,1229.7041345083342
1997-04-08,1223.0650132591309
1997-04-09,1231.9726804235006
1997-04-10,1223.4185933509157
1997-04-11,1205.9159369745119
1997-04-14,1191.769869359557
1997-04-15,1192.2907835062385
1997-04-16,1196.6319701941911
1997-04-17,1181.9903485404486
1997-04-18,1182.377452734296
1997-04-21,1182.5628899580174
1997-04-22,1190.2478127199095
1997-04-23,1202.800247592548
1997-04-24,1211.9445923099297
1997-04-25,1209.791175397281
1997-04-28,1215.8033712150618
1997-04-29,1226.8042393411342
1997-04-30,1242.1138899201628
1997-05-01,1241.8215567980737
1997-05-02,1251.6012493962498
1997-05-05,1240.0268706777683
1997-05-06,1248.1717701035586
1997-05-07,1243.9498026019335
1997-05-08,1256.698838344663
1997-05-09,1257.2342207289198
1997-05-12,1270.012852313695
1997-05-13,1271.3481498714805
1997-05-14,1236.9567648333402
1997-05-15,1248.8963235029742
1997-05-16,1253.0316765076057
1997-05-19,1256.3940239193719
1997-05-20,1267.793040913767
1997-05-21,1276.7743341455114
1997-05-22,1269.9432722181139
1997-05-23,1267.1336784238715
