Date,PERU IMI VALUE WEIGHTED
1995-05-31,1000.0
1995-06-30,1000.8070904661179
1995-07-31,1060.3663697430236
1995-08-31,1033.3431903255823
1995-09-29,972.8536376721092
1995-10-31,908.155189692741
1995-11-30,896.9864356418059
1995-12-29,911.4553097013061
1996-01-31,951.2992695395058
1996-02-29,952.1392128626197
1996-03-29,914.9726221295738
1996-04-30,976.6822687006786
1996-05-31,974.2672520907994
1996-06-28,1008.9450224570877
1996-07-31,1034.2287528018228
1996-08-30,1049.5514679993285
1996-09-30,1046.207788829249
1996-10-31,983.3860622020055
1996-11-29,959.9619318265414
1996-12-31,951.9303395156151
1997-01-01,951.9303395156151
1997-01-02,960.4989007378417
1997-01-03,982.2957337450216
1997-01-06,992.9579107236416
1997-01-07,1004.1691252018196
1997-01-08,1014.392666249959
1997-01-09,1010.0627327664944
1997-01-10,1012.3113931457209
1997-01-13,1011.7522506502576
1997-01-14,1037.5231034951883
1997-01-15,1034.8201213847428
1997-01-16,1024.4667134752408
1997-01-17,1042.0354729151259
1997-01-20,1038.0116062199593
1997-01-21,1032.667719750351
1997-01-22,1030.942038419969
1997-01-23,1037.0495582802425
1997-01-24,1036.4691386634197
1997-01-27,1028.2046766523888
1997-01-28,1025.6870733548817
1997-01-29,1024.7941714758617
1997-01-30,1026.1678797286413
1997-01-31,1031.1754770754242
1997-02-03,1031.7764725131524
1997-02-04,1051.9559773176716
1997-02-05,1058.5914921584358
1997-02-06,1051.5715606481435
1997-02-07,1042.832420313753
1997-02-10,1039.4263851149203
1997-02-11,1038.7701977132674
1997-02-12,1042.9633604353535
1997-02-13,1047.6743056630178
1997-02-14,1054.839868047814
1997-02-17,1054.8168970000058
1997-02-18,1053.154298550936
1997-02-19,1064.7227542697015
1997-02-20,1065.547706986767
1997-02-21,1066.8219193674122
1997-02-24,1068.5443037159832
1997-02-25,1091.384296757801
1997-02-26,1092.5267825564194
1997-02-27,1096.225527132401
1997-02-28,1098.040688315321
1997-03-03,1099.919107040583
1997-03-04,1102.6122114394116
1997-03-05,1107.2259219899959
1997-03-06,1108.585892028976
1997-03-07,1122.1877884266512
1997-03-10,1128.814755736377
1997-03-11,1135.8901542287815
1997-03-12,1128.7017086412911
1997-03-13,1112.861544687889
1997-03-14,1115.1563061918507
1997-03-17,1108.1787155043974
1997-03-18,1111.911187719728
1997-03-19,1106.337198174972
1997-03-20,1103.5878952768685
1997-03-21,1101.4696185172643
1997-03-24,1104.129619498019
1997-03-25,1109.8479091194154
1997-03-26,1116.2411397481455
1997-03-27,1116.2411397481455
1997-03-28,1116.2411397481455
1997-03-31,1126.741014505587
1997-04-01,1120.7376068173185
1997-04-02,1124.3053065483673
1997-04-03,1126.2313657131122
1997-04-04,1133.9763687186344
1997-04-07,1158.5886132459525
1997-04-08,1175.8503482487515
1997-04-09,1180.1456590175856
1997-04-10,1167.6373117358085
1997-04-11,1171.6277245413403
1997-04-14,1168.2960255685332
1997-04-15,1170.0778613486812
1997-04-16,1167.6693906499759
1997-04-17,1179.6440134644863
1997-04-18,1176.2308631636192
1997-04-21,1168.454958929174
1997-04-22,1168.0097436327787
1997-04-23,1176.7733290757642
1997-04-24,1171.6450417201836
1997-04-25,1173.0668424178964
1997-04-28,1181.353250274258
1997-04-29,1191.1758057478337
1997-04-30,1192.295637663309
1997-05-01,1192.295637663309
1997-05-02,1199.5482304309908
1997-05-05,1192.015982300434
1997-05-06,1192.9821767193366
1997-05-07,1185.8471328163973
1997-05-08,1187.015777951271
1997-05-09,1186.339111462756
1997-05-12,1207.1976033323115
1997-05-13,1214.9316346819553
1997-05-14,1213.5587188202958
1997-05-15,1204.055787420842
1997-05-16,1197.600128273545
