Date,TURKEY GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,100.74754702707762
2001-01-03,97.21018184012301
2001-01-04,110.48835691469083
2001-01-05,107.99247336838374
2001-01-08,112.30818835157102
2001-01-09,114.13839716224753
2001-01-10,120.88669295480074
2001-01-11,117.60550601437232
2001-01-12,116.12476857995274
2001-01-15,111.04334785933705
2001-01-16,109.07205891992072
2001-01-17,111.22729136742669
2001-01-18,114.04222426823912
2001-01-19,116.67035247958299
2001-01-22,114.28455329703512
2001-01-23,112.03177823052289
2001-01-24,112.12886348042659
2001-01-25,114.1599124116645
2001-01-26,111.49736953622691
2001-01-29,109.9477223644223
2001-01-30,108.32538038996054
2001-01-31,113.3545121441895
2001-02-01,112.96194442209078
2001-02-02,111.91363660372421
2001-02-05,107.60742126981017
2001-02-06,109.22096475932474
2001-02-07,103.25122328498827
2001-02-08,102.42743473144512
2001-02-09,102.05386759793446
2001-02-12,96.69310489309841
2001-02-13,99.7006220837374
2001-02-14,104.54414024780067
2001-02-15,103.68217486344349
2001-02-16,105.56879679341185
2001-02-19,90.57798214781812
2001-02-20,95.0817326632336
2001-02-21,78.17486515089469
2001-02-22,62.14566017365624
2001-02-23,54.870684514191
2001-02-26,68.06703272076045
2001-02-27,68.6219899983041
2001-02-28,70.9785465301493
2001-03-01,81.0004390248679
2001-03-02,80.49055204540998
2001-03-05,80.49055204540998
2001-03-06,80.49055204540998
2001-03-07,80.49055204540998
2001-03-08,80.49055204540998
2001-03-09,82.50842103819186
2001-03-12,70.97990332520955
2001-03-13,64.06714879472693
2001-03-14,59.389857173341746
2001-03-15,59.5885813452433
2001-03-16,62.013321663472446
2001-03-19,59.8748523667658
2001-03-20,64.65961264724726
2001-03-21,63.08693398444404
2001-03-22,61.35902844022969
2001-03-23,61.178879919665384
2001-03-26,61.366601040513046
2001-03-27,58.482303944808386
2001-03-28,54.890053105071594
2001-03-29,47.650338211074846
2001-03-30,54.035753233265176
2001-04-02,50.06379384827035
2001-04-03,46.43193729912237
2001-04-04,46.7205764224911
2001-04-05,50.26392411814329
2001-04-06,48.66707972739509
2001-04-09,47.97358782103604
2001-04-10,47.192019497901455
2001-04-11,48.55565874051181
2001-04-12,50.80372157054333
2001-04-13,50.95217047029197
2001-04-16,57.11977579015057
2001-04-17,52.52285737902241
2001-04-18,51.97201800486601
2001-04-19,55.30739158766835
2001-04-20,55.430160233394666
2001-04-23,55.4972669649121
2001-04-24,57.64274308212814
2001-04-25,60.26094383560172
2001-04-26,65.84708155792487
2001-04-27,81.78905970315026
2001-04-30,78.64872511783554
2001-05-01,77.8512052519714
2001-05-02,75.59760867376968
2001-05-03,78.97954171548211
2001-05-04,80.51986043662976
2001-05-07,77.98540220297852
2001-05-08,80.87658734409135
2001-05-09,77.11528588393882
2001-05-10,77.83402428850727
2001-05-11,75.20206353139365
2001-05-14,75.15413450053795
2001-05-15,74.4079321535509
2001-05-16,79.42269586890275
2001-05-17,80.53248341313747
2001-05-18,84.65150079908283
2001-05-21,83.77711142773579
2001-05-22,83.97970529217932
2001-05-23,78.68881805941778
2001-05-24,72.64962530056758
2001-05-25,75.49042953759738
2001-05-28,71.93069698727862
2001-05-29,70.22567830272195
2001-05-30,66.55299454302128
2001-05-31,68.79778272309262
2001-06-01,71.40746219510451
2001-06-04,74.68541025073715
2001-06-05,70.57426226952927
2001-06-06,73.06777805313001
2001-06-07,74.15364312898828
2001-06-08,73.76454123024092
2001-06-11,68.65886386775864
2001-06-12,67.00428364471396
2001-06-13,63.72011575684334
2001-06-14,68.45078629902079
2001-06-15,69.3494063539053
2001-06-18,63.66653105210778
2001-06-19,60.0922559039996
2001-06-20,59.13774358762638
2001-06-21,58.983330970276675
2001-06-22,60.03644296349078
2001-06-25,57.055079826011735
2001-06-26,59.074748245978064
2001-06-27,60.374344275242855
2001-06-28,60.95923286398891
2001-06-29,61.65505624453711
2001-07-02,61.09416491115897
2001-07-03,59.99153558105375
2001-07-04,59.35395505226021
2001-07-05,59.93936174848003
2001-07-06,52.17786307509694
2001-07-09,52.52639088350407
2001-07-10,49.59768686269294
2001-07-11,43.47379887281195
2001-07-12,47.204822872890716
2001-07-13,46.86137741629846
2001-07-16,47.1666167908761
2001-07-17,44.06075453290112
2001-07-18,48.78770742585936
2001-07-19,52.68382998715342
2001-07-20,52.436874078154254
2001-07-23,53.73391679444935
2001-07-24,52.76784666691104
2001-07-25,50.200167086748074
2001-07-26,52.70948255629189
2001-07-27,51.06636840014165
2001-07-30,51.64420481557182
2001-07-31,51.80663658668328
2001-08-01,53.72774729929256
2001-08-02,52.50514716060624
2001-08-03,52.574696401958654
2001-08-06,50.91480125811128
2001-08-07,49.61870599416229
2001-08-08,49.191522345471896
2001-08-09,47.74330294002365
2001-08-10,47.93540299011935
2001-08-13,45.54679713150858
2001-08-14,43.83403237611683
2001-08-15,43.76370441905499
2001-08-16,45.76597598730507
2001-08-17,47.13842490709204
2001-08-20,46.92565400544755
2001-08-21,45.94847508728501
2001-08-22,45.35974750303601
2001-08-23,45.82293739110147
2001-08-24,46.18616724302716
2001-08-27,48.04042144497172
2001-08-28,49.49920617381812
2001-08-29,48.43901347009658
2001-08-30,48.43901347009658
2001-08-31,48.248861720048914
2001-09-03,46.06944144297126
2001-09-04,45.2759217629024
2001-09-05,46.026651586020606
2001-09-06,47.479300618523226
2001-09-07,46.12902810277226
2001-09-10,45.00555233248983
2001-09-11,42.02300184214356
2001-09-12,43.611500193564794
2001-09-13,38.372459581499996
2001-09-14,35.78022503420505
