Date,INDONESIA GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,100.10393937566167
2001-01-03,96.95386769618666
2001-01-04,100.86965814641903
2001-01-05,105.16544702107821
2001-01-08,105.69067774906567
2001-01-09,105.44290327975068
2001-01-10,107.19851284381205
2001-01-11,104.04335483181048
2001-01-12,103.74761886249772
2001-01-15,106.87307634619998
2001-01-16,108.29646622954819
2001-01-17,108.64223359816754
2001-01-18,110.61256244312357
2001-01-19,109.56267820243565
2001-01-22,113.23767143517433
2001-01-23,111.90018026103503
2001-01-24,112.60372150867586
2001-01-25,112.18910511963284
2001-01-26,111.52745472775923
2001-01-29,109.99100604506884
2001-01-30,110.95009456403083
2001-01-31,115.60781592463535
2001-02-01,117.38401617637561
2001-02-02,128.5848605339053
2001-02-05,132.49788374773442
2001-02-06,128.98535919075147
2001-02-07,126.00401509488194
2001-02-08,126.30308012325098
2001-02-09,121.11030814969585
2001-02-12,120.72228317439142
2001-02-13,120.04794180617058
2001-02-14,119.38705861811313
2001-02-15,129.39863109110357
2001-02-16,123.62980251181241
2001-02-19,125.4976090739497
2001-02-20,125.70890508293493
2001-02-21,129.55787305857422
2001-02-22,128.67935113445873
2001-02-23,127.79015766834009
2001-02-26,122.37197350895289
2001-02-27,122.11042738901895
2001-02-28,119.5172277818621
2001-03-01,117.23602345190012
2001-03-02,117.71404561669031
2001-03-05,117.8931237793932
2001-03-06,118.41223462351712
2001-03-07,117.65944957292075
2001-03-08,116.77211813521701
2001-03-09,111.21731898763943
2001-03-12,102.16198453187278
2001-03-13,99.75665127811845
2001-03-14,102.62159026954559
2001-03-15,103.9673783964061
2001-03-16,99.29899720203207
2001-03-19,95.66249303253186
2001-03-20,94.58061041523482
2001-03-21,97.04501814602027
2001-03-22,95.88622551215431
2001-03-23,99.0640364785245
2001-03-26,98.92115565668043
2001-03-27,98.13218396286385
2001-03-28,100.89167563421842
2001-03-29,102.2705757290146
2001-03-30,101.69579299773234
2001-04-02,100.26032746191024
2001-04-03,98.81687604189952
2001-04-04,95.7370591842767
2001-04-05,92.73396049597994
2001-04-06,92.43855621289667
2001-04-09,91.43166370002558
2001-04-10,94.32247188026591
2001-04-11,93.61127500974656
2001-04-12,94.29291851693097
2001-04-13,94.29291851693097
2001-04-16,91.58536880141043
2001-04-17,90.35226228714099
2001-04-18,87.7504029614052
2001-04-19,84.3142578793453
2001-04-20,77.61748094122578
2001-04-23,76.85501072501668
2001-04-24,77.49069849480732
2001-04-25,77.79058972362094
2001-04-26,77.54505775494357
2001-04-27,79.75233012035723
2001-04-30,82.67076945745796
2001-05-01,86.64076395417378
2001-05-02,86.57700993159744
2001-05-03,90.45945527384922
2001-05-04,93.18969100815039
2001-05-07,93.18969100815039
