Date,BRAZIL GROWTH
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,101.0146020428675
2001-01-03,106.65783796902596
2001-01-04,106.92106553874711
2001-01-05,105.54227010265829
2001-01-08,104.25147451821239
2001-01-09,106.89347284961084
2001-01-10,106.14900248927698
2001-01-11,105.48866291632748
2001-01-12,105.155542218007
2001-01-15,105.95162568733825
2001-01-16,106.3008040451577
2001-01-17,108.1609464693417
2001-01-18,110.40650183470852
2001-01-19,111.20293969864842
2001-01-22,110.02075156907232
2001-01-23,111.6240576686461
2001-01-24,110.46989280363898
2001-01-25,109.71535521049493
2001-01-26,108.88498435529809
2001-01-29,109.6761095063033
2001-01-30,109.55750989253644
2001-01-31,109.68172295134853
2001-02-01,107.6574945758692
2001-02-02,105.97959803312722
2001-02-05,105.17817559547808
2001-02-06,106.51241408455232
2001-02-07,105.22157616681629
2001-02-08,107.03912763020676
2001-02-09,106.30754480953412
2001-02-12,105.75410840739968
2001-02-13,107.3044924239171
2001-02-14,107.83557036402755
2001-02-15,107.50130520635251
2001-02-16,103.62734925820354
2001-02-19,102.37894430870757
2001-02-20,102.53836022074046
2001-02-21,100.05081180878938
2001-02-22,99.71793547792483
2001-02-23,100.05191754925782
2001-02-26,100.84108722181793
2001-02-27,100.64262997759295
2001-02-28,99.6053045439682
2001-03-01,100.92618267336562
2001-03-02,102.67916338711132
2001-03-05,102.92180135210478
2001-03-06,102.71866687100143
2001-03-07,102.49031990280724
2001-03-08,102.86168676698301
2001-03-09,102.07340785684356
2001-03-12,97.45017333683785
2001-03-13,97.86505203550325
2001-03-14,95.86184346022235
2001-03-15,92.89708028783605
2001-03-16,92.16583380947912
2001-03-19,88.95676787252539
2001-03-20,91.96096161766592
2001-03-21,92.45080919645724
2001-03-22,86.69136727894107
2001-03-23,86.41985398112642
2001-03-26,88.32017295069762
2001-03-27,90.66523975877394
2001-03-28,89.65870731814076
2001-03-29,87.20976058547264
2001-03-30,86.69902790117834
2001-04-02,84.50648064591294
2001-04-03,83.0861812949259
2001-04-04,84.50388396498177
2001-04-05,87.5198148902782
2001-04-06,90.77337676263134
2001-04-09,90.55221670008618
2001-04-10,93.33283788995709
2001-04-11,92.22848762937582
2001-04-12,91.71473663335416
2001-04-13,91.71473663335416
2001-04-16,89.08726419466629
2001-04-17,88.82352979897146
2001-04-18,92.07644621899782
2001-04-19,89.69364819649175
2001-04-20,84.35198213035149
2001-04-23,85.06449103554856
2001-04-24,86.83487073242473
2001-04-25,87.10436194207547
2001-04-26,90.64023393968834
2001-04-27,93.63400844182033
2001-04-30,95.64077834211952
2001-05-01,94.83707432243784
2001-05-02,93.97780660056902
2001-05-03,94.00422450267916
2001-05-04,95.02059391013658
2001-05-07,94.42487328806561
2001-05-08,92.43640508105618
2001-05-09,93.00801077043148
2001-05-10,94.54044722097228
2001-05-11,92.93485907159955
2001-05-14,91.29661982414143
2001-05-15,89.78255869130136
2001-05-16,92.00363455624128
2001-05-17,93.75094323978102
2001-05-18,94.60331670713747
2001-05-21,95.09074718810517
2001-05-22,96.31867546924343
2001-05-23,95.01502130316236
2001-05-24,93.43799575827916
2001-05-25,91.62469365747845
2001-05-28,92.86110916185582
2001-05-29,93.1292650740725
2001-05-30,92.62835580827874
2001-05-31,94.03279747758525
2001-06-01,96.24205921723338
2001-06-04,96.80225557487698
2001-06-05,94.20800469876681
2001-06-06,92.74271570534836
2001-06-07,92.04714555596462
2001-06-08,91.50921575942009
2001-06-11,91.16574779972422
2001-06-12,90.42022051046295
2001-06-13,90.59439196503185
2001-06-14,90.05235826026889
2001-06-15,88.28987091020618
2001-06-18,84.46962811647505
2001-06-19,84.63434633366128
2001-06-20,86.00562855646484
2001-06-21,87.72081674708393
2001-06-22,89.87032329377391
2001-06-25,90.71160348499693
2001-06-26,90.14658430352193
2001-06-27,88.24594820979196
2001-06-28,90.23245989153561
2001-06-29,90.71215422152032
2001-07-02,90.01323902682216
2001-07-03,87.73898145197646
2001-07-04,84.99494808054132
2001-07-05,84.10864249581309
2001-07-06,81.0203381533298
2001-07-09,82.68951021326596
2001-07-10,80.35038132333958
2001-07-11,79.48306352105872
2001-07-12,80.09265748094532
2001-07-13,80.49114967958842
2001-07-16,77.19596934320543
2001-07-17,79.86319734260101
2001-07-18,80.51369503655532
2001-07-19,79.8098104097062
2001-07-20,82.34940642013183
2001-07-23,84.66495339788597
2001-07-24,83.71278468254823
2001-07-25,81.96881693694297
2001-07-26,81.19504317920929
2001-07-27,81.3328412970443
2001-07-30,83.07417941608757
2001-07-31,84.11379551694237
2001-08-01,81.23005490992664
2001-08-02,80.8668937011486
2001-08-03,81.62625508445711
2001-08-06,83.41281429444356
2001-08-07,84.39695662071904
2001-08-08,83.41107080024202
2001-08-09,83.54910435168712
2001-08-10,83.31518410752305
2001-08-13,82.67849626758384
2001-08-14,82.1226853399379
2001-08-15,81.81126680220358
2001-08-16,81.41621612717842
2001-08-17,77.66694052256335
2001-08-20,77.21315857919798
2001-08-21,76.95527839911068
2001-08-22,77.7366051321626
2001-08-23,77.25226897674098
2001-08-24,78.56684531281259
2001-08-27,78.28759434609549
2001-08-28,78.04793396799707
2001-08-29,78.55314363948679
2001-08-30,77.56133994641034
2001-08-31,76.92220235878185
2001-09-03,76.41233312742413
2001-09-04,77.16471321300804
2001-09-05,76.8659531120253
2001-09-06,73.90892846101981
2001-09-07,74.20942942862514
2001-09-10,72.26808279681181
2001-09-11,66.97277880963107
2001-09-12,68.27398849415714
2001-09-13,61.76461188562536
2001-09-14,61.0877157021979
