Date,MALAYSIA GROWTH
2000-12-29,100.00000000000001
2001-01-01,100.00000000000001
2001-01-02,98.78930877760266
2001-01-03,97.17472764792645
2001-01-04,98.0532303754112
2001-01-05,98.92201813116272
2001-01-08,98.71791533164986
2001-01-09,98.95290381182694
2001-01-10,99.49423518507797
2001-01-11,98.5735961047712
2001-01-12,98.74890527291873
2001-01-15,100.0633226789442
2001-01-16,99.7617785028936
2001-01-17,100.06538326849933
2001-01-18,101.22491622878617
2001-01-19,102.09717041433227
2001-01-22,104.5164683966231
2001-01-23,104.5164683966231
2001-01-24,104.5164683966231
2001-01-25,104.5164683966231
2001-01-26,104.76059598605994
2001-01-29,105.58550584186479
2001-01-30,105.83418682849455
2001-01-31,106.60079256681209
2001-02-01,106.60079256681209
2001-02-02,108.58479294323332
2001-02-05,108.23094190242699
2001-02-06,108.72110769874705
2001-02-07,107.94591633061346
2001-02-08,106.96527669848155
2001-02-09,107.81200310289339
2001-02-12,108.17967553671762
2001-02-13,106.71437229160489
2001-02-14,106.49794831297811
2001-02-15,105.39362518208101
2001-02-16,106.17781878801881
2001-02-19,106.73099392081771
2001-02-20,106.97522092484563
2001-02-21,105.76109102578395
2001-02-22,105.58045193232583
2001-02-23,105.61965533208665
2001-02-26,105.8015930630435
2001-02-27,105.96435299594289
2001-02-28,106.32830567627028
2001-03-01,104.74377744994871
2001-03-02,105.88278944752044
2001-03-05,106.41025661330059
2001-03-06,106.41025661330059
2001-03-07,105.01522248258706
2001-03-08,104.08153707773108
2001-03-09,104.643255783437
2001-03-12,104.2540503737664
2001-03-13,102.96764971078838
2001-03-14,103.05249017033731
2001-03-15,101.90985162378307
2001-03-16,101.47072817507198
2001-03-19,100.76977899926226
2001-03-20,98.28996416149624
2001-03-21,102.13528522117777
2001-03-22,101.16839446235558
2001-03-23,101.11167078854434
2001-03-26,101.11167078854434
2001-03-27,99.43582478080003
2001-03-28,99.37744212951371
2001-03-29,97.83472801021783
2001-03-30,97.88424790515091
2001-04-02,98.34949493820068
2001-04-03,93.82155200066518
2001-04-04,84.96700593671031
2001-04-05,84.3612471278185
2001-04-06,80.58312742469792
2001-04-09,76.67753830439133
2001-04-10,77.58592654001941
2001-04-11,79.67279043232317
2001-04-12,78.94948068098631
2001-04-13,80.88542684027661
2001-04-16,81.3590788600552
2001-04-17,80.1013196612131
2001-04-18,78.94913463088147
2001-04-19,78.21151795452334
2001-04-20,78.75937140788086
2001-04-23,78.62194641203722
