Date,TAIWAN GROWTH
2000-12-29,100.0
2001-01-01,98.38649088503558
2001-01-02,103.61613244033656
2001-01-03,100.55059611833877
2001-01-04,106.29180249219101
2001-01-05,111.38330728871938
2001-01-08,109.5629359734771
2001-01-09,115.21705997933552
2001-01-10,115.71853353243183
2001-01-11,113.86695767088759
2001-01-12,114.5077763330427
2001-01-15,115.30077076159398
2001-01-16,122.09937650524765
2001-01-17,124.5408335094754
2001-01-18,125.43385153594429
2001-01-19,125.57050649158414
2001-01-22,125.64762640958914
2001-01-23,125.60905461330069
2001-01-24,125.60905461330069
2001-01-25,125.70552854157515
2001-01-26,125.70552854157515
2001-01-29,120.14539517771009
2001-01-30,125.11072074942376
2001-01-31,130.24464396833594
2001-02-01,126.80739517988656
2001-02-02,127.75063038095251
2001-02-05,123.71912540006842
2001-02-06,123.10065195146142
2001-02-07,117.96739861567859
2001-02-08,118.80494379565657
2001-02-09,119.96723231698405
2001-02-12,120.96875478137305
2001-02-13,127.05060807581215
2001-02-14,122.63768080327863
2001-02-15,129.32692787910514
2001-02-16,128.52594245770294
2001-02-19,126.18444284728446
2001-02-20,126.49439966536976
2001-02-21,127.44627657947673
2001-02-22,121.50426976513762
2001-02-23,119.00836026419309
2001-02-26,118.09487384630583
2001-02-27,117.80846218254295
2001-02-28,117.80846218254295
2001-03-01,112.43164401176303
2001-03-02,112.06702007543477
2001-03-05,114.43835745578664
2001-03-06,116.35727022962672
2001-03-07,121.01587536875535
2001-03-08,118.64017515309753
2001-03-09,116.9379598058425
2001-03-12,114.29371789480702
2001-03-13,115.7154366064913
2001-03-14,117.4708969420437
2001-03-15,119.76777016239969
2001-03-16,118.67237022424796
2001-03-19,115.45008552544189
2001-03-20,115.07287331199255
2001-03-21,114.06232113021079
2001-03-22,116.39224844812232
2001-03-23,118.98535009335932
2001-03-26,119.65872840295715
2001-03-27,119.66794616750208
2001-03-28,117.78264828051412
2001-03-29,116.97622739887923
2001-03-30,116.58610617407872
2001-04-02,112.39798790763602
2001-04-03,109.18697388070322
2001-04-04,106.94969270738585
2001-04-05,107.28960277088713
2001-04-06,109.87666227362176
2001-04-09,106.94126859302753
2001-04-10,105.31760440220908
2001-04-11,108.46590226871888
2001-04-12,111.05570194666598
2001-04-13,109.44092720456332
2001-04-16,108.28556106945082
2001-04-17,108.17364736971098
2001-04-18,110.4698530571766
2001-04-19,116.07964237403114
2001-04-20,115.43926808160371
2001-04-23,114.97974037692568
2001-04-24,113.63093937129128
2001-04-25,111.46595365649678
2001-04-26,112.50581599037369
2001-04-27,110.13686348062232
2001-04-30,112.58996360276623
2001-05-01,112.67040945696702
2001-05-02,115.03561284876969
2001-05-03,116.2674568980597
2001-05-04,112.37696599723017
2001-05-07,113.77164240599375
2001-05-08,113.83694389389547
2001-05-09,114.54146670574241
