Date,EM ASIA IMI VALUE
1998-12-31,415.7240012206769
1999-01-01,415.7240012206769
1999-01-04,422.2355527256761
1999-01-05,427.49569826943133
1999-01-06,437.7919131902679
1999-01-07,456.4588895332011
1999-01-08,456.42967190530374
1999-01-11,459.69965127069383
1999-01-12,452.1048610277781
1999-01-13,437.5768145084424
1999-01-14,424.818848445194
1999-01-15,432.4995341154144
1999-01-18,436.38178925125635
1999-01-19,434.4900634829754
1999-01-20,438.27589910700794
1999-01-21,431.1397918080153
1999-01-22,416.1655495904092
1999-01-25,405.11282225838016
1999-01-26,408.10935624610454
1999-01-27,421.37638205821145
1999-01-28,421.66245882416223
1999-01-29,420.4998024942779
1999-02-01,420.74425096871136
1999-02-02,411.6118761832197
1999-02-03,409.00237621245867
1999-02-04,401.4807718951324
1999-02-05,396.4005049536064
1999-02-08,402.8968260537547
1999-02-09,392.81955582367
1999-02-10,395.34203729960797
1999-02-11,396.80372750781856
1999-02-12,408.2347428904435
1999-02-15,409.53135017115835
1999-02-16,412.74306899823415
1999-02-17,409.7203942983878
1999-02-18,406.01288430495174
1999-02-19,404.0634114166226
1999-02-22,411.8927485255369
1999-02-23,413.03924148693807
1999-02-24,413.68109640514035
1999-02-25,410.7601347299927
1999-02-26,418.74432156181854
1999-03-01,423.2610560095596
1999-03-02,426.7110377304587
1999-03-03,432.99932026420555
1999-03-04,431.73280285226144
1999-03-05,432.25534700728247
1999-03-08,441.3011368172374
1999-03-09,441.91766168958236
1999-03-10,437.9043303778987
1999-03-11,441.85920639577944
1999-03-12,439.8558153234017
1999-03-15,445.78704395302464
1999-03-16,450.5010331997512
1999-03-17,447.3370186358216
1999-03-18,446.9105434396027
1999-03-19,461.0270914889137
1999-03-22,464.3037540195468
1999-03-23,465.4543988810258
1999-03-24,459.88627296178714
1999-03-25,463.44714254566173
1999-03-26,469.52796090348414
1999-03-29,465.26849062827347
1999-03-30,469.80063627189736
1999-03-31,468.37565686089727
1999-04-01,475.453110256318
1999-04-02,486.71097692639484
1999-04-05,484.49391191439076
1999-04-06,486.35408568009234
1999-04-07,488.04604112263195
1999-04-08,490.3992084306287
1999-04-09,491.5834032925254
1999-04-12,485.70769634836574
1999-04-13,491.0241152897471
1999-04-14,494.45789872188874
1999-04-15,510.17583525390603
1999-04-16,525.7677902836932
1999-04-19,549.0996928395228
1999-04-20,550.3173055569933
1999-04-21,540.857517956445
1999-04-22,539.7972604583608
1999-04-23,544.518899300083
1999-04-26,552.0553814574723
1999-04-27,553.0462035773166
1999-04-28,552.6860501742657
1999-04-29,546.8602753971742
1999-04-30,553.0224512377384
1999-05-03,559.6918921444347
1999-05-04,580.0463145044736
1999-05-05,578.1266851721531
1999-05-06,586.0856067759584
1999-05-07,582.1387480936202
1999-05-10,586.7506934925769
1999-05-11,585.9993569904119
1999-05-12,580.0898595600581
1999-05-13,574.8820021190456
1999-05-14,578.1260873495098
1999-05-17,574.9236163914452
1999-05-18,581.6006937785318
1999-05-19,584.170560095177
1999-05-20,577.3405207505401
1999-05-21,576.8461719098741
1999-05-24,571.6440880007262
1999-05-25,565.5484500907959
1999-05-26,572.4669554058231
1999-05-27,574.7121178982343
1999-05-28,566.8923519750952
1999-05-31,573.0194351221467
1999-06-01,577.5864236434334
1999-06-02,591.2276026473003
1999-06-03,597.8829886881423
1999-06-04,609.1302014649825
