Date,EM GCC COUNTRIES IMI VALUE
2014-06-02,983.9275085328261
2014-06-03,963.5218015406549
2014-06-04,946.5286896467265
2014-06-05,958.1500249178882
2014-06-06,956.4523431879743
2014-06-09,933.1181925075864
2014-06-10,933.8625187640313
2014-06-11,929.0491204038673
2014-06-12,934.8303283905456
2014-06-13,936.4138982428822
2014-06-16,894.1179402547415
2014-06-17,876.6115768284509
2014-06-18,884.1446451381753
2014-06-19,885.3350651324928
2014-06-20,889.0197493931087
2014-06-23,878.9119575347398
2014-06-24,855.6442318914021
2014-06-25,853.5446921822589
2014-06-26,853.4185841503653
2014-06-27,850.222104233713
2014-06-30,821.0098543393987
2014-07-01,847.0702920495783
2014-07-02,885.086126840053
2014-07-03,879.3512443225438
2014-07-04,880.7155085756842
2014-07-07,895.3119118295672
2014-07-08,895.4199764941284
2014-07-09,902.2754009038534
2014-07-10,918.096411938056
2014-07-11,918.2314360445255
2014-07-14,919.3749059397051
2014-07-15,929.7287848534974
2014-07-16,940.412278444361
2014-07-17,949.7688867859657
2014-07-18,950.3664688976411
2014-07-21,929.7665384013616
2014-07-22,936.7662708247127
2014-07-23,930.0198494512827
2014-07-24,920.4615141595199
2014-07-25,922.9283208676078
2014-07-28,927.0740737214244
2014-07-29,929.0609988684081
2014-07-30,931.3179396661973
2014-07-31,942.1753352578137
2014-08-01,938.7375073162223
2014-08-04,936.0687504663529
2014-08-05,946.7650470693522
2014-08-06,937.0461273594844
2014-08-07,937.8302280927832
2014-08-08,933.4257922681275
2014-08-11,946.2050749911965
2014-08-12,952.4781344779017
2014-08-13,958.0037749865404
2014-08-14,962.1712299696458
2014-08-15,961.9733963329749
2014-08-18,962.8438154503738
2014-08-19,968.685362744479
2014-08-20,971.6275031852485
2014-08-21,974.6857367318846
2014-08-22,978.596938156538
2014-08-25,979.1699793256934
2014-08-26,985.812483985429
2014-08-27,986.6428250377156
2014-08-28,956.0476525219829
2014-08-29,956.3190755568955
2014-09-01,987.9924781800134
2014-09-02,990.3664623444633
2014-09-03,1002.1588230225522
2014-09-04,1015.4641930977843
2014-09-05,1016.0910954047475
