Date,EM LATIN AMERICA ex BRAZIL IMI VALUE
2013-09-05,5846.322244358696
2013-09-06,5933.351051895789
2013-09-09,6018.006918302836
2013-09-10,6109.965304117084
2013-09-11,6107.470613679784
2013-09-12,6004.701464896627
2013-09-13,6035.450830129013
2013-09-16,6051.4537599103305
2013-09-17,6060.09577544315
2013-09-18,6125.248024346683
2013-09-19,6099.9090985451985
2013-09-20,6038.055938767166
2013-09-23,6118.027417588135
2013-09-24,6044.882050049488
2013-09-25,6038.635645953616
2013-09-26,5991.068425774806
2013-09-27,5882.482605434512
2013-09-30,5792.054362672974
2013-10-01,5929.135637194702
2013-10-02,5879.717328352874
2013-10-03,5793.845568459924
2013-10-04,5847.345791879646
2013-10-07,5835.401009777033
2013-10-08,5768.650361551155
2013-10-09,5758.6362274154
2013-10-10,5882.67480877388
2013-10-11,5918.51982548374
2013-10-14,5914.891087188025
2013-10-15,5918.839836440424
2013-10-16,5972.666071449242
2013-10-17,5909.584103930558
2013-10-18,5920.753760259163
2013-10-21,5879.350434089497
2013-10-22,5916.272958426143
2013-10-23,5864.534241885417
2013-10-24,5820.459483104309
2013-10-25,5889.64580312209
2013-10-28,5913.501569709527
2013-10-29,5912.81690015698
2013-10-30,5912.9390884251325
2013-10-31,5937.728993200169
2013-11-01,5959.952478185011
2013-11-04,5972.494874249658
2013-11-05,5866.247428627731
2013-11-06,5851.272292497919
2013-11-07,5852.9213710040885
2013-11-08,5761.411809582698
2013-11-11,5722.7389877718515
2013-11-12,5677.936365459535
2013-11-13,5718.502004232213
2013-11-14,5785.817771157565
2013-11-15,5872.629684629023
2013-11-18,5887.168472206759
2013-11-19,5833.290191889248
2013-11-20,5826.594812394785
2013-11-21,5780.787200084818
2013-11-22,5790.257958985547
2013-11-25,5756.029357929972
2013-11-26,5685.051353420287
2013-11-27,5763.31663892465
2013-11-28,5787.905816343042
2013-11-29,5813.283234029236
2013-12-02,5761.274525562979
2013-12-03,5693.092512546951
2013-12-04,5760.539268747213
2013-12-05,5750.001907646129
2013-12-06,5766.230531243578
2013-12-09,5829.025144044325
2013-12-10,5834.085381631542
2013-12-11,5752.3049149829885
2013-12-12,5725.8931692988435
2013-12-13,5747.712958959587
2013-12-16,5752.5098992704
2013-12-17,5734.0817385534365
2013-12-18,5742.158609911095
2013-12-19,5797.526037575893
2013-12-20,5823.928539289693
2013-12-23,5829.055168813362
2013-12-24,5855.145437285334
2013-12-25,5855.145437285334
2013-12-26,5831.702365269797
2013-12-27,5838.158228398198
2013-12-30,5832.696582344514
2013-12-31,5819.198926455504
2014-01-01,5819.198926455504
2014-01-02,5823.446231317747
2014-01-03,5823.413523076033
2014-01-06,5753.839536975815
2014-01-07,5780.347286758798
2014-01-08,5748.735758542214
2014-01-09,5723.703454668537
2014-01-10,5798.641122508423
2014-01-13,5795.539948096795
2014-01-14,5792.710747029556
2014-01-15,5818.850225710283
2014-01-16,5744.282989909109
2014-01-17,5759.465495646884
2014-01-20,5758.1896429832195
2014-01-21,5721.601585645723
2014-01-22,5760.497428404868
2014-01-23,5617.2993242607745
2014-01-24,5482.887627058386
2014-01-27,5457.469101554163
2014-01-28,5470.378451199639
2014-01-29,5429.356398160277
2014-01-30,5516.736703892527
2014-01-31,5524.600792194141
2014-02-03,5460.93948723213
2014-02-04,5404.948079499182
2014-02-05,5386.491345058947
2014-02-06,5478.168766345983
2014-02-07,5482.114913797626
2014-02-10,5439.259028332695
2014-02-11,5526.472525358251
2014-02-12,5591.254771942694
2014-02-13,5543.140929374273
2014-02-14,5617.529045738569
2014-02-17,5634.615990468247
2014-02-18,5565.656283455783
2014-02-19,5523.130728145758
2014-02-20,5477.2225849771485
2014-02-21,5461.163505893381
2014-02-24,5499.037304309121
2014-02-25,5395.227652280599
2014-02-26,5374.205450538562
2014-02-27,5386.877547187705
2014-02-28,5359.795561425767
2014-03-03,5292.904715248041
2014-03-04,5377.558842661557
2014-03-05,5382.091080487906
2014-03-06,5411.786780986071
2014-03-07,5329.051174101289
2014-03-10,5254.578701413541
2014-03-11,5259.913938282427
2014-03-12,5225.664568235313
2014-03-13,5178.954493732929
2014-03-14,5165.717250745662
2014-03-17,5182.281231261854
2014-03-18,5288.035553518914
2014-03-19,5275.792460516186
2014-03-20,5400.657338594254
2014-03-21,5472.330300559932
2014-03-24,5463.419178171876
2014-03-25,5520.1696372997985
2014-03-26,5493.2829716244605
2014-03-27,5585.346812569659
2014-03-28,5610.220195758573
2014-03-31,5650.674359689372
2014-04-01,5660.960168754509
2014-04-02,5711.375297149675
2014-04-03,5685.932666440333
2014-04-04,5733.347914639018
2014-04-07,5719.370822301378
2014-04-08,5766.7156971887935
2014-04-09,5725.280592037808
2014-04-10,5681.273167096633
2014-04-11,5655.213114054626
2014-04-14,5703.819490255655
2014-04-15,5660.765589739075
2014-04-16,5714.184257012548
2014-04-17,5704.699555681406
2014-04-18,5704.699555681406
2014-04-21,5681.94302357524
2014-04-22,5658.218411799623
2014-04-23,5612.630828338476
2014-04-24,5618.50990843652
2014-04-25,5571.7380077874905
2014-04-28,5570.324834965663
2014-04-29,5657.899621692775
2014-04-30,5665.647063538874
2014-05-01,5660.1450941075
2014-05-02,5725.652119365497
2014-05-05,5701.784894959511
2014-05-06,5695.232976102969
2014-05-07,5751.928199575693
2014-05-08,5809.216802908603
2014-05-09,5828.049723605995
2014-05-12,5910.954229190052
2014-05-13,5970.648265593917
2014-05-14,5979.691958030343
2014-05-15,5894.047282352156
2014-05-16,5962.480531011815
2014-05-19,5952.580416036451
2014-05-20,5910.298826003138
2014-05-21,5951.4658451972755
2014-05-22,5979.313218269607
2014-05-23,6005.074751273659
2014-05-26,6001.788175860495
2014-05-27,5987.839696342246
2014-05-28,6001.015598846265
2014-05-29,6029.426880970021
2014-05-30,5908.996018220002
2014-06-02,5969.282637433723
2014-06-03,5990.01272180242
2014-06-04,5963.246939781481
2014-06-05,6018.549756432296
2014-06-06,6059.238783930399
2014-06-09,6068.947838312993
2014-06-10,6093.412574149224
2014-06-11,6092.334981190614
2014-06-12,6070.808678603331
2014-06-13,6044.667895733373
2014-06-16,6022.917064337769
2014-06-17,5991.182333608658
2014-06-18,6024.936891066301
2014-06-19,6059.867510157211
2014-06-20,6055.588250663673
2014-06-23,6071.768815576602
2014-06-24,6074.614634239524
2014-06-25,6064.103546262362
2014-06-26,6047.840713898733
2014-06-27,6034.012729892717
2014-06-30,6041.881730327122
2014-07-01,6065.200034855267
2014-07-02,6118.469930666626
2014-07-03,6170.250039257657
2014-07-04,6182.461259197058
2014-07-07,6167.837997255442
2014-07-08,6163.402474364985
2014-07-09,6201.279392406023
2014-07-10,6182.0351204275075
2014-07-11,6196.928700818707
2014-07-14,6212.742205153969
2014-07-15,6225.094329131222
2014-07-16,6274.080825506519
2014-07-17,6253.5062242540125
2014-07-18,6274.239659572232
2014-07-21,6259.437589719994
2014-07-22,6325.639011721907
2014-07-23,6336.595621374472
2014-07-24,6353.806411542279
2014-07-25,6364.906338895059
2014-07-28,6363.588341610813
2014-07-29,6347.642123412615
2014-07-30,6306.223432330814
2014-07-31,6206.050535152882
