Date,ANDEAN IMI VALUE
2002-05-31,1000.0
2002-06-03,999.6881082372032
2002-06-04,987.7272557787817
2002-06-05,992.4237484966244
2002-06-06,985.1075859204924
2002-06-07,976.2812421571772
2002-06-10,980.8560030807112
2002-06-11,976.1732658055818
2002-06-12,963.050949768612
2002-06-13,961.8071915985174
2002-06-14,960.6855836074025
2002-06-17,972.9569189336061
2002-06-18,967.4221277407999
2002-06-19,947.0122934608206
2002-06-20,927.9984904056269
2002-06-21,904.0078198994634
2002-06-24,882.9144527805893
2002-06-25,896.6248098025047
2002-06-26,858.7707245131458
2002-06-27,871.0453372520095
2002-06-28,873.6836855461922
2002-07-01,871.0915418679867
2002-07-02,859.37103755208
2002-07-03,855.8797922078512
2002-07-04,865.7566282605341
2002-07-05,877.8042410827277
2002-07-08,862.741965457487
2002-07-09,853.2925638608533
2002-07-10,853.612881121663
2002-07-11,848.8831032172492
2002-07-12,851.4026719747383
2002-07-15,829.8796257282371
2002-07-16,821.9414875011258
2002-07-17,826.9843668637718
2002-07-18,830.8437561869548
2002-07-19,830.8335763447232
2002-07-22,829.7460572829924
2002-07-23,828.1645588410029
2002-07-24,826.5526574671552
2002-07-25,819.555958495755
2002-07-26,831.7526774966223
2002-07-29,858.726888715129
2002-07-30,858.2278765074302
2002-07-31,865.0807339046518
2002-08-01,867.3992074387465
2002-08-02,878.1038207497174
2002-08-05,866.2782854663288
2002-08-06,890.4921877872935
2002-08-07,901.4236280836474
2002-08-08,917.4085676180185
2002-08-09,908.5138184907119
2002-08-12,894.2916577397308
2002-08-13,888.8520260189304
2002-08-14,883.23533671521
2002-08-15,892.0824410151356
2002-08-16,890.9179843684004
2002-08-19,901.984421980039
2002-08-20,898.9988033794451
2002-08-21,888.6668717234846
2002-08-22,901.0652677906027
2002-08-23,896.3476369852938
2002-08-26,896.9072249376898
2002-08-27,886.2489400532539
2002-08-28,874.6762881540153
2002-08-29,874.4839048380278
2002-08-30,884.7518301988242
2002-09-02,877.5339688335145
2002-09-03,857.1885164177146
2002-09-04,858.2266189965405
2002-09-05,857.3323626021325
2002-09-06,858.9335652764855
2002-09-09,871.0851647137342
2002-09-10,878.480277027166
2002-09-11,878.9024746449395
2002-09-12,868.6222630193852
2002-09-13,862.5843092716666
2002-09-16,862.1695813636842
2002-09-17,861.7648855723224
2002-09-18,854.757796643012
2002-09-19,850.0301333850986
2002-09-20,832.4430205876455
2002-09-23,810.481333836082
2002-09-24,804.4671650180168
2002-09-25,814.0201534444556
2002-09-26,822.8200087961384
2002-09-27,814.4537984112231
2002-09-30,801.7167253759682
2002-10-01,811.0403408348967
2002-10-02,812.0431235550299
2002-10-03,809.8425261186812
2002-10-04,818.1006847672301
2002-10-07,808.6266439333891
2002-10-08,810.6552625742079
2002-10-09,789.2727228915454
2002-10-10,786.8336295445602
2002-10-11,801.6735166551867
2002-10-14,798.4553697334682
2002-10-15,800.6386333965469
2002-10-16,796.87248889527
2002-10-17,813.3874139999715
2002-10-18,823.2908343208201
2002-10-21,826.6691142715536
2002-10-22,831.154921091619
2002-10-23,834.8326093384693
2002-10-24,839.0912859276606
