Date,EM EMEA IMI VALUE
1998-12-31,156.98827208278814
1999-01-01,156.98827208278814
1999-01-04,158.61907237740198
1999-01-05,161.70893196227007
1999-01-06,169.1108896847192
1999-01-07,168.02734642995537
1999-01-08,171.10395202463764
1999-01-11,169.93343590816207
1999-01-12,168.99264165129455
1999-01-13,157.2040267913154
1999-01-14,157.49474352027238
1999-01-15,158.04871142542612
1999-01-18,163.19317575449784
1999-01-19,162.78287203264384
1999-01-20,163.85548178412665
1999-01-21,162.2842339191216
1999-01-22,160.15932583878592
1999-01-25,158.50626493869822
1999-01-26,159.42345814012916
1999-01-27,163.32240974015224
1999-01-28,163.6369444714757
1999-01-29,165.93603782479332
1999-02-01,167.82282750830834
1999-02-02,165.7937844636145
1999-02-03,165.24647015230713
1999-02-04,168.0149061248819
1999-02-05,168.96601125498185
1999-02-08,171.05037678347588
1999-02-09,168.92271170764144
1999-02-10,168.28324872894396
1999-02-11,171.25409848503895
1999-02-12,172.2242001160712
1999-02-15,171.31395438533394
1999-02-16,175.37220932490058
1999-02-17,175.7594547646668
1999-02-18,176.4566462749082
1999-02-19,176.62878906984204
1999-02-22,178.78168639732024
1999-02-23,178.57057620546468
1999-02-24,180.33187738097922
1999-02-25,179.98114820439102
1999-02-26,180.98160167056537
1999-03-01,183.11763283179064
1999-03-02,182.9213083900307
1999-03-03,186.01177231925425
1999-03-04,186.7195052069855
1999-03-05,189.37162361638264
1999-03-08,191.67213267140872
1999-03-09,192.7922931413406
1999-03-10,191.32214055288176
1999-03-11,197.60159804980356
1999-03-12,196.7858622174678
1999-03-15,195.5619177518556
1999-03-16,196.62135440336453
1999-03-17,197.4418803668144
1999-03-18,197.05368718914528
1999-03-19,201.43391492379453
1999-03-22,201.10548306535847
1999-03-23,199.28525368140916
1999-03-24,194.8613841632785
1999-03-25,200.0957518063011
1999-03-26,202.0986649124429
1999-03-29,202.62503882812254
1999-03-30,202.94094046997853
1999-03-31,201.8002396243409
1999-04-01,202.1574357378469
1999-04-02,202.6374228724468
1999-04-05,205.0333521292379
1999-04-06,205.6677289172546
1999-04-07,205.59670571460697
1999-04-08,204.00601726768767
1999-04-09,205.40987574026767
1999-04-12,202.00138046567557
1999-04-13,203.31519851528438
1999-04-14,209.18270341586594
1999-04-15,213.4940918817552
1999-04-16,221.0193842626456
1999-04-19,225.8851743998618
1999-04-20,227.09192566845462
1999-04-21,224.83835266106726
1999-04-22,226.03066465961518
1999-04-23,226.9324461797059
1999-04-26,229.2240299897478
1999-04-27,227.46681540780935
1999-04-28,230.07466399877075
1999-04-29,231.4920218289457
1999-04-30,233.9418087369042
1999-05-03,235.3145009984044
1999-05-04,236.78454781367432
1999-05-05,234.54075711345257
1999-05-06,236.31371928827056
1999-05-07,233.38071158433684
1999-05-10,231.39982902497883
1999-05-11,232.730804351932
1999-05-12,225.63270172840674
1999-05-13,227.64642613018972
1999-05-14,228.02015584804505
1999-05-17,228.7784283127384
1999-05-18,232.84166734038416
1999-05-19,231.83113081912333
1999-05-20,231.2223041366098
1999-05-21,234.18020541893108
1999-05-24,230.31365572920456
1999-05-25,224.82715964155008
1999-05-26,225.35936003942945
1999-05-27,225.0222073263685
1999-05-28,225.4164302345837
1999-05-31,225.45817655815802
1999-06-01,227.86348592730752
1999-06-02,227.85856732508378
