Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2007-05-31,1000.0
2007-06-01,1003.3305323676112
2007-06-04,988.3426549593794
2007-06-05,981.7279011575752
2007-06-06,970.2225999414331
2007-06-07,970.0580455000716
2007-06-08,965.0589899786272
2007-06-11,980.5205854481079
2007-06-12,980.1874394986133
2007-06-13,977.5943638953365
2007-06-14,986.8532088381713
2007-06-15,1000.4169537109659
2007-06-18,1003.0840157186677
2007-06-19,1023.1589017545739
2007-06-20,1022.6024622574902
2007-06-21,1021.1954620583391
2007-06-22,1028.9523932861655
2007-06-25,1035.9394037051827
2007-06-26,1045.422480614778
2007-06-27,1037.9424649786713
2007-06-28,1047.987263490541
2007-06-29,1050.69448939344
2007-07-02,1045.580416085849
2007-07-03,1051.8887271024441
2007-07-04,1056.910199716825
2007-07-05,1058.0772348189382
2007-07-06,1056.2144190109227
2007-07-09,1056.7039892871082
2007-07-10,1033.9851546258321
2007-07-11,1025.5734625089042
2007-07-12,1026.5072049888295
2007-07-13,1034.6712093211434
2007-07-16,1007.4686608074302
2007-07-17,1012.3017497915797
2007-07-18,1009.3422297449375
2007-07-19,1022.9100258743797
2007-07-20,1010.5469357940842
2007-07-23,1007.016833113912
2007-07-24,990.8885823829535
2007-07-25,980.3584948706165
2007-07-26,958.9514240386794
2007-07-27,946.1061716932145
2007-07-30,947.3463244662393
2007-07-31,956.6189840527999
2007-08-01,930.6762567229888
2007-08-02,945.1573614520032
2007-08-03,934.687960988116
2007-08-06,924.3078041405661
2007-08-07,930.729532570593
2007-08-08,935.5994665954294
2007-08-09,918.0645130683763
2007-08-10,896.6940497865053
2007-08-13,917.6343013928526
2007-08-14,900.1279652293995
2007-08-15,895.5660571228428
2007-08-16,828.4853643910835
2007-08-17,846.6652009949352
2007-08-20,837.6098436570669
2007-08-21,819.933318751272
2007-08-22,853.7154805322931
2007-08-23,861.8567867067071
2007-08-24,877.1229223837797
2007-08-27,892.1781067532183
2007-08-28,885.918526719415
2007-08-29,888.5718687616873
2007-08-30,876.2788020051163
2007-08-31,896.0615864529586
2007-09-03,900.9276941749189
2007-09-04,905.3416022899096
2007-09-05,896.7286696393469
2007-09-06,892.4872526286973
2007-09-07,883.1312771790513
2007-09-10,869.2431265164797
2007-09-11,881.1372967642093
2007-09-12,882.7363116277744
2007-09-13,895.6821540577492
2007-09-14,896.9214702671273
2007-09-17,891.2613030046085
2007-09-18,896.9227691266286
2007-09-19,914.1875869844905
2007-09-20,921.2460449070103
2007-09-21,924.6366941592503
2007-09-24,918.5799107630974
2007-09-25,914.1571349027215
2007-09-26,915.250101575158
2007-09-27,911.9100183138543
2007-09-28,902.9403495752495
2007-10-01,890.086836208256
2007-10-02,888.298671651862
2007-10-03,892.8635102018217
2007-10-04,896.8069365893115
2007-10-05,902.5123705758733
2007-10-08,913.2068692268515
2007-10-09,929.7117782190397
