Date,EFM AFRICA ex ZA SMALL CAP
2010-11-30,1000.0
2010-12-01,996.5448542932961
2010-12-02,990.1800037930883
2010-12-03,974.4236243386136
2010-12-06,976.8536168814265
2010-12-07,972.1678271426048
2010-12-08,981.2177603044829
2010-12-09,982.0270373635725
2010-12-10,975.97101970533
2010-12-13,964.1311774493554
2010-12-14,963.3655532750372
2010-12-15,960.4695471076446
2010-12-16,968.6726244344105
2010-12-17,969.831496399059
2010-12-20,970.1600897196224
2010-12-21,970.783178704989
2010-12-22,979.6672818685381
2010-12-23,989.6674359114769
2010-12-24,984.3828862246321
2010-12-27,978.7494520707095
2010-12-28,980.1360042704986
2010-12-29,981.6778287007796
2010-12-30,975.2063208966919
2010-12-31,971.2699328548524
2011-01-03,980.8957165761797
2011-01-04,997.4857138632536
2011-01-05,1023.9938173122944
2011-01-06,1046.2298227231533
2011-01-07,1042.1644871122032
2011-01-10,1041.3031525034605
2011-01-11,1036.6158556079008
2011-01-12,1025.4675853458637
2011-01-13,1009.2848785862446
2011-01-14,1014.1059523845242
2011-01-17,1000.08674794678
2011-01-18,975.846330021464
2011-01-19,975.0371676596761
2011-01-20,988.893608099502
2011-01-21,980.3033111479691
2011-01-24,973.6631934933556
2011-01-25,975.9338237771607
2011-01-26,954.4350761063904
2011-01-27,915.1490880144419
2011-01-28,918.9823165150412
2011-01-31,901.592143056741
2011-02-01,895.6202780458435
2011-02-02,896.5997107163348
2011-02-03,905.9788984596328
2011-02-04,912.4808429176696
2011-02-07,908.6696311601905
2011-02-08,902.0020910275927
2011-02-09,901.7972576536506
2011-02-10,903.2347761773501
2011-02-11,905.7823782636334
2011-02-14,908.3300749182814
2011-02-15,903.7238322655726
2011-02-16,901.4540873078599
2011-02-17,898.4513784637895
2011-02-18,890.3317422335721
2011-02-21,884.6629322155761
2011-02-22,880.0198978787863
2011-02-23,878.1096841750077
2011-02-24,872.7050310283855
2011-02-25,867.1038757665756
2011-02-28,858.9946184307524
2011-03-01,858.0703616791071
2011-03-02,848.8658252998404
2011-03-03,841.6821593326141
2011-03-04,834.9564081437794
2011-03-07,835.8852859070818
2011-03-08,844.1656857081828
2011-03-09,842.1415327600802
2011-03-10,851.084385657411
2011-03-11,851.6986315546033
2011-03-14,839.2054238623617
2011-03-15,827.2307948326592
2011-03-16,821.6696717136631
2011-03-17,809.4267861894032
2011-03-18,802.2249134421959
2011-03-21,798.7069645350864
2011-03-22,805.6687289443583
2011-03-23,787.3318563265118
2011-03-24,772.6522268420945
2011-03-25,777.0823420053587
2011-03-28,794.1961873301894
2011-03-29,801.2619594444278
2011-03-30,802.2364803556828
2011-03-31,795.4616270673546
2011-04-01,801.2437182071093
2011-04-04,801.9089830462952
2011-04-05,808.24498727998
2011-04-06,800.7052921425081
2011-04-07,798.9613662640293
2011-04-08,791.0785229089906
2011-04-11,783.5513277705993
2011-04-12,774.4841763413804
2011-04-13,781.2791691411165
2011-04-14,785.183923497367
2011-04-15,792.3657243224976
2011-04-18,791.9716137481034
2011-04-19,798.6779137006882
2011-04-20,784.7426430582622
2011-04-21,786.2234579706651
2011-04-22,787.2061514096147
2011-04-25,789.9074202251875
2011-04-26,789.1557259734323
2011-04-27,787.4135683918336
2011-04-28,782.3105322261955
2011-04-29,779.7632599007355
2011-05-02,781.4832883751241
2011-05-03,785.6425047065636
2011-05-04,783.6722842091756
2011-05-05,797.565639522801
2011-05-06,806.0757327632389
2011-05-09,814.6942171531525
2011-05-10,816.6350212015232
2011-05-11,820.9859974422764
2011-05-12,824.7749818526994
2011-05-13,828.474918728491
2011-05-16,830.657280930113
2011-05-17,836.2188616154721
2011-05-18,829.005663227755
2011-05-19,833.5271657495921
2011-05-20,837.6975016747635
2011-05-23,843.1066685117839
