Date,EM GCC COUNTRIES SMALL CAP
2014-06-02,1011.913815775907
2014-06-03,1003.3257653622802
2014-06-04,999.529056575226
2014-06-05,1012.033989274662
2014-06-06,1010.2403970906369
2014-06-09,978.0275340374179
2014-06-10,960.8298422293507
2014-06-11,963.7163333007455
2014-06-12,974.6434635741988
2014-06-13,976.2941177118943
2014-06-16,916.1130992884388
2014-06-17,927.2808929933913
2014-06-18,923.1134760011486
2014-06-19,932.3517868086851
2014-06-20,936.232150401532
2014-06-23,895.8809749847476
2014-06-24,853.5558614468191
2014-06-25,868.2199761171701
2014-06-26,859.9180491128335
2014-06-27,856.6971467399703
2014-06-30,811.5292920981155
2014-07-01,834.5083989564541
2014-07-02,887.3115054811974
2014-07-03,905.3349677853195
2014-07-04,906.7401817054392
2014-07-07,928.7800820199396
2014-07-08,924.1301883597899
2014-07-09,926.4769035624154
2014-07-10,930.9969922702489
2014-07-11,931.1339136603908
2014-07-14,952.5488518230179
2014-07-15,966.8826626123171
2014-07-16,973.6054569607296
2014-07-17,983.114658708658
2014-07-18,983.7332215421474
2014-07-21,967.6591898423642
2014-07-22,972.0357838120129
2014-07-23,962.9271442013363
2014-07-24,962.1672141020364
2014-07-25,964.7457907198935
2014-07-28,966.1075819100231
2014-07-29,968.1806819821032
2014-07-30,970.5326550855466
2014-07-31,973.9812154235184
2014-08-01,970.4273335592135
2014-08-04,978.061227713021
2014-08-05,993.5425623592004
2014-08-06,979.9767370406577
2014-08-07,985.0022568130192
2014-08-08,980.3762817726363
2014-08-11,995.6444950501948
2014-08-12,1002.555394612438
2014-08-13,1003.9063650326128
2014-08-14,1002.6102721475128
2014-08-15,1002.402090618621
2014-08-18,1006.9624951707633
2014-08-19,1017.1562597047139
2014-08-20,1016.5972930732459
2014-08-21,1020.1483540869292
2014-08-22,1024.2365600981368
2014-08-25,1034.0305193331428
2014-08-26,1031.103155062856
2014-08-27,1028.0836435679978
2014-08-28,1018.7615965662196
2014-08-29,1019.0542117651534
2014-09-01,1024.6710385915733
2014-09-02,1021.9775449988208
2014-09-03,1030.3686239550766
2014-09-04,1037.2455603270114
2014-09-05,1037.8859094787354
2014-09-08,1040.3893085846505
2014-09-09,1044.584259820909
2014-09-10,1031.1661586060316
2014-09-11,1036.8601904643988
2014-09-12,1037.1006125212384
2014-09-15,1045.5759943732546
2014-09-16,1042.8697245758121
2014-09-17,1045.7248308750452
2014-09-18,1054.4528804428928
2014-09-19,1061.1456034487023
2014-09-22,1048.3754426720795
2014-09-23,1037.7454768791827
2014-09-24,1036.850074784197
2014-09-25,1042.536724310629
2014-09-26,1046.772265202222
2014-09-29,1046.8296144903034
2014-09-30,1053.5076510225563
2014-10-01,1061.104701690432
2014-10-02,1052.7480023295186
2014-10-03,1064.6883615261681
2014-10-06,1059.8043527674947
2014-10-07,1053.3482173164005
2014-10-08,1044.6391370711428
2014-10-09,1043.7488462768588
2014-10-10,1050.907303590357
2014-10-13,1013.3396933385602
2014-10-14,998.9927393372687
2014-10-15,979.0681751951232
2014-10-16,945.640327628219
2014-10-17,946.5959847372607
2014-10-20,954.2824322465984
2014-10-21,960.0102788031771
2014-10-22,980.196862994562
2014-10-23,983.2841987044344
2014-10-24,981.7614172345391
2014-10-27,973.6878300856184
2014-10-28,976.5922530488407
2014-10-29,980.3399606891768
2014-10-30,976.9713067575519
2014-10-31,984.1560655180011
2014-11-03,994.6577299132197
2014-11-04,985.7930647362292
2014-11-05,974.7618838834518
2014-11-06,986.7217848780193
2014-11-07,988.5101883063869
2014-11-10,1010.3653481427347
2014-11-11,1023.4289651125329
2014-11-12,1024.6857820324587
2014-11-13,1033.9931469519584
2014-11-14,1033.56393408373
2014-11-17,1025.348971100878
2014-11-18,1028.1836689339284
2014-11-19,1032.497381568379
2014-11-20,1030.412732545244
2014-11-21,1040.9966061776872
2014-11-24,1031.0933201217842
2014-11-25,998.6715043134685
2014-11-26,988.371374025198
2014-11-27,990.6664903435038
2014-11-28,991.8313855724808
2014-12-01,951.743355962572
2014-12-02,956.0765628888889
2014-12-03,960.8509889801913
2014-12-04,971.4903662945935
2014-12-05,982.5289110441205
2014-12-08,965.3251970928416
2014-12-09,934.0006766170746
2014-12-10,930.8955771783752
2014-12-11,888.2573562125186
2014-12-12,882.5908131360544
2014-12-15,824.373092630876
2014-12-16,781.4416082314594
2014-12-17,783.8180822862857
2014-12-18,840.2110051031519
2014-12-19,841.3072154902069
2014-12-22,918.2848541379947
2014-12-23,906.3263469135899
2014-12-24,934.3755571514204
2014-12-25,943.889189436213
2014-12-26,945.3627438998168
2014-12-29,962.5431537816495
2014-12-30,923.4006930040182
2014-12-31,941.0162757269567
2015-01-01,941.0162757269567
2015-01-02,946.4680491481043
2015-01-05,928.5121403732473
2015-01-06,914.0613792096751
2015-01-07,946.4057521042452
2015-01-08,966.6296341353799
2015-01-09,963.1991178792065
2015-01-12,965.7405928971745
2015-01-13,974.0646101500031
2015-01-14,976.4966467621526
2015-01-15,1005.7140441838944
2015-01-16,1013.6142519818554
2015-01-19,1005.9360480561558
2015-01-20,1016.884493408174
2015-01-21,1009.3426774635604
2015-01-22,1028.3490821157102
2015-01-23,1043.5808147219434
2015-01-26,1019.4910346579786
2015-01-27,1009.3260930125024
2015-01-28,1018.1366309785423
2015-01-29,1007.6067011972748
2015-01-30,1012.3323838458823
2015-02-02,1019.0901767089027
2015-02-03,1030.534954158231
2015-02-04,1030.5993986044152
2015-02-05,1034.7812577851175
2015-02-06,1042.6256923718795
2015-02-09,1046.0068942223072
2015-02-10,1043.3670465211774
2015-02-11,1047.285671084066
2015-02-12,1031.6754842229054
2015-02-13,1028.9611439881596
2015-02-16,1017.380498081099
2015-02-17,1020.2459676213033
2015-02-18,1027.8371179267772
2015-02-19,1021.9235209676656
2015-02-20,1023.9011184925185
2015-02-23,1020.5543970487314
2015-02-24,1030.3955082249925
2015-02-25,1031.9892996281258
2015-02-26,1045.3099253058967
2015-02-27,1045.0271254735235
2015-03-02,1039.546030126185
2015-03-03,1024.6166507146756
2015-03-04,1034.5027767566726
2015-03-05,1041.558159779633
2015-03-06,1057.6684365225296
2015-03-09,1054.4382004308802
2015-03-10,1077.0359055961405
2015-03-11,1073.6231587954037
2015-03-12,1067.3740531697908
2015-03-13,1077.0115131375835
2015-03-16,1048.170772434424
2015-03-17,1037.2782770555143
2015-03-18,1015.0579628331316
2015-03-19,1023.4045824813523
2015-03-20,1007.192420398411
2015-03-23,998.7617913608512
2015-03-24,1006.0473844988456
2015-03-25,986.1767605423331
2015-03-26,973.040296684615
2015-03-27,975.4981851644837
2015-03-30,989.4165005654495
2015-03-31,995.4119892549902
2015-04-01,996.8944378228334
2015-04-02,1003.0236651238654
2015-04-03,1003.0236651238654
2015-04-06,1004.1778896076886
2015-04-07,1031.734208822438
2015-04-08,1046.4712140467966
2015-04-09,1064.1912027643823
2015-04-10,1069.3486720103585
2015-04-13,1072.6098126381598
2015-04-14,1065.9852475339403
2015-04-15,1098.7096253563461
2015-04-16,1110.1071099089152
2015-04-17,1102.3820969143983
2015-04-20,1101.7511379529167
2015-04-21,1116.0739530127428
2015-04-22,1126.574655233039
2015-04-23,1120.5259540938732
2015-04-24,1113.9429070504978
2015-04-27,1128.824634278058
2015-04-28,1116.4979450333255
2015-04-29,1104.7634646041672
2015-04-30,1104.1736901964487
2015-05-01,1102.4737474348888
2015-05-04,1077.8527996683067
2015-05-05,1072.054279756858
2015-05-06,1070.0598904551796
2015-05-07,1074.5493504607455
2015-05-08,1078.6680492234868
2015-05-11,1075.4119727140178
2015-05-12,1063.4820802800357
2015-05-13,1059.4143673892197
2015-05-14,1059.25780979687
2015-05-15,1053.6101630529133
2015-05-18,1061.0971066493635
2015-05-19,1085.4691122542827
2015-05-20,1082.2643488122676
2015-05-21,1081.836674491323
2015-05-22,1091.4543090085049
2015-05-25,1081.0022431254968
2015-05-26,1090.6189232355607
2015-05-27,1081.0632284958972
2015-05-28,1068.0047200906279
2015-05-29,1063.6503160558225
2015-06-01,1073.713892967615
2015-06-02,1056.5439439274935
2015-06-03,1053.3645983918798
2015-06-04,1069.0774333440152
2015-06-05,1085.662475606987
2015-06-08,1070.6098851682586
2015-06-09,1078.1785930829788
2015-06-10,1084.7326395379162
2015-06-11,1071.9254504606918
2015-06-12,1068.6665272033847
2015-06-15,1075.298906819053
2015-06-16,1078.7232403750675
2015-06-17,1080.792620816822
2015-06-18,1060.2316403236402
2015-06-19,1067.2891995838502
2015-06-22,1067.5597405950741
2015-06-23,1090.3614713256156
2015-06-24,1091.9512434234728
2015-06-25,1092.8580814681343
2015-06-26,1097.9581814260341
2015-06-29,1082.7364281829139
2015-06-30,1086.01033061855
2015-07-01,1099.3433931871537
2015-07-02,1098.0549924806523
2015-07-03,1098.3931528423336
2015-07-06,1102.305054228599
2015-07-07,1109.9259294777178
2015-07-08,1086.274778417716
2015-07-09,1099.50241154853
2015-07-10,1086.9327456195329
2015-07-13,1107.9684176345697
2015-07-14,1112.3875647209627
2015-07-15,1118.5065863263712
2015-07-16,1124.9468620377024
2015-07-17,1130.1292772127044
2015-07-20,1139.919200534014
2015-07-21,1131.1690174601968
2015-07-22,1137.8014785834612
2015-07-23,1129.5451981844787
2015-07-24,1130.8902089840674
2015-07-27,1114.9793653741674
2015-07-28,1110.1279149697984
2015-07-29,1112.824641929217
2015-07-30,1127.7938589677983
2015-07-31,1115.183279451543
2015-08-03,1113.0771942533938
2015-08-04,1117.6269618117883
2015-08-05,1129.8810714389851
2015-08-06,1122.682605403527
2015-08-07,1120.0343674102853
2015-08-10,1110.5431496442895
2015-08-11,1105.5079277831974
2015-08-12,1081.8601899434136
2015-08-13,1078.0194521534374
2015-08-14,1079.6484633633631
2015-08-17,1067.6571505392212
2015-08-18,1050.734977565234
2015-08-19,1051.218521403563
2015-08-20,1012.0552588784517
2015-08-21,1001.7236005436047
2015-08-24,896.0150000675882
2015-08-25,955.124441733766
2015-08-26,948.7240541305875
2015-08-27,989.2715559734363
2015-08-28,988.7819917697782
2015-08-31,984.8734020625891
2015-09-01,962.8148742996303
2015-09-02,958.0027314011634
2015-09-03,979.8035281141731
2015-09-04,978.1618606642525
2015-09-07,970.4028344428845
2015-09-08,971.0229039564628
2015-09-09,985.670604899602
2015-09-10,981.7149964445999
2015-09-11,976.1545695543847
2015-09-14,952.2778984520064
2015-09-15,957.0600095291975
2015-09-16,969.0879728185407
2015-09-17,970.2538962795218
2015-09-18,965.0903321558175
2015-09-21,986.8336701291329
2015-09-22,990.9948780645431
2015-09-23,989.944423513584
2015-09-24,977.477039999588
2015-09-25,987.548773290484
2015-09-28,983.1661297266619
2015-09-29,975.9637831277756
2015-09-30,987.5850594604864
2015-10-01,988.364109490897
2015-10-02,982.089479105862
2015-10-05,994.9780171585797
2015-10-06,992.452715110213
2015-10-07,999.0498450838779
2015-10-08,994.9322148103594
2015-10-09,988.1956460466188
2015-10-12,989.8061738911804
2015-10-13,983.507683359395
2015-10-14,976.6742677954477
2015-10-15,980.5360243979552
2015-10-16,981.2543428146776
2015-10-19,980.1286020813133
2015-10-20,976.8631067866156
2015-10-21,971.1492770632284
2015-10-22,985.9474322250502
2015-10-23,997.4333914928719
2015-10-26,994.2442480016888
2015-10-27,978.7081399248099
2015-10-28,969.9692327291966
2015-10-29,983.9267525931476
2015-10-30,976.2666158328153
2015-11-02,971.3119551052096
2015-11-03,987.4780121551722
2015-11-04,976.7940857049811
2015-11-05,975.9510107087634
2015-11-06,987.0893808174692
2015-11-09,955.5618231743755
2015-11-10,930.8585623943345
2015-11-11,933.7414585862546
2015-11-12,928.9074421393565
2015-11-13,930.959880569314
2015-11-16,909.7407567059819
2015-11-17,921.4095083135214
2015-11-18,916.1856449074425
2015-11-19,925.0756700491668
2015-11-20,930.7981332259719
2015-11-23,930.4771625855893
2015-11-24,921.0677422790856
2015-11-25,920.4369546137056
2015-11-26,916.3171065033533
2015-11-27,918.436108731805
2015-11-30,906.0578154586052
2015-12-01,908.0887810727546
2015-12-02,909.4903304619952
2015-12-03,883.7075385227253
2015-12-04,880.5895868861375
2015-12-07,874.6298747641817
2015-12-08,853.1434142403499
2015-12-09,843.4427373221764
2015-12-10,840.8024123007655
2015-12-11,836.2139643424516
2015-12-14,816.1842401207821
2015-12-15,825.8623663215278
2015-12-16,839.1032192236419
2015-12-17,864.2124211364041
2015-12-18,863.3550030551818
2015-12-21,870.405925669143
2015-12-22,883.1667522135261
2015-12-23,886.1807621989021
2015-12-24,878.8261534163311
2015-12-25,878.8261534163311
2015-12-28,880.9051197457593
2015-12-29,885.1434732317139
2015-12-30,892.4447659185192
2015-12-31,898.4865442511323
2016-01-01,898.4865442511325
2016-01-04,888.6516670302035
2016-01-05,894.337503553233
2016-01-06,891.0854514995949
2016-01-07,867.1308224719733
2016-01-08,861.3876889983063
2016-01-11,857.2878924306456
2016-01-12,854.7433357991092
2016-01-13,848.1557488240546
2016-01-14,824.8688008069643
2016-01-15,816.4307165235856
2016-01-18,758.0253488727246
2016-01-19,781.5143484921376
2016-01-20,747.3608623195585
2016-01-21,753.6924381138805
2016-01-22,753.674063190023
2016-01-25,759.03276301562
2016-01-26,751.7975665059056
2016-01-27,765.0305666548164
2016-01-28,777.8791053796668
2016-01-29,786.3916027054717
2016-02-01,797.3953314753593
2016-02-02,804.5965580903777
2016-02-03,788.122676331032
2016-02-04,798.8575503955077
2016-02-05,800.729662858863
2016-02-08,811.1416990848127
2016-02-09,796.8023938576698
2016-02-10,811.1440890026416
2016-02-11,784.381669084717
2016-02-12,791.3746289333272
2016-02-15,816.1469883575373
2016-02-16,821.3962528633958
2016-02-17,819.3283112723312
2016-02-18,829.7775572504621
2016-02-19,829.2078962398197
2016-02-22,866.6340284072722
2016-02-23,875.484801414488
2016-02-24,871.7848117408518
2016-02-25,870.3540132866502
2016-02-26,878.7892257802162
2016-02-29,903.7031552158846
2016-03-01,913.9127085525304
2016-03-02,903.7239722294987
2016-03-03,901.0615820831526
2016-03-04,894.9218874655242
2016-03-07,925.6643888108005
2016-03-08,923.656634441054
2016-03-09,925.2398248506705
2016-03-10,910.3518648830936
2016-03-11,909.3042350254057
2016-03-14,917.7499982090193
2016-03-15,907.3627585732784
2016-03-16,922.4474908515223
2016-03-17,916.152890460055
2016-03-18,918.2094106107421
2016-03-21,910.4770960780312
2016-03-22,918.8527678867664
2016-03-23,924.4641575448022
2016-03-24,916.3309875755925
