Date,EM LATIN AMERICA ex BRAZIL SMALL CAP
2013-09-05,3722.8079180133495
2013-09-06,3814.616019657225
2013-09-09,3879.2534410716994
2013-09-10,3898.070152053123
2013-09-11,3863.90704497533
2013-09-12,3813.077282503183
2013-09-13,3816.9280984989973
2013-09-16,3839.7534241356075
2013-09-17,3818.1179584059937
2013-09-18,3859.861918928907
2013-09-19,3848.2880697000382
2013-09-20,3821.0072676622813
2013-09-23,3867.2102913285717
2013-09-24,3845.9847969296147
2013-09-25,3829.72823790876
2013-09-26,3849.945797665903
2013-09-27,3779.5966519053636
2013-09-30,3724.027754589096
2013-10-01,3753.8889269415026
2013-10-02,3736.447424830357
2013-10-03,3703.3960517941605
2013-10-04,3727.5466014413655
2013-10-07,3711.0941525881394
2013-10-08,3685.7192354777358
2013-10-09,3653.613116356238
2013-10-10,3725.5245168914794
2013-10-11,3746.3695428887513
2013-10-14,3745.809587199959
2013-10-15,3736.6728658215106
2013-10-16,3766.2321526795304
2013-10-17,3733.546762220041
2013-10-18,3727.279260951917
2013-10-21,3677.16207050015
2013-10-22,3713.2837911814827
2013-10-23,3669.213544040886
2013-10-24,3622.7847625517093
2013-10-25,3655.5765659352587
2013-10-28,3673.080853400147
2013-10-29,3677.3845161992435
2013-10-30,3650.5770798137632
2013-10-31,3665.5007854248647
2013-11-01,3688.732412584008
2013-11-04,3682.0969809977796
2013-11-05,3621.357783970421
2013-11-06,3592.49640520973
2013-11-07,3608.7219696523816
2013-11-08,3571.8256449383166
2013-11-11,3528.397989725584
2013-11-12,3516.161229958657
2013-11-13,3512.710499790948
2013-11-14,3558.5045589899873
2013-11-15,3582.0554603925357
2013-11-18,3597.621821855017
2013-11-19,3593.257667272795
2013-11-20,3572.3933694620605
2013-11-21,3521.0347361996023
2013-11-22,3513.908622761384
2013-11-25,3499.9346757583253
2013-11-26,3410.936027742838
2013-11-27,3424.128105540276
2013-11-28,3439.2619430356463
2013-11-29,3460.80463487701
2013-12-02,3475.114790948713
2013-12-03,3427.225703473652
2013-12-04,3471.189082192369
2013-12-05,3471.3929759655935
2013-12-06,3494.1237795776287
2013-12-09,3488.79616927627
2013-12-10,3478.0514100956584
2013-12-11,3443.7025051295004
2013-12-12,3423.8589687190074
2013-12-13,3450.8870730459807
2013-12-16,3450.933685602419
2013-12-17,3439.852692971207
2013-12-18,3434.741371461424
2013-12-19,3454.8840080136456
2013-12-20,3480.197607607166
2013-12-23,3501.729443748847
2013-12-24,3521.0628929244485
2013-12-25,3521.0628929244485
2013-12-26,3510.2426948853786
2013-12-27,3508.528047408289
2013-12-30,3496.900126076907
2013-12-31,3496.0973112314787
2014-01-01,3496.0973112314787
2014-01-02,3519.074189452234
2014-01-03,3533.7821341395415
2014-01-06,3525.424864265323
2014-01-07,3564.4256200395953
2014-01-08,3551.7823622358587
2014-01-09,3525.1053220456465
2014-01-10,3569.4552764678865
2014-01-13,3570.8236838582407
2014-01-14,3537.615115990077
2014-01-15,3558.816047560749
2014-01-16,3531.2860403175437
2014-01-17,3540.762140108845
2014-01-20,3539.35179742437
2014-01-21,3503.463634921355
2014-01-22,3498.6325329100405
2014-01-23,3419.2028517247522
2014-01-24,3326.584082836336
2014-01-27,3319.6457010401296
2014-01-28,3341.283254077756
2014-01-29,3302.760875451076
2014-01-30,3353.33763897553
2014-01-31,3342.473125557956
2014-02-03,3304.351129589298
2014-02-04,3299.654885945461
2014-02-05,3262.6158267127926
2014-02-06,3313.376661296946
2014-02-07,3297.330984064567
2014-02-10,3262.0038234890426
2014-02-11,3299.8703585645785
2014-02-12,3344.779884372643
2014-02-13,3326.7948982688554
2014-02-14,3380.0098938445403
2014-02-17,3385.8139847060443
2014-02-18,3343.7920072021784
2014-02-19,3300.9747000759135
2014-02-20,3296.6241446306
2014-02-21,3283.0785810494385
2014-02-24,3291.0685529654397
2014-02-25,3259.417483936423
2014-02-26,3246.5757217016153
2014-02-27,3233.6058827349602
2014-02-28,3237.773105884241
2014-03-03,3185.2295578443086
2014-03-04,3256.753931440668
2014-03-05,3280.116475508703
2014-03-06,3297.7501506046065
2014-03-07,3271.1650706066926
2014-03-10,3225.4149368045487
2014-03-11,3198.1859382772764
2014-03-12,3167.8372721067194
2014-03-13,3161.1857245988394
2014-03-14,3150.8884595565282
2014-03-17,3167.78336647196
2014-03-18,3217.152726993937
2014-03-19,3236.332831191237
2014-03-20,3290.998523947467
2014-03-21,3349.5363114933984
2014-03-24,3337.5168414252303
2014-03-25,3373.331846853873
2014-03-26,3370.3264220214983
2014-03-27,3426.5461295961973
2014-03-28,3466.8863243064284
2014-03-31,3463.484039185118
2014-04-01,3454.673315314958
2014-04-02,3450.638878604246
2014-04-03,3419.903009354053
2014-04-04,3482.347646247176
2014-04-07,3447.9625151158175
2014-04-08,3475.5446674750156
2014-04-09,3443.834394658808
2014-04-10,3424.765323369082
2014-04-11,3410.5685872658705
2014-04-14,3447.8845854873666
2014-04-15,3408.288662757786
2014-04-16,3444.071305346358
2014-04-17,3444.4467447297675
2014-04-18,3444.4467447297675
2014-04-21,3453.3854609821674
2014-04-22,3443.289147036423
2014-04-23,3405.2767682759513
2014-04-24,3421.616082388171
2014-04-25,3390.3734485366685
2014-04-28,3415.0819834261747
2014-04-29,3453.525264200542
2014-04-30,3428.9041412351335
2014-05-01,3433.163141161131
2014-05-02,3473.1708747205694
2014-05-05,3441.149647170579
2014-05-06,3417.992614550003
2014-05-07,3440.515186612362
2014-05-08,3482.806644061641
