Date,EFM AFRICA SMALL CAP
2010-11-30,1000.0
2010-12-01,1003.2314946738678
2010-12-02,1014.1865348800102
2010-12-03,1008.8045918573905
2010-12-06,1020.8976314876963
2010-12-07,1019.1101271572096
2010-12-08,1018.8529259802941
2010-12-09,1027.9107215220583
2010-12-10,1027.7789924462531
2010-12-13,1014.9496333197111
2010-12-14,1017.7810874648679
2010-12-15,1022.4489829816921
2010-12-16,1029.2109433679882
2010-12-17,1029.0928574761704
2010-12-20,1035.295082095801
2010-12-21,1042.2205783692136
2010-12-22,1052.7630225231383
2010-12-23,1059.0405929490983
2010-12-24,1056.8525637442435
2010-12-27,1053.2821280193614
2010-12-28,1061.8273969172926
2010-12-29,1067.531284131257
2010-12-30,1057.949800142269
2010-12-31,1057.5269821541913
2011-01-03,1062.2186059379749
2011-01-04,1062.9679519576148
2011-01-05,1072.751127200304
2011-01-06,1074.5758096111365
2011-01-07,1080.3047812494578
2011-01-10,1070.593982242219
2011-01-11,1066.3202584357255
2011-01-12,1065.2978544519447
2011-01-13,1045.9679821576678
2011-01-14,1030.6676698716483
2011-01-17,1036.0427154518848
2011-01-18,1014.4275525708723
2011-01-19,997.5521609647019
2011-01-20,982.6737011373281
2011-01-21,976.2418393939316
2011-01-24,973.4648233827029
2011-01-25,964.2770758081152
2011-01-26,960.436424269827
2011-01-27,957.5426643457613
2011-01-28,944.9401732469918
2011-01-31,930.6307998785319
2011-02-01,927.6356783662218
2011-02-02,927.6295153274663
2011-02-03,923.3716407991215
2011-02-04,932.1104007869786
2011-02-07,932.050943343928
2011-02-08,933.1113778172552
2011-02-09,928.9846801340229
2011-02-10,923.5776821758676
2011-02-11,924.345597272479
2011-02-14,934.0831280985097
2011-02-15,933.3550974922565
2011-02-16,941.0403974896535
2011-02-17,939.9164038309699
2011-02-18,942.0379336301041
2011-02-21,940.8549455777246
2011-02-22,935.3988536882572
2011-02-23,924.1349905924147
2011-02-24,918.8686632896121
2011-02-25,931.0923191024477
2011-02-28,942.3808701495038
2011-03-01,936.2555605186061
2011-03-02,935.3452261768083
2011-03-03,925.8788433487938
