Date,EM EASTERN EUROPE SMALL CAP
1998-12-31,79.13245117232536
1999-01-01,79.13245117232536
1999-01-04,80.07412764252204
1999-01-05,81.16868925910626
1999-01-06,81.89980504809526
1999-01-07,83.59610267162141
1999-01-08,84.05870104780386
1999-01-11,84.03737085688249
1999-01-12,83.10091441161828
1999-01-13,77.9156718520426
1999-01-14,76.58082512974009
1999-01-15,76.29597622520265
1999-01-18,79.57536684995206
1999-01-19,79.6456285416937
1999-01-20,80.44153667927718
1999-01-21,80.46075719380873
1999-01-22,77.68185422333413
1999-01-25,77.23447058888698
1999-01-26,77.80483569880806
1999-01-27,78.30710700783368
1999-01-28,77.60561383001621
1999-01-29,79.38436930051498
1999-02-01,78.97548759894381
1999-02-02,78.4803684198845
1999-02-03,78.52526941896475
1999-02-04,80.11419632696992
1999-02-05,79.05484505746001
1999-02-08,78.14552914245525
1999-02-09,77.52167071155611
1999-02-10,76.8894591140059
1999-02-11,77.56935432582146
1999-02-12,77.87520160517845
1999-02-15,76.94446644157007
1999-02-16,77.67199240185306
1999-02-17,77.21036600051158
1999-02-18,76.65217466009572
1999-02-19,76.77212596220532
1999-02-22,76.6860569672519
1999-02-23,76.08450379800925
1999-02-24,75.42531036936187
1999-02-25,74.12247073144933
1999-02-26,73.5487087784174
1999-03-01,74.32920337277643
1999-03-02,74.0038503268951
1999-03-03,73.22798629732404
1999-03-04,72.9190111086008
1999-03-05,73.33605163097235
1999-03-08,74.73984356351582
1999-03-09,75.2811236272649
1999-03-10,75.49565994634106
1999-03-11,78.72832506658472
1999-03-12,78.3816852220172
1999-03-15,78.08595886040435
1999-03-16,78.80329996803384
1999-03-17,78.7124384558528
1999-03-18,79.82513755900011
1999-03-19,80.76013103031492
1999-03-22,80.24801801389383
1999-03-23,79.84527194600011
1999-03-24,75.62702037880193
1999-03-25,77.92798529427087
1999-03-26,79.26811482312023
1999-03-29,79.7403573392261
1999-03-30,80.66730206200315
1999-03-31,81.35175666565324
1999-04-01,80.75452092695355
1999-04-02,81.73817808965204
1999-04-05,81.80789755329535
1999-04-06,83.02424226053871
1999-04-07,82.68785017885229
1999-04-08,82.55936055147137
1999-04-09,81.91596038224411
1999-04-12,81.07232612242464
1999-04-13,80.4912739898944
1999-04-14,81.0325097087364
1999-04-15,81.98151725470989
1999-04-16,82.69411097296518
1999-04-19,84.26884042325297
1999-04-20,83.83311212096375
1999-04-21,84.09746183580675
1999-04-22,84.66671163739402
1999-04-23,85.16563973140596
1999-04-26,85.85305346265645
1999-04-27,86.23347186157858
1999-04-28,85.52741222444459
1999-04-29,85.58899269785994
1999-04-30,86.9067341656443
1999-05-03,87.70702937878092
1999-05-04,88.52178263453747
1999-05-05,89.62320269001407
1999-05-06,90.38105990828087
1999-05-07,90.62268996138211
1999-05-10,90.77749627732932
1999-05-11,91.59664419381609
1999-05-12,89.65001170774694
1999-05-13,89.76500363025839
